FIPS_TRACT,FIPS_BLKGP,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,intersection_density,proximity_transit,employment_mix,emp_housing_mix,emp_hou_mix_rank,emp_mix_rank,int_density_rank,prox_transit_rank,walkability_index,walkability_bins
51540000502,515400005022,51,540,000502,2,75.55443696,527.06,0.538653062,0.193742464,3,9,12,15,11,Above Average Walkable
51540000502,515400005023,51,540,000502,3,52.4777056,325.89,0.512820033,0.362569858,6,9,10,17,11.5,Above Average Walkable
51540000502,515400005024,51,540,000502,4,64.17793771,236.04,0.103957801,0.555080873,12,2,11,19,12.33333333,Above Average Walkable
51540000502,515400005025,51,540,000502,5,60.63023242,544.49,0.665736952,0.821666959,19,14,11,15,14.16666667,Above Average Walkable
51540000600,515400006001,51,540,000600,1,146.6121654,319.19,0.032600322,0.175266043,2,1,17,17,11.83333333,Above Average Walkable
51540000202,515400002022,51,540,000202,2,167.0616998,693.36,0.272132491,0.682834693,16,3,18,14,13.83333333,Above Average Walkable
51540001000,515400010003,51,540,001000,3,77.83975836,873.07,0.252163352,0.485741137,10,3,12,13,10.5,Below Average Walkable
51540001000,515400010002,51,540,001000,2,112.9018876,641.06,0.618081635,0.659091773,15,12,15,14,14.16666667,Above Average Walkable
51003011100,510030111003,51,003,011100,3,10.38708247,NA,0.65025908,0.73679237,17,14,5,1,7.166666667,Below Average Walkable
51003011000,510030110004,51,003,011000,4,6.117708872,NA,0.754017226,0.512125087,10,17,4,1,6.166666667,Below Average Walkable
51003011100,510030111001,51,003,011100,1,7.890141145,NA,0.84200036,0.728891288,17,20,5,1,8.166666667,Below Average Walkable
51003011000,510030110005,51,003,011000,5,14.81515271,NA,0.520715813,0.404123814,7,9,6,1,5,Least Walkable
51003010300,510030103003,51,003,010300,3,20.2419393,NA,0.655095467,0.822528281,19,14,6,1,7.833333333,Below Average Walkable
51003011400,510030114003,51,003,011400,3,1.169269295,NA,0.534326696,0.303962957,5,9,2,1,3.333333333,Least Walkable
51003010601,510030106011,51,003,010601,1,24.02358009,NA,0.86813357,0.939976157,20,20,7,1,9.333333333,Below Average Walkable
51003011100,510030111004,51,003,011100,4,57.00085303,NA,0.598977985,0.507645916,10,12,10,1,7.333333333,Below Average Walkable
51003010602,510030106022,51,003,010602,2,62.45361226,560.59,0.457321497,0.243135001,4,7,11,15,10.5,Below Average Walkable
51003010700,510030107002,51,003,010700,2,59.7497583,1087.65,0.737150831,0.736244121,17,17,10,13,13.33333333,Above Average Walkable
51003010700,510030107003,51,003,010700,3,153.2656675,236.04,0.261478422,0.316398314,5,3,18,19,13.66666667,Above Average Walkable
51003010800,510030108002,51,003,010800,2,58.50245251,443.91,0.43577166,0.299787627,5,6,10,16,10.5,Below Average Walkable
51003010800,510030108003,51,003,010800,3,76.44615344,478.78,0.327284968,0.227593881,3,4,12,16,10.5,Below Average Walkable
51003010800,510030108004,51,003,010800,4,41.87583589,909.28,0.132209258,0.411476342,8,2,9,13,9,Below Average Walkable
51109950500,511099505002,51,109,950500,2,3.835138473,NA,0.586678112,0.396433216,7,11,3,1,4.333333333,Least Walkable
51109950500,511099505003,51,109,950500,3,3.727505742,NA,0.536907265,0.443652983,8,9,3,1,4.166666667,Least Walkable
51109950202,511099502021,51,109,950202,1,3.298678396,NA,0.702791712,0.413885854,8,16,3,1,5.333333333,Least Walkable
51109950100,511099501004,51,109,950100,4,2.099499922,NA,0.255475976,0.396992847,7,3,3,1,3,Least Walkable
51109950201,511099502013,51,109,950201,3,3.197000259,NA,0.857282387,0.935783492,20,20,3,1,8,Below Average Walkable
51109950300,511099503003,51,109,950300,3,4.606185416,NA,0.560549249,0.773455249,18,10,4,1,6.333333333,Below Average Walkable
51109950300,511099503002,51,109,950300,2,2.624052202,NA,0.405962381,0.585913522,13,6,3,1,4.5,Least Walkable
51109950100,511099501001,51,109,950100,1,5.367492184,NA,0.687950397,0.38969596,7,15,4,1,5.333333333,Least Walkable
51109950400,511099504001,51,109,950400,1,2.367549655,NA,0.432813943,0.492131151,10,6,3,1,4,Least Walkable
51109950100,511099501002,51,109,950100,2,5.072523803,NA,0.363238516,0.631165689,14,5,4,1,4.833333333,Least Walkable
51109950201,511099502012,51,109,950201,2,3.533790293,NA,0.630766886,0.35861099,6,13,3,1,4.5,Least Walkable
51109950100,511099501003,51,109,950100,3,0.975744557,NA,0.489761468,0.347128231,6,8,1,1,3,Least Walkable
51109950500,511099505001,51,109,950500,1,3.659027037,NA,0.407429305,0.25453775,4,6,3,1,3,Least Walkable
51003011201,510030112011,51,003,011201,1,2.528935118,NA,0.708076495,0.497026381,10,16,3,1,5.666666667,Least Walkable
51003011000,510030110003,51,003,011000,3,9.149731627,NA,0.516930382,0.543439299,11,9,5,1,5.333333333,Least Walkable
51003010300,510030103005,51,003,010300,5,18.596202,NA,0.654868139,0.243998788,4,14,6,1,5.333333333,Least Walkable
51003010401,510030104011,51,003,010401,1,1.643080259,NA,0.372629869,0.446249858,9,5,2,1,3.333333333,Least Walkable
51003010401,510030104013,51,003,010401,3,3.576091963,NA,0.621822852,0.777681941,18,12,3,1,6.333333333,Below Average Walkable
51003010500,510030105002,51,003,010500,2,22.05423991,920.01,0.829289904,0.724053092,17,20,7,13,12.83333333,Above Average Walkable
51003011202,510030112022,51,003,011202,2,2.065731613,NA,0.588532258,0.598005858,13,11,2,1,5,Least Walkable
51003011301,510030113014,51,003,011301,4,1.339394871,NA,0.431810995,0.442059618,8,6,2,1,3.333333333,Least Walkable
51003010402,510030104022,51,003,010402,2,8.710777292,NA,0.337949212,0.567787389,12,4,5,1,4.666666667,Least Walkable
51003011201,510030112013,51,003,011201,3,1.344799092,NA,0.637022909,0.691606247,16,13,2,1,5.833333333,Below Average Walkable
51003010201,510030102012,51,003,010201,2,6.751925536,NA,0.565911137,0.638065853,14,10,4,1,5.666666667,Least Walkable
51003010602,510030106021,51,003,010602,1,44.21873402,343.33,0.792178437,0.431073517,8,19,9,17,13.16666667,Above Average Walkable
51003010800,510030108001,51,003,010800,1,27.18987204,NA,0.676087053,0.848034753,20,15,7,1,8.5,Below Average Walkable
51003011301,510030113011,51,003,011301,1,8.36177071,NA,0.411521721,0.501127523,10,6,5,1,4.666666667,Least Walkable
51540000800,515400008004,51,540,000800,4,64.33294688,303.09,0.819060047,0.903923162,20,19,11,18,16.16666667,Most Walkable
51003011301,510030113013,51,003,011301,3,1.09079074,NA,0.43169418,0.582599407,13,6,1,1,3.833333333,Least Walkable
51003011000,510030110001,51,003,011000,1,12.27100717,NA,0.457334885,0.622038455,14,7,5,1,5.5,Least Walkable
51540000402,515400004024,51,540,000402,4,146.5016718,368.81,0.577596472,0.292804137,5,11,17,17,14,Above Average Walkable
51540000201,515400002013,51,540,000201,3,144.492487,421.11,0.611745915,0.122045138,2,12,17,16,13.33333333,Above Average Walkable
51540000201,515400002011,51,540,000201,1,106.5053094,417.09,0.951387864,0.823954204,19,20,15,16,16.83333333,Most Walkable
51540001000,515400010001,51,540,001000,1,251.8737399,0,0.844348711,0.871919563,20,20,20,20,20,Most Walkable
51065020102,510650201021,51,065,020102,1,23.22876172,NA,0.754187375,0.396983866,7,17,7,1,6.666666667,Below Average Walkable
51065020101,510650201011,51,065,020101,1,5.043518945,NA,0.732565574,0.753491813,18,17,4,1,7.5,Below Average Walkable
51065020101,510650201013,51,065,020101,3,3.443054037,NA,0.358278745,0.590746156,13,5,3,1,4.333333333,Least Walkable
51065020101,510650201012,51,065,020101,2,9.003699593,NA,0.515012451,0.768993925,18,9,5,1,6.5,Below Average Walkable
51065020200,510650202003,51,065,020200,3,3.522328192,NA,0.589693484,0.537103868,11,11,3,1,5,Least Walkable
51079030102,510790301022,51,079,030102,2,13.58282165,NA,0.417933797,0.25498224,4,6,6,1,4,Least Walkable
51003010700,510030107001,51,003,010700,1,72.99409209,447.93,0.841205967,0.922555877,20,20,12,16,16,Most Walkable
51109950400,511099504002,51,109,950400,2,1.461325052,NA,0.503219148,0.300752723,5,8,2,1,3.166666667,Least Walkable
51003011201,510030112012,51,003,011201,2,3.237083794,NA,0.462912842,0.42474802,8,7,3,1,3.833333333,Least Walkable
51003011400,510030114002,51,003,011400,2,9.424719665,NA,0.763851755,0.737976939,17,18,5,1,7.833333333,Below Average Walkable
51003010100,510030101003,51,003,010100,3,3.973724327,NA,0.740293615,0.401040208,7,17,4,1,5.666666667,Least Walkable
51003011100,510030111005,51,003,011100,5,10.85233597,NA,0.793693809,0.636776218,14,19,5,1,7.5,Below Average Walkable
51003011301,510030113012,51,003,011301,2,2.022935871,NA,0.553703895,0.635794432,14,10,2,1,5,Least Walkable
51003010201,510030102011,51,003,010201,1,5.674563328,NA,0.568431016,0.422716446,8,10,4,1,4.666666667,Least Walkable
51003010800,510030108005,51,003,010800,5,20.51135253,NA,0.507089374,0.597611131,13,8,6,1,5.833333333,Below Average Walkable
51003010100,510030101002,51,003,010100,2,1.154677212,NA,0.782581593,0.579819808,13,18,2,1,6.166666667,Below Average Walkable
51003010202,510030102021,51,003,010202,1,7.315913997,NA,0.751679203,0.385466678,7,17,5,1,6,Below Average Walkable
51125950100,511259501003,51,125,950100,3,3.073315662,NA,0.837732941,0.666267224,15,20,3,1,7.166666667,Below Average Walkable
51125950100,511259501001,51,125,950100,1,0.778848303,NA,0.511957443,0.317991583,5,9,1,1,3,Least Walkable
51125950200,511259502003,51,125,950200,3,6.037724647,NA,0.760714806,0.542022989,11,18,4,1,6.5,Below Average Walkable
51125950300,511259503004,51,125,950300,4,1.780218583,NA,0.433002514,0.643397725,15,6,2,1,4.5,Least Walkable
51125950100,511259501004,51,125,950100,4,0.919876734,NA,0.672243153,0.26389161,4,14,1,1,3.666666667,Least Walkable
51125950200,511259502004,51,125,950200,4,4.131640378,NA,0.589626188,0.736714768,17,11,4,1,6.333333333,Below Average Walkable
51125950300,511259503003,51,125,950300,3,0.804770374,NA,0.387100236,0.480370346,10,5,1,1,3.166666667,Least Walkable
51125950300,511259503002,51,125,950300,2,2.042029851,NA,0.690159661,0.696029105,16,15,2,1,6.166666667,Below Average Walkable
51125950100,511259501002,51,125,950100,2,2.35543966,NA,0.612064592,0.734021593,17,12,3,1,6.166666667,Below Average Walkable
51125950200,511259502002,51,125,950200,2,1.853629645,NA,0.668667349,0.492885596,10,14,2,1,5,Least Walkable
51109950201,511099502011,51,109,950201,1,2.634936198,NA,0.858342469,0.748051784,17,20,3,1,7.5,Below Average Walkable
51109950202,511099502022,51,109,950202,2,5.163885988,NA,0.112687761,0.426959566,8,2,4,1,3.333333333,Least Walkable
51109950300,511099503001,51,109,950300,1,2.297055841,NA,0.523158833,0.20905845,3,9,3,1,3.333333333,Least Walkable
51125950200,511259502001,51,125,950200,1,9.106882403,NA,0.409007511,0.596437493,13,6,5,1,5.166666667,Least Walkable
51540000900,515400009001,51,540,000900,1,42.60908775,158.25,0.624634061,0.651943009,15,12,9,20,14.16666667,Above Average Walkable
51540000201,515400002012,51,540,000201,2,184.7338884,185.07,0.811917884,0.893354035,20,19,19,19,19.16666667,Most Walkable
51540000700,515400007004,51,540,000700,4,135.1599164,552.54,0.724816597,0.696930782,16,16,17,15,16,Most Walkable
51540000700,515400007003,51,540,000700,3,169.0852717,441.23,0.596496441,0.818208809,19,11,18,16,16.33333333,Most Walkable
51540000202,515400002023,51,540,000202,3,162.5211809,646.42,0.638796618,0.76475461,18,13,18,14,15.83333333,Most Walkable
51540000900,515400009002,51,540,000900,2,44.57498867,219.94,0.105028461,0.514894695,11,2,9,19,11.5,Above Average Walkable
51540000501,515400005011,51,540,000501,1,141.2674525,281.64,0.536937801,0.274302938,4,9,17,18,13.83333333,Above Average Walkable
51540000302,515400003021,51,540,000302,1,147.7103399,162.28,0.765502534,0.782420804,18,18,17,19,18,Most Walkable
51540000800,515400008001,51,540,000800,1,63.11617583,348.69,0.146498996,0.19625747,3,2,11,17,10.16666667,Below Average Walkable
51540000800,515400008002,51,540,000800,2,71.09192748,673.24,0.330358687,0.160052845,2,4,12,14,9.666666667,Below Average Walkable
