STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,NAMES,Totpcp,Totpcpinch
51,003,010100,1,510030101001,Block Group 1,1980,28.28,31.89,31.24,82.9,89.4,88.23,Albemarle,882.73,34.75
51,003,010100,2,510030101002,Block Group 2,1980,26.56,30.23,29.54,79.82,86.41,85.17,Albemarle,969.34,38.16
51,003,010100,3,510030101003,Block Group 3,1980,28.41,32.04,31.46,83.13,89.67,88.64,Albemarle,900.26,35.44
51,003,010201,1,510030102011,Block Group 1,1980,28.58,32.11,31.58,83.44,89.79,88.84,Albemarle,902.06,35.51
51,003,010201,2,510030102012,Block Group 2,1980,28.52,32.08,31.5,83.33,89.74,88.71,Albemarle,901.18,35.48
51,003,010202,1,510030102021,Block Group 1,1980,28.54,32.13,31.59,83.38,89.83,88.85,Albemarle,891.78,35.11
51,003,010202,2,510030102022,Block Group 2,1980,28.52,32.09,31.53,83.34,89.76,88.76,Albemarle,893.18,35.16
51,003,010300,1,510030103001,Block Group 1,1980,28.63,32.16,31.63,83.54,89.88,88.93,Albemarle,886.35,34.9
51,003,010300,2,510030103002,Block Group 2,1980,28.72,32.24,31.72,83.7,90.04,89.09,Albemarle,884.06,34.81
51,003,010300,3,510030103003,Block Group 3,1980,28.59,32.12,31.59,83.45,89.82,88.85,Albemarle,890.58,35.06
51,003,010300,4,510030103004,Block Group 4,1980,28.68,32.21,31.68,83.63,89.98,89.02,Albemarle,883.53,34.78
51,003,010300,5,510030103005,Block Group 5,1980,28.77,32.29,31.78,83.78,90.12,89.2,Albemarle,879.9,34.64
51,003,010401,1,510030104011,Block Group 1,1980,28.33,31.83,31.37,82.99,89.3,88.46,Albemarle,909.05,35.79
51,003,010401,2,510030104012,Block Group 2,1980,28.3,31.79,31.42,82.95,89.22,88.55,Albemarle,906.52,35.69
51,003,010401,3,510030104013,Block Group 3,1980,28.51,32.02,31.67,83.33,89.63,89.01,Albemarle,895.45,35.25
51,003,010402,1,510030104021,Block Group 1,1980,28.82,32.33,32,83.87,90.2,89.6,Albemarle,898.07,35.36
51,003,010402,2,510030104022,Block Group 2,1980,28.91,32.41,32.11,84.04,90.34,89.8,Albemarle,891.46,35.1
51,003,010500,1,510030105001,Block Group 1,1980,28.34,31.86,31.42,83.01,89.34,88.56,Albemarle,898.42,35.37
51,003,010500,2,510030105002,Block Group 2,1980,28.48,32,31.57,83.26,89.6,88.83,Albemarle,897.02,35.32
51,003,010500,3,510030105003,Block Group 3,1980,28.78,32.3,31.89,83.8,90.13,89.4,Albemarle,888.33,34.97
51,003,010601,1,510030106011,Block Group 1,1980,28.69,32.23,31.72,83.65,90.01,89.1,Albemarle,881.98,34.72
51,003,010601,2,510030106012,Block Group 2,1980,28.79,32.32,31.82,83.82,90.17,89.28,Albemarle,878.02,34.57
51,003,010601,3,510030106013,Block Group 3,1980,28.65,32.19,31.7,83.56,89.94,89.06,Albemarle,884.74,34.83
51,003,010602,1,510030106021,Block Group 1,1980,28.77,32.31,31.85,83.79,90.16,89.33,Albemarle,879.64,34.63
51,003,010602,2,510030106022,Block Group 2,1980,28.79,32.32,31.87,83.82,90.18,89.37,Albemarle,879.75,34.64
51,003,010700,1,510030107001,Block Group 1,1980,28.64,32.19,31.69,83.56,89.94,89.05,Albemarle,885.16,34.85
51,003,010700,2,510030107002,Block Group 2,1980,28.53,32.08,31.59,83.35,89.75,88.85,Albemarle,890.96,35.08
51,003,010700,3,510030107003,Block Group 3,1980,28.47,32.02,31.53,83.24,89.64,88.76,Albemarle,894.28,35.21
51,003,010800,1,510030108001,Block Group 1,1980,28.58,32.14,31.63,83.44,89.84,88.93,Albemarle,889.83,35.03
51,003,010800,2,510030108002,Block Group 2,1980,28.49,32.05,31.56,83.28,89.69,88.81,Albemarle,894.52,35.22
51,003,010800,3,510030108003,Block Group 3,1980,28.52,32.08,31.6,83.33,89.74,88.88,Albemarle,894.91,35.23
51,003,010800,4,510030108004,Block Group 4,1980,28.44,32,31.52,83.19,89.61,88.74,Albemarle,898.22,35.36
51,003,010800,5,510030108005,Block Group 5,1980,28.4,31.97,31.49,83.12,89.54,88.68,Albemarle,900.89,35.47
51,003,010901,1,510030109011,Block Group 1,1980,28.44,32,31.54,83.19,89.6,88.77,Albemarle,901.01,35.47
51,003,010901,2,510030109012,Block Group 2,1980,28.48,32.04,31.58,83.26,89.67,88.84,Albemarle,901.3,35.48
51,003,010902,1,510030109021,Block Group 1,1980,28.3,31.87,31.43,82.94,89.36,88.57,Albemarle,918.69,36.17
51,003,010902,2,510030109022,Block Group 2,1980,28.3,31.87,31.43,82.94,89.36,88.57,Albemarle,918.69,36.17
51,003,010903,1,510030109031,Block Group 1,1980,28.44,32,31.56,83.18,89.6,88.82,Albemarle,912.72,35.93
51,003,010903,2,510030109032,Block Group 2,1980,28.53,32.09,31.66,83.36,89.77,88.98,Albemarle,907.1,35.71
51,003,011000,1,510030110001,Block Group 1,1980,28.46,32.05,31.54,83.23,89.69,88.77,Albemarle,907.01,35.71
51,003,011000,2,510030110002,Block Group 2,1980,28.39,31.97,31.52,83.11,89.55,88.74,Albemarle,914.17,35.99
51,003,011000,3,510030110003,Block Group 3,1980,28.32,31.94,31.41,82.97,89.48,88.54,Albemarle,910.69,35.85
51,003,011000,4,510030110004,Block Group 4,1980,28.24,31.85,31.36,82.83,89.33,88.45,Albemarle,913.53,35.97
51,003,011000,5,510030110005,Block Group 5,1980,28.46,32.06,31.55,83.22,89.7,88.79,Albemarle,908.73,35.78
51,003,011100,1,510030111001,Block Group 1,1980,28.3,31.96,31.42,82.94,89.53,88.55,Albemarle,909.95,35.82
51,003,011100,2,510030111002,Block Group 2,1980,28.31,31.97,31.46,82.97,89.55,88.62,Albemarle,911.85,35.9
51,003,011100,3,510030111003,Block Group 3,1980,28.16,31.83,31.31,82.69,89.29,88.35,Albemarle,920.96,36.26
51,003,011100,4,510030111004,Block Group 4,1980,28.14,31.82,31.28,82.65,89.27,88.3,Albemarle,922.6,36.32
51,003,011100,5,510030111005,Block Group 5,1980,27.78,31.45,30.88,82,88.61,87.59,Albemarle,933.7,36.76
