"tract","PM25","OZONE","CANCER","RESP","DSLPM","PTRAF","Avg_PRE1960PCT","PWDIS","PNPL","PRMP","PTSDF","P_PM25","P_OZONE","P_CANCR","P_RESP","P_DSLPM","T_PM25","T_OZONE","T_CANCR","T_RESP","T_DSLPM"
"51003010100",7.24102931506849,41.6451287581699,24.9576455143072,0.312004874595832,0.13169353554362,0.312876891657429,0.209015867774036,NA,0.0503865065424534,0.097615075752878,0.0843200834198229,16.1060468805684,40.6400121892178,22.0426205906882,19.5074094731779,7.63739548666171,"7.24 ug/m3 (16%ile)","41.6 ppb (40%ile)","25 lifetime risk per million (22%ile)","0.31  (19%ile)","0.132 ug/m3 (7%ile)"
"51003010201",7.38613342465753,41.6585,28.3382188744563,0.365625537371048,0.197428163270984,181.172965137088,0.0548861278762735,NA,0.0292330509630275,0.0514272756979226,0.220419861358866,18.1665141741357,40.7591697744688,35.7629275894593,32.4545912820402,18.7442279179964,"7.39 ug/m3 (18%ile)","41.7 ppb (40%ile)","28 lifetime risk per million (35%ile)","0.37  (32%ile)","0.197 ug/m3 (18%ile)"
"51003010202",7.36425726027397,41.6534849673203,28.158915989733,0.359724920946369,0.213261715307857,7.24703215800034,0.165725796854342,NA,0.0379410807630969,0.0587121648789561,0.19357204449409,17.8350083556907,40.7174836847697,34.9529098356507,30.9106779568794,21.5940210285601,"7.36 ug/m3 (17%ile)","41.7 ppb (40%ile)","28 lifetime risk per million (34%ile)","0.36  (30%ile)","0.213 ug/m3 (21%ile)"
"51003010300",7.42313753424658,41.628939869281,29.139461116215,0.381765912417202,0.241424568311376,127.750531950283,0.0630252530854976,NA,0.031503778695621,0.0489803300982716,0.626697660642175,18.7323572055009,40.5216733293065,39.6249757759824,36.5673663377909,26.4179657817776,"7.42 ug/m3 (18%ile)","41.6 ppb (40%ile)","29 lifetime risk per million (39%ile)","0.38  (36%ile)","0.241 ug/m3 (26%ile)"
"51003010401",7.48707616438356,41.4248111111111,28.7342421787453,0.367900006894819,0.199379898464696,56.3953220752187,0.248095104290707,1.81020776281926e-05,0.0255719010357125,0.0896667707257938,0.177672427045201,19.829948315079,39.0381177597972,37.6142639739419,33.0167254178994,19.0868846165509,"7.49 ug/m3 (19%ile)","41.4 ppb (39%ile)","29 lifetime risk per million (37%ile)","0.37  (33%ile)","0.199 ug/m3 (19%ile)"
"51003010402",7.50725068493151,41.2993326797386,30.2734241465244,0.389451788135302,0.262623071287037,34.4808861506818,0.082339098137759,1.979849360665e-05,0.0280018158547138,0.0739379855844977,0.139805689740467,20.2063337508905,38.2216107105362,44.9777200376303,38.615157507013,29.8858432443265,"7.51 ug/m3 (20%ile)","41.3 ppb (38%ile)","30 lifetime risk per million (44%ile)","0.39  (38%ile)","0.263 ug/m3 (29%ile)"
"51003010500",7.50169150684932,41.5016816993464,32.193517956888,0.418996202830975,0.312599836236323,268.096316710839,0.0898148379807873,2.52556065530307e-05,0.0327584067153574,0.051737666849965,0.618466421783946,20.1173841999759,39.5692849982128,53.5859324898268,46.7136894413965,38.1369559754045,"7.5 ug/m3 (20%ile)","41.5 ppb (39%ile)","32 lifetime risk per million (53%ile)","0.42  (46%ile)","0.313 ug/m3 (38%ile)"
"51003010601",7.44563342465753,41.6019235294118,31.6771223113003,0.410700601440469,0.348955925319662,257.04299577187,0.031062402155692,NA,0.0351090777771318,0.0514895974683013,0.319488593937198,19.1124649420859,40.3048900740418,51.2223759303098,44.4773821622283,44.0494325721751,"7.45 ug/m3 (19%ile)","41.6 ppb (40%ile)","32 lifetime risk per million (51%ile)","0.41  (44%ile)","0.349 ug/m3 (44%ile)"
"51003010602",7.47426657534247,41.5536529411765,32.7059402384175,0.42369249182713,0.364263861946514,68.8689499413091,0.006112469437653,NA,0.034689934486882,0.0500539320735232,0.625825942444693,19.5734718461136,39.9618503922235,55.9925259852039,48.1590517986851,46.3664568369115,"7.47 ug/m3 (19%ile)","41.6 ppb (39%ile)","33 lifetime risk per million (55%ile)","0.42  (48%ile)","0.364 ug/m3 (46%ile)"
"51003010700",7.43305616438356,41.5972431372549,31.8456003912566,0.41432162928104,0.361377436629932,326.798528281964,0.0571070000219887,NA,0.0381875493098945,0.0582927618295003,0.402623901146057,18.9066259806524,40.2810743952426,52.0432902324362,45.4414543830661,45.9224297730255,"7.43 ug/m3 (18%ile)","41.6 ppb (40%ile)","32 lifetime risk per million (52%ile)","0.41  (45%ile)","0.361 ug/m3 (45%ile)"
"51003010800",7.41614465753425,41.6065267973856,32.2544938299837,0.421496715373669,0.352433497560444,480.062322841269,0.0693526794688866,NA,0.0404314413352783,0.0633459264021675,0.864559493607571,18.6236525541666,40.338598112439,53.8780965401095,47.4952117950826,44.6029876976129,"7.42 ug/m3 (18%ile)","41.6 ppb (40%ile)","32 lifetime risk per million (53%ile)","0.42  (47%ile)","0.352 ug/m3 (44%ile)"
"51003010901",7.42984849315068,41.5449470588235,33.5818216908312,0.452867885195415,0.502854464788049,528.168445756525,0.0624338624338625,NA,0.041842134204832,0.0656143494378141,1.58063334493901,18.8617678758709,39.9003169162327,59.934662283892,56.5278081561151,64.8568376822728,"7.43 ug/m3 (18%ile)","41.5 ppb (39%ile)","34 lifetime risk per million (59%ile)","0.45  (56%ile)","0.503 ug/m3 (64%ile)"
"51003010902",7.42333178082192,41.5237267973856,33.7818758134946,0.464301975973434,0.578590749999502,352.909795045032,0.0301556420233465,1.45627904827974e-05,0.0425627409844631,0.0661551270895089,1.91191989871742,18.7376464954432,39.7558648957902,60.8546895126853,59.7959510887422,72.5566065678894,"7.42 ug/m3 (18%ile)","41.5 ppb (39%ile)","34 lifetime risk per million (60%ile)","0.46  (59%ile)","0.579 ug/m3 (72%ile)"
"51003010903",7.45516575342466,41.5209163398693,33.587049869345,0.456640463732771,0.552676541298524,1033.3417612259,0,3.08906631765366e-05,0.0408334353762011,0.0622681392961864,1.79150593188118,19.2737591342163,39.7289947416851,59.9591852487192,57.6026488370793,70.0931272910276,"7.46 ug/m3 (19%ile)","41.5 ppb (39%ile)","34 lifetime risk per million (59%ile)","0.46  (57%ile)","0.553 ug/m3 (70%ile)"
"51003011000",7.31696054794521,41.5068156862745,27.91487953645,0.354809879399519,0.231630019304098,87.2801124072288,0.171733169117368,NA,0.0576008947535575,0.122420942055094,0.361380783579154,17.1266753139984,39.6112173914223,33.8700759568786,29.5514790005788,24.7646870347382,"7.32 ug/m3 (17%ile)","41.5 ppb (39%ile)","28 lifetime risk per million (33%ile)","0.35  (29%ile)","0.232 ug/m3 (24%ile)"
"51003011100",7.23737808219178,41.4126176470588,25.5831640889913,0.32332017922892,0.182843310888266,67.9767319528923,0.199243403903929,NA,0.123071916356914,0.597897208926286,0.0797004721625652,16.0675262586433,38.9512424585723,24.3737783979247,22.0691014273914,16.1421731339409,"7.24 ug/m3 (16%ile)","41.4 ppb (38%ile)","26 lifetime risk per million (24%ile)","0.32  (22%ile)","0.183 ug/m3 (16%ile)"
"51003011201",7.19287287671233,41.2515803921569,25.0120180620669,0.315677101471885,0.172624622661096,67.0951005731722,0.275414279277178,2.74765262e-07,0.220339744941596,0.126952696696502,0.102070912805366,15.5321263411674,37.8982428847865,22.2414976222947,20.3294681390243,14.3767959989327,"7.19 ug/m3 (15%ile)","41.3 ppb (37%ile)","25 lifetime risk per million (22%ile)","0.32  (20%ile)","0.173 ug/m3 (14%ile)"
"51003011202",7.28117917808219,41.2585490196078,27.9925885150653,0.3578963485626,0.214229822918388,173.846100985987,0.105080863182659,1.9810326054292e-05,0.0520002526460468,0.0753883713388919,0.500404965383445,16.6301430257984,37.9452269941726,34.2479523541222,30.398262614237,21.7706142564027,"7.28 ug/m3 (16%ile)","41.3 ppb (37%ile)","28 lifetime risk per million (34%ile)","0.36  (30%ile)","0.214 ug/m3 (21%ile)"
"51003011301",7.39798273972603,41.1487117647059,28.8068905892486,0.36837797145628,0.19619934479447,4.97750917535197,0.101862550582601,2.81689353153291e-06,0.0353654999621971,0.104112520288092,0.210219546232719,18.3377967530556,37.1894440488606,37.9345448611458,33.1610744785986,18.5676247768785,"7.4 ug/m3 (18%ile)","41.1 ppb (37%ile)","29 lifetime risk per million (37%ile)","0.37  (33%ile)","0.196 ug/m3 (18%ile)"
"51003011302",7.43375589041096,41.4293392156863,31.9227037767969,0.421409364603834,0.432855780522663,959.637980300559,0.0524736240466245,2.56340891316754e-05,0.0423307734248428,0.0624748825260485,1.02779507581206,18.9301513954411,39.0736203842781,52.3951693749384,47.4636764271247,56.1112978662034,"7.43 ug/m3 (18%ile)","41.4 ppb (39%ile)","32 lifetime risk per million (52%ile)","0.42  (47%ile)","0.433 ug/m3 (56%ile)"
"51003011303",7.4625397260274,41.423922875817,32.0026673919319,0.424083456652039,0.42338023989072,322.371651519141,0.0084745762711865,9.15138227567011e-05,0.0385302182386602,0.0568392514056672,1.18625597731918,19.3990041574941,39.0267637915195,52.7483533523048,48.257584179166,54.774335315819,"7.46 ug/m3 (19%ile)","41.4 ppb (39%ile)","32 lifetime risk per million (52%ile)","0.42  (48%ile)","0.423 ug/m3 (54%ile)"
"51003011400",7.23675232876712,40.8936575163399,27.5776008835104,0.34822857926477,0.17643179049797,39.478283670827,0.349791702697895,0.000525234314740964,0.0360477602829034,0.272846643055515,0.0551759702213756,16.0489396969036,35.0688331793651,32.3603299742737,27.9436482838317,15.0402354442542,"7.24 ug/m3 (16%ile)","40.9 ppb (35%ile)","28 lifetime risk per million (32%ile)","0.35  (27%ile)","0.176 ug/m3 (15%ile)"
"51065020101",7.53769287671233,41.0147450980392,30.0424545005653,0.395352798009677,0.23035829980637,22.2511115075423,0.0777987530368167,5.14870530573288e-06,0.0216402351976423,0.146463791573081,0.310073900687051,20.7899689372301,36.0208146420017,43.8933740745818,40.2041155160764,24.5206259137949,"7.54 ug/m3 (20%ile)","41 ppb (36%ile)","30 lifetime risk per million (43%ile)","0.4  (40%ile)","0.23 ug/m3 (24%ile)"
"51065020102",7.50703095890411,41.0214156862745,28.8481745288109,0.372926421472533,0.2140104492959,NA,0.0194219490871033,4.22541345626669e-06,0.023490705147477,0.135781181043927,0.492449835432177,20.2042638660731,36.0974739595224,38.1365814394713,34.3244760242294,21.741273749559,"7.51 ug/m3 (20%ile)","41 ppb (36%ile)","29 lifetime risk per million (38%ile)","0.37  (34%ile)","0.214 ug/m3 (21%ile)"
"51065020200",7.50914328767123,40.6415862745098,28.6812801764532,0.377606928354759,0.184320695467476,2.62688268084755,0.281713045973748,0.191424285656606,0.0232615242270674,0.104734457854503,0.0816900347078089,20.2517246818737,33.1730649901275,37.3503930310071,35.4540782576507,16.3981376202268,"7.51 ug/m3 (20%ile)","40.6 ppb (33%ile)","29 lifetime risk per million (37%ile)","0.38  (35%ile)","0.184 ug/m3 (16%ile)"
"51065020300",7.42734876712329,40.7499535947712,28.543019831476,0.367838596769126,0.17983150468176,NA,0.0763737227606193,0.00677401879923834,0.027964544101023,0.249155973752192,0.123241973571194,18.8298640886317,34.020045083831,36.6854576104816,32.9949698058362,15.6356946040568,"7.43 ug/m3 (18%ile)","40.7 ppb (34%ile)","29 lifetime risk per million (36%ile)","0.37  (32%ile)","0.18 ug/m3 (15%ile)"
"51079030101",7.17254383561644,41.994854248366,25.4581738155075,0.311393929300254,0.1309262778,24.9602100714654,0.134743033188629,8.5536734044e-05,0.0235102587308107,0.0490824473308003,0.213505137815029,15.2839194346206,43.1756145432371,23.8829204018391,19.3781648363807,7.53473918364698,"7.17 ug/m3 (15%ile)","42 ppb (43%ile)","25 lifetime risk per million (23%ile)","0.31  (19%ile)","0.131 ug/m3 (7%ile)"
"51079030102",7.20609397260274,41.8971692810457,26.0265754163129,0.319507043738013,0.1322984713,14.1964750533584,0.103826994565246,9.8436532814e-05,0.0271826271989076,0.05607841257934,0.279118511781228,15.7021926795884,42.4802532785764,26.0681541767597,21.1924336256961,7.71993930299786,"7.21 ug/m3 (15%ile)","41.9 ppb (42%ile)","26 lifetime risk per million (26%ile)","0.32  (21%ile)","0.132 ug/m3 (7%ile)"
"51079030200",7.34507205479452,41.6847758169935,28.2234056453916,0.355309920453711,0.203291996609316,96.5622665087855,0.0593617334834318,0.000268256514348913,0.0251455252644052,0.0527671593942502,0.401567897756482,17.5481311744529,40.9440052819944,35.2552532707396,29.7028234259667,19.7663801602052,"7.35 ug/m3 (17%ile)","41.7 ppb (40%ile)","28 lifetime risk per million (35%ile)","0.36  (29%ile)","0.203 ug/m3 (19%ile)"
"51109950100",7.59027095890411,40.5937901960784,28.7169344007936,0.37795236767502,0.187036972333993,1.00194425802463,0.071200069734064,5.5965953913e-05,0.0293595596723674,0.0357759983891607,0.0621986033794861,21.9963622842169,32.830527268628,37.529244626884,35.5552147316426,16.9182642519101,"7.59 ug/m3 (21%ile)","40.6 ppb (32%ile)","29 lifetime risk per million (37%ile)","0.38  (35%ile)","0.187 ug/m3 (16%ile)"
