"Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"510030101001","51003010100",7,5,71.4,2,987,0.064,35,38.1807228915663,2.41009156626506
"510030101002","51003010100",7,5,71.4,1.5,987,0.064,35,35.3668310727497,2.13256473489519
"510030101003","51003010100",7,5,71.4,0.5,987,0.064,940,55.640625,4.92970833333333
"510030102011","51003010201",7,5,71.4,1.5,987,0.064,940,79.7775510204082,5.76594693877551
"510030102012","51003010201",7,5,71.4,2,987,0.064,35,86.7857142857143,4.20834065934066
"510030102021","51003010202",7,5,71.4,1.5,987,0.064,35,118.260593220339,4.81676271186441
"510030102022","51003010202",7,5,71.4,0.5,987,0.064,940,119.435754189944,10.040748603352
"510030103001","51003010300",7,5,71.4,2,987,0.064,35,103.903703703704,4.77576296296296
"510030103002","51003010300",7,5,71.4,2,987,0.064,35,120.909090909091,5.31872727272727
"510030103003","51003010300",8,6,75,2,1000,0.064,1000,86.7055837563452,8.96740101522843
"510030103004","51003010300",7,5,71.4,2,987,0.064,35,125.355371900826,6.03867768595041
"510030103005","51003010300",7,5,71.4,0.5,987,0.064,35,122.800613496933,5.47687116564417
"510030104011","51003010401",10,7,70,1.5,1000,0.064,1000,43.8126110124334,4.60719360568384
"510030104012","51003010401",8,5,62.5,0.512,100,0.064,10,31.7043035019455,2.13090661478599
"510030104013","51003010401",8,6,75,0.5,1000,0.064,1000,99.833091436865,37.9689056603774
"510030104021","51003010402",8,6,75,0.5,1000,0.064,1000,112.571030640669,15.5328746518106
"510030104022","51003010402",7,5,71.4,2,1000,0.064,1000,201.637873754153,72.9597873754153
"510030105001","51003010500",7,5,71.4,2,987,0.064,35,70.646408839779,3.53481767955801
"510030105002","51003010500",8,6,75,2,1000,0.064,1000,151.710455764075,41.6773833780161
"510030105003","51003010500",7,5,71.4,2,987,0.064,35,82.3455882352941,3.58297058823529
"510030106011","51003010601",8,5,62.5,1.5,987,0.064,35,118.06,5.316096
"510030106012","51003010601",7,5,71.4,1.5,987,0.064,35,135.423076923077,5.76902884615385
"510030106013","51003010601",7,5,71.4,2,987,0.064,940,138.920289855072,12.8134637681159
"510030106021","51003010602",7,5,71.4,2,987,0.064,940,96.8888888888889,8.28808547008547
"510030106022","51003010602",7,5,71.4,2,987,0.064,940,152.909090909091,17.8505227272727
"510030107001","51003010700",7,5,71.4,1.5,987,0.064,35,113.858108108108,5.34772972972973
"510030107002","51003010700",7,5,71.4,1.5,987,0.064,35,145.977124183007,6.27555555555556
"510030107003","51003010700",7,5,71.4,2,987,0.064,940,168.545454545455,25.3672727272727
"510030108001","51003010800",8,6,75,2,1000,0.064,1000,106.663594470046,9.38873732718894
"510030108002","51003010800",7,5,71.4,2,987,0.064,35,141.371428571429,5.952
"510030108003","51003010800",7,5,71.4,0.5,987,0.064,35,154.092391304348,6.30254347826087
"510030108004","51003010800",7,5,71.4,2,987,0.064,35,152.5,6.501
"510030108005","51003010800",7,5,71.4,2,987,0.064,940,112.692771084337,10.3324578313253
"510030109011","51003010901",7,5,71.4,0.5,987,0.064,940,136.186206896552,11.9757655172414
"510030109012","51003010901",7,5,71.4,1.5,987,0.064,35,81.7702702702703,3.88335135135135
"510030109021","51003010902",8,6,75,1.5,1000,0.064,1000,133.42803030303,19.8513939393939
"510030109022","51003010902",6,3,50,2,100,0.064,3,29,1.97733333333333
"510030109031","51003010903",7,5,71.4,0.5,987,0.064,35,136.87037037037,5.878
"510030109032","51003010903",8,6,75,2,1000,0.064,1000,173.880597014925,21.3284179104478
"510030110001","51003011000",8,6,75,2,1000,0.064,1000,128.140350877193,11.9324210526316
"510030110002","51003011000",7,5,71.4,2,987,0.064,35,110.324324324324,4.76841441441441
"510030110003","51003011000",7,5,71.4,2,987,0.064,100,152.093264248705,6.87718134715026
"510030110004","51003011000",7,5,71.4,2,1000,0.064,1000,135.914163090129,25.7211845493562
"510030110005","51003011000",6,4,66.7,2,987,0.064,35,172.762589928058,7.08322302158273
"510030111001","51003011100",6,4,66.7,1.5,987,0.064,35,108.673507462687,4.58126865671642
"510030111002","51003011100",8,6,75,2,1000,0.064,1000,166.911917098446,31.0432331606218
"510030111003","51003011100",8,6,75,2,1000,0.064,1000,94.8021201413428,38.0926925795053
"510030111004","51003011100",6,4,66.7,2,987,0.064,940,158.774603174603,10.5596317460317
"510030111005","51003011100",6,4,66.7,2,987,0.064,35,143.05035971223,5.87001438848921
"510030112011","51003011201",8,6,75,2,1000,0.064,1000,81.0899550224888,21.3613253373313
"510030112012","51003011201",9,7,77.8,2,1000,0.064,1000,104.568788501027,70.5754496919918
"510030112013","51003011201",8,6,75,1.5,1000,0.064,1000,79.5777777777778,48.0181620915033
"510030112021","51003011202",8,6,75,0.5,1000,0.064,1000,71.4568661971831,20.1059436619718
"510030112022","51003011202",7,5,71.4,0.5,1000,0.064,1000,35.3677494199536,4.32755916473318
"510030113011","51003011301",6,4,66.7,2,987,0.064,35,110.907692307692,4.80092307692308
"510030113012","51003011301",7,5,71.4,1.5,987,0.064,35,44.2086720867209,2.53763143631436
"510030113013","51003011301",7,5,71.4,0.5,1000,0.064,1000,126.532608695652,8.89978623188406
"510030113014","51003011301",6,4,66.7,0.5,987,0.064,940,72.9673939393939,8.52434965034965
"510030113021","51003011302",7,5,71.4,0.5,1000,0.064,1000,148.473509933775,25.1991655629139
"510030113022","51003011302",6,4,66.7,1.5,987,0.064,940,172.340909090909,20.3998787878788
"510030113031","51003011303",6,4,66.7,2,987,0.064,35,174.712765957447,6.98514893617021
"510030113032","51003011303",7,5,71.4,2,987,0.064,35,105.219696969697,4.52472727272727
"510030114001","51003011400",6,4,66.7,1.5,987,0.064,35,35.2492163009404,2.06934169278997
"510030114002","51003011400",6,4,66.7,1.5,987,0.064,940,58.7926829268293,7.3630243902439
"510030114003","51003011400",7,5,71.4,0.512,1000,0.064,1000,37.6914594594595,3.85142342342342
"510030114004","51003011400",7,5,71.4,1.5,1000,0.064,1000,52.0390476190476,21.4689447619048
"510650201011","51065020101",7,5,71.4,0.5,1000,0.064,1000,179.032347457627,72.6363220338983
"510650201012","51065020101",7,5,71.4,2,1000,0.064,1000,151.563636363636,62.9852
"510650201013","51065020101",7,5,71.4,2,1000,0.064,1000,177.196629213483,65.9135505617977
"510650201021","51065020102",7,5,71.4,2,1000,0.064,1000,185.33786407767,22.336186407767
"510650201022","51065020102",6,4,66.7,2,987,0.064,35,180.539509536785,7.09473569482289
"510650201023","51065020102",6,4,66.7,2,987,0.064,35,176.638709677419,7.0096
"510650202001","51065020200",7,5,71.4,0.5,1000,0.064,1000,64.9765451055662,19.8473934740883
"510650202002","51065020200",6,4,66.7,0.5,987,0.064,35,34.4436507936508,1.91211746031746
"510650202003","51065020200",6,4,66.7,0.5,987,0.064,35,90.0623800383877,3.79771593090211
"510650202004","51065020200",6,3,50,0.5,987,0.064,35,57.0860814479638,2.61333936651584
"510650203001","51065020300",6,4,66.7,0.5,987,0.064,35,87.3213081081081,3.80080810810811
"510650203002","51065020300",6,4,66.7,0.5,987,0.064,100,83.0300218181818,3.72923393939394
"510650203003","51065020300",6,4,66.7,0.5,987,0.064,35,46.3354166666667,2.18730833333333
"510790301011","51079030101",8,6,75,0.5,987,0.064,100,48.4532710280374,3.67558566978193
"510790301012","51079030101",8,6,75,0.5,987,0.064,35,86.6221176470588,4.91527222982216
"510790301021","51079030102",7,5,71.4,0.5,987,0.064,35,34.1317411402157,2.20298305084746
"510790301022","51079030102",8,6,75,2,987,0.064,35,129.168831168831,5.512
"510790301023","51079030102",8,6,75,0.5,987,0.064,35,144.394894736842,6.41492105263158
"510790301024","51079030102",7,5,71.4,1.5,987,0.064,35,55.2391304347826,3.02693606138107
"510790302001","51079030200",9,6,66.7,0.5,987,0.064,35,128.933268858801,6.2676247582205
"510790302002","51079030200",8,6,75,1.5,987,0.064,35,116.049715909091,5.19623863636364
"510790302003","51079030200",9,6,66.7,0.5,987,0.064,35,53.5061349693252,4.12706441717791
"510790302004","51079030200",9,7,77.8,2,1000,0.064,1000,108.451327433628,8.01865486725664
"511099501001","51109950100",8,6,75,2,987,1.3,35,42.7256857855362,5.76251039068994
"511099501002","51109950100",8,5,62.5,1.5,987,0.384,35,45.6943907156673,5.77720309477756
"511099501003","51109950100",7,5,71.4,1.5,987,0.384,35,48.5057471264368,4.41862068965517
"511099501004","51109950100",6,4,66.7,2,987,0.768,35,46.3794037940379,4.21142547425474
"511099502011","51109950201",7,5,71.4,1,1000,0.384,100,222.827302631579,20.6718815789474
