"tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"51003010100",7,5,71.4,0.5,987,0.064,940,41.7555685814771,2.98707971864009
"51003010201",7,5,71.4,1.5,987,0.064,940,81.6755952380952,5.34409523809524
"51003010202",7,5,71.4,0.5,987,0.064,940,118.767469879518,7.07
"51003010300",8,6,75,0.5,1000,0.064,1000,109.631542699725,6.36332782369146
"51003010401",11,8,72.7,0.5,1000,0.064,1000,62.1446840317101,16.9024416761042
"51003010402",9,7,77.8,0.5,1000,0.064,1000,153.190909090909,41.7230272727273
"51003010500",8,6,75,2,1000,0.064,1000,116.773913043478,24.1634057971015
"51003010601",8,5,62.5,1.5,987,0.064,940,131.839702760085,7.7127983014862
"51003010602",7,5,71.4,2,987,0.064,940,112.198757763975,10.9014223602484
"51003010700",7,5,71.4,1.5,987,0.064,940,145.539877300613,11.862736196319
"51003010800",8,6,75,0.5,1000,0.064,1000,122.396953405018,8.69667741935484
"51003010901",7,5,71.4,0.5,987,0.064,940,125.123626373626,10.3306043956044
"51003010902",8,6,75,1.5,1000,0.064,1000,128.88768115942,19.0742608695652
"51003010903",8,6,75,0.5,1000,0.064,1000,163.25,16.8905319148936
"51003011000",9,7,77.8,2,1000,0.064,1000,136.238805970149,11.9069291044776
"51003011100",10,8,80,1.5,1000,0.064,1000,131.941151919866,18.4821135225376
"51003011201",9,7,77.8,1.5,1000,0.064,1000,86.4455445544555,44.4774059405941
"51003011202",9,7,77.8,0.5,1000,0.064,1000,55.8868868868869,13.2986526526527
"51003011301",8,6,75,0.5,1000,0.064,1000,88.1067222614841,6.93856819787986
"51003011302",7,5,71.4,0.5,1000,0.064,1000,159.606007067138,22.960628975265
"51003011303",7,5,71.4,2,987,0.064,35,134.12389380531,5.54808849557522
"51003011400",8,6,75,0.512,1000,0.064,1000,44.1516104956268,9.33281865889213
"51065020101",7,5,71.4,0.5,1000,0.064,1000,167.644282568807,67.6426091743119
"51065020102",7,5,71.4,2,1000,0.064,1000,181.598154362416,13.6576174496644
"51065020200",7,5,71.4,0.5,1000,0.064,1000,60.4100416272469,6.94362913907285
"51065020300",6,4,66.7,0.5,987,0.064,100,79.9102692520776,3.5535567867036
"51079030101",8,6,75,0.5,987,0.064,100,68.7747764020393,4.33560815731974
"51079030102",8,6,75,0.5,987,0.064,35,67.9071983122363,3.46323347398031
"51079030200",10,7,70,0.5,1000,0.064,1000,96.3220430107527,5.63366021505376
"51109950100",9,6,66.7,1.5,987,0.384,35,44.676618705036,5.47797985611511
"51109950201",7,5,71.4,1,1000,0.384,100,245.156841339156,22.0468355167394
"51109950202",9,7,77.8,1,1000,0.384,1000,78.1773967809657,8.14876417074878
"51109950300",11,7,63.6,0.5,1000,0.064,1000,109.011448481832,29.9685465405674
"51109950400",7,4,57.1,0.5,987,0.064,35,49.3830476190476,2.5932049689441
"51109950500",6,3,50,1.5,987,0.384,35,38.9006560449859,2.98541518275539
"51125950100",9,6,66.7,0.512,1000,0.064,1000,56.438595110316,19.8505855694693
"51125950200",12,8,66.7,1,1000,0.064,1000,151.906840224604,116.835340479837
"51125950300",9,6,66.7,1,1000,0.064,1000,239.20586568433,45.1578804193823
"51540000201",8,6,75,2,1000,0.064,1000,219.923728813559,76.6617175141243
"51540000202",9,7,77.8,2,10000,0.064,10000,243.237623762376,104.86847029703
"51540000302",9,6,66.7,2,1000,0.064,1000,235.882618510158,106.986410835214
"51540000401",8,6,75,2,1000,0.064,1000,233.664705882353,96.2488588235294
"51540000402",9,6,66.7,0.5,1000,0.064,1000,249.195275590551,109.598674015748
"51540000501",8,6,75,2,1000,0.064,1000,221.433823529412,75.9278382352941
"51540000502",8,5,62.5,0.5,1000,0.064,1000,220.209198813056,79.9427299703264
"51540000600",8,6,75,1.5,1000,0.064,1000,181.517921146953,41.6649605734767
"51540000700",9,6,66.7,1.5,1000,0.064,1000,181.552036199095,68.3127722473605
"51540000800",9,6,66.7,0.5,1000,0.064,1000,130.266749403341,10.0267589498807
"51540000900",9,6,66.7,2,1000,0.064,1000,214.475460122699,82.0744171779141
"51540001000",9,6,66.7,1.5,1000,0.064,1000,224.521714922049,95.8103585746102
