"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loan","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_missing","appRace_NA","appRace_multiracial","appEth_HispLat","appMale","appFemale","appsex_missing","avg_rateSpread","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_loan_amount","med_loan_amount","avg_app_income","median_app_income","median_income_accepted_app","white_denial_rate","black_denial_rate","hislat_denial_rate","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","population","minority_population","median_family_income","tract_to_msamd_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
"51003010100",2007,326,5,0,0,122,35,0,0,0,0,1,40,152,27,41,28,2,81,0,0,2,6,19,2,222,48,32,0,0,184,86,29,4.786,0,331,202,40,302694.864048338,201,126080.267558528,84000,102000,0.117117117117117,0.421052631578947,NA,0.000253010744633925,98.6842105263158,1.31578947368421,50518,373.590163934426,257,331,14.5015105740181,0.123867069486405,67.0694864048338,5.74018126888217,0,4587,4.51000022888184,66800,107.610000610352,1319,1815
"51003010100",2008,231,24,3,0,68,20,0,0,0,0,0,27,134,16,40,19,6,43,0,0,2,5,4,0,180,37,30,1,2,137,73,18,4.743,0,258,187,24,259903.100775194,216.5,118600,81000,95000,0.172222222222222,0.25,0,0.000286159694193521,91.044776119403,8.95522388059701,38063,374.632352941176,295,258,14.3410852713178,0.155038759689922,69.7674418604651,1.55038759689922,0.775193798449612,4587,4.51000022888184,68500,107.610000610352,1319,1815
"51003010100",2009,381,37,6,0,71,24,0,0,0,0,4,11,229,14,52,48,8,72,1,0,1,2,3,2,314,58,44,2,3,235,105,40,4.78875,0,424,332,10,279273.58490566,248,143807.387862797,101000,102500,0.133757961783439,0,0.333333333333333,0.000297572638910546,93.8864628820961,6.11353711790393,63547,312.676056338028,265,424,13.6792452830189,0.122641509433962,74.0566037735849,0.707547169811321,0.707547169811321,4587,4.51000022888184,72800,107.610000610352,1319,1815
"51003010100",2010,290,25,0,3,57,9,0,0,0,0,1,5,166,17,41,26,17,51,0,0,1,4,3,0,263,32,15,1,3,207,73,23,1.97,0,318,258,2,293578.616352201,240,159240.924092409,90000,102000,0.144486692015209,0,0.333333333333333,0.00028761023615226,94.578313253012,5.42168674698795,46043,288.771929824561,250,318,10.062893081761,0.128930817610063,82.7044025157233,0.943396226415094,0.943396226415094,4587,4.51000022888184,73800,107.610000610352,1319,1815
"51003010100",2011,247,11,6,1,62,23,0,0,0,0,2,19,144,9,38,24,8,42,0,0,1,3,0,0,204,38,19,0,0,164,61,21,3.17333333333333,0,265,203,11,275637.735849057,237,130796.680497925,103000,111500,0.132352941176471,NA,NA,0.000299391860283799,95.8333333333333,4.16666666666667,40886,349.161290322581,330.5,265,14.3396226415094,0.143396226415094,76.9811320754717,0,0,4587,4.51000022888184,76700,107.610000610352,1319,1815
"51003010100",2012,298,25,17,1,56,25,0,0,0,0,1,11,198,12,33,26,16,56,0,0,2,3,3,3,265,38,27,2,2,210,77,27,3.225,0,341,264,9,309929.618768328,261,139461.038961039,99500,103000,0.0981132075471698,0.333333333333333,0.5,0.000281866583150642,90.9090909090909,9.09090909090909,57352,527.696428571429,327,341,11.1436950146628,0.0967741935483871,77.7126099706745,0.879765395894428,0.586510263929619,5190,6.59000015258789,77800,122.199996948242,1476,2060
"51003010100",2013,263,22,16,5,104,25,0,0,0,0,3,15,162,18,40,26,12,48,0,0,1,4,4,0,232,39,26,1,2,187,71,22,1.68,0,306,239,5,302898.692810457,269.5,130904.929577465,103000,111000,0.142241379310345,0.5,0,0.000256996002284409,87.6543209876543,12.3456790123457,48622,389.182692307692,396.5,306,12.7450980392157,0.130718954248366,75.8169934640523,1.30718954248366,0.65359477124183,5190,6.59000015258789,77500,122.199996948242,1476,2060
"51003010100",2014,148,15,12,2,63,18,0,0,0,0,1,12,99,3,29,18,7,21,0,0,1,3,2,0,124,31,16,0,3,107,41,13,2.2,0,177,144,2,281062.146892655,264,116056.25,100500,106000,0.17741935483871,0.5,0,0.00027151555043607,82.8282828282828,17.1717171717172,28163,325.079365079365,320,177,17.5141242937853,0.163841807909605,70.0564971751412,1.12994350282486,1.69491525423729,5190,6.59000015258789,77800,127.800003051758,1476,2060
"51003010100",2015,159,18,10,0,58,13,0,0,0,0,2,14,92,4,32,32,8,19,0,0,0,3,2,0,146,23,13,0,3,107,52,15,3.55,0,187,150,11,281625.668449198,230,118752.873563218,91000,102000,0.198630136986301,0,0,0.000238824567779451,90.2173913043478,9.78260869565217,27272,382.672413793103,369,187,12.2994652406417,0.171122994652406,78.0748663101604,1.06951871657754,1.60427807486631,5190,6.59000015258789,80800,127.800003051758,1476,2060
"51003010100",2016,226,19,20,4,105,14,0,0,0,0,2,18,144,11,34,29,13,38,0,0,0,1,0,0,212,32,24,0,4,167,59,19,2.175,0,269,223,1,306405.204460967,275,149139.917695473,111000,130000,0.132075471698113,NA,0.5,0.000259862128703938,86.8055555555556,13.1944444444444,47260,358.904761904762,383,269,11.8959107806691,0.12639405204461,78.8104089219331,0,1.48698884758364,5190,6.59000015258789,77000,127.800003051758,1476,2060
"51003010100",2017,165,14,18,5,86,20,0,0,0,0,2,12,98,5,29,32,9,29,0,0,1,7,6,0,142,31,15,0,2,106,58,23,5.95,0,202,162,2,299752.475247525,269.5,126459.459459459,98000,111000,0.140845070422535,0.166666666666667,0,0.000217068686734445,83.6734693877551,16.3265306122449,32486,378.441860465116,346,202,15.3465346534653,0.143564356435644,70.2970297029703,2.97029702970297,0.99009900990099,5423,12.2399997711182,74100,113.160003662109,1484,2235
"51003010200",2007,673,10,7,1,233,60,0,0,0,0,15,117,359,43,105,54,19,111,0,0,10,14,60,1,429,119,58,0,21,393,179,61,5.13,0,691,456,113,251180.897250362,200,124978.260869565,85000,92000,0.132867132867133,0.383333333333333,0.142857142857143,0.000185814343003961,98.050139275766,1.94986072423398,90339,270.360515021459,225,691,17.2214182344428,0.151953690303907,62.0839363241679,8.68306801736614,3.03907380607815,7226,9.35999965667725,66800,144.770004272461,2360,2796
"51003010200",2008,495,67,18,0,195,61,0,0,0,0,11,66,273,33,101,60,13,100,0,0,0,14,52,1,387,73,53,2,7,341,141,45,4.52785714285714,0,580,411,50,281491.379310345,230,123617.260787992,88000,92500,0.167958656330749,0.346153846153846,0.285714285714286,0.000168343939618174,87.9120879120879,12.0879120879121,68444,371.794871794872,278,580,12.5862068965517,0.174137931034483,66.7241379310345,8.96551724137931,1.20689655172414,7226,9.35999965667725,68500,144.770004272461,2360,2796
"51003010200",2009,680,83,44,2,181,38,0,0,0,0,4,21,432,14,77,78,11,197,0,0,1,24,31,2,556,93,102,1,8,477,164,66,4.03333333333333,0,809,584,17,268864.029666255,236,122310.584958217,93000,97000,0.0989208633093525,0.0645161290322581,0,0.00019098447190141,87.5,12.5,108916,292.718232044199,272,809,11.495673671199,0.0951792336217552,68.7268232385661,3.831891223733,0.988875154511743,7226,9.35999965667725,72800,144.770004272461,2360,2796
"51003010200",2010,495,78,45,3,154,25,0,0,0,0,2,22,348,17,68,64,13,111,0,0,0,20,20,1,473,62,45,1,13,396,138,42,2.125,0,621,484,10,276932.367149758,241,131942.549371634,99000,107000,0.112050739957717,0.15,0.230769230769231,0.000200424346720297,82.7586206896552,17.2413793103448,94996,296.948051948052,260.5,621,9.98389694041868,0.109500805152979,76.1674718196457,3.22061191626409,2.09339774557166,7226,9.35999965667725,73800,144.770004272461,2360,2796
"51003010200",2011,472,47,46,22,158,26,0,0,0,0,4,34,331,11,56,46,28,115,0,0,4,10,26,2,407,80,58,3,12,333,139,57,2.39833333333333,0,587,451,13,282052.810902896,240,134366.990291262,97000,95000,0.0810810810810811,0.115384615384615,0.166666666666667,0.000201675306412422,81.8731117824773,18.1268882175227,88531,267.943037974684,228.5,587,13.6286201022147,0.0954003407155026,69.335604770017,4.42930153321976,2.0442930153322,7226,9.35999965667725,76700,144.770004272461,2360,2796
