,file,min,max,mean,count,median,nodata,masked_count,spatial_unit,GEOID,full_path,prop_nodata,file_entityId,scene_entityId,displayId,spatialCoverage,spatialBounds,Date Acquired,Start Time,Stop Time,Day/Night Indicator,Land Cloud Cover,Sun Elevation L0RA,Sun Azimuth L0RA,Datum
13,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,82.30724956400005,93.09862230800005,87.40703858950945,583,87.36455195600008,0.0,605,blkgps,515400005022,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
14,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,79.66785452000008,92.975573588,84.68233128470388,790,84.62364171800006,0.0,970,blkgps,515400005023,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
15,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,81.956560712,92.58797011999998,86.28374793075639,550,85.75568994200002,0.0,967,blkgps,515400005024,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
16,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,81.402841472,107.64298101200002,90.51869384829206,589,90.31156879999996,0.0,386,blkgps,515400005025,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
17,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,83.439297788,104.47447647200006,94.18157811668851,581,94.47061553600004,0.0,894,blkgps,515400006001,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
18,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,92.50183601600004,103.12094055200002,98.09838544059096,264,98.503537334,0.0,249,blkgps,515400002022,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
19,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,83.93764510399997,102.34573361599996,90.4552468873311,592,89.07492916400003,0.0,596,blkgps,515400010003,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
20,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,83.519279456,105.98797572800012,93.925294669802,1030,93.47084468600004,0.0,1120,blkgps,515400010002,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
21,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,82.88557854800001,111.46979620400006,97.89172220598051,1537,97.829845592,0.0,2741,blkgps,515400008004,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
22,LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10,80.3569273520001,96.84545583199996,90.8061641031846,569,91.529751128,0.0,619,blkgps,515400004024,./st_b10_data/LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10.TIF,0.0,L2ST_LC08_L2SP_016034_20200906_20200918_02_T1_ST_B10_TIF,LC80160342020250LGN00,LC08_L2SP_016034_20200906_20200918_02_T1,"[[-80.13726, 36.80658], [-78.06168, 36.40795], [-77.52364, 38.12644], [-79.64735, 38.52635], [-80.13726, 36.80658]]","[[-80.13726, 36.40795], [-80.13726, 38.52635], [-77.52364, 38.52635], [-77.52364, 36.40795], [-80.13726, 36.40795]]",2020/09/06,2020:250:15:52:57.4650050,2020:250:15:53:29.2350040,DAY,0.09,53.69279618,144.81285063,WGS84
