"w_geocode","lowwage","midwage","hiwage","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI.Na_workers","Asian_workers","NaH.PI_workers","Multi.racial_workers","lessThanHS","HSnoCollege","SomeColl.Associates","Bach.AdvDeg","w_county","countyName"
510030101001000,0,2,1,3,0,0.666666666666667,0.333333333333333,3,0,0,0,0,0,0,0,0,1,"51003","Albemarle"
510030101001002,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101001010,3,0,0,3,1,0,0,3,0,0,0,0,0,0,0,1,1,"51003","Albemarle"
510030101001021,2,3,3,8,0.25,0.375,0.375,8,0,0,0,0,0,2,1,1,0,"51003","Albemarle"
510030101001037,4,0,0,4,1,0,0,4,0,0,0,0,0,0,3,0,1,"51003","Albemarle"
510030101001038,7,0,0,7,1,0,0,2,4,0,0,0,1,2,2,1,0,"51003","Albemarle"
510030101001043,0,3,0,3,0,1,0,0,3,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030101001048,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,"51003","Albemarle"
510030101001051,3,1,1,5,0.6,0.2,0.2,1,3,0,0,0,1,3,1,0,1,"51003","Albemarle"
510030101001053,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101001054,5,9,3,17,0.294117647058824,0.529411764705882,0.176470588235294,16,0,1,0,0,0,4,5,4,1,"51003","Albemarle"
510030101001055,3,10,11,24,0.125,0.416666666666667,0.458333333333333,24,0,0,0,0,0,0,9,6,2,"51003","Albemarle"
510030101001057,3,2,2,7,0.428571428571429,0.285714285714286,0.285714285714286,6,1,0,0,0,0,1,2,1,0,"51003","Albemarle"
510030101001059,1,3,4,8,0.125,0.375,0.5,8,0,0,0,0,0,1,2,2,0,"51003","Albemarle"
510030101001064,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,"51003","Albemarle"
510030101001070,0,14,12,26,0,0.538461538461538,0.461538461538462,26,0,0,0,0,0,4,2,9,6,"51003","Albemarle"
510030101001071,0,10,3,13,0,0.769230769230769,0.230769230769231,13,0,0,0,0,0,2,4,1,0,"51003","Albemarle"
510030101001074,6,1,0,7,0.857142857142857,0.142857142857143,0,7,0,0,0,0,0,0,2,3,1,"51003","Albemarle"
510030101001078,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,2,0,"51003","Albemarle"
510030101002024,19,20,7,46,0.41304347826087,0.434782608695652,0.152173913043478,43,3,0,0,0,0,6,8,9,12,"51003","Albemarle"
510030101002027,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030101002037,0,1,1,2,0,0.5,0.5,2,0,0,0,0,0,1,0,0,1,"51003","Albemarle"
510030101002038,4,2,18,24,0.166666666666667,0.0833333333333333,0.75,23,1,0,0,0,0,1,6,9,7,"51003","Albemarle"
510030101002049,11,22,8,41,0.268292682926829,0.536585365853659,0.195121951219512,37,2,0,2,0,0,4,9,15,10,"51003","Albemarle"
510030101002051,0,2,3,5,0,0.4,0.6,5,0,0,0,0,0,1,0,2,0,"51003","Albemarle"
510030101002056,3,3,1,7,0.428571428571429,0.428571428571429,0.142857142857143,7,0,0,0,0,0,1,2,3,0,"51003","Albemarle"
510030101002070,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101002078,1,1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,3,0,0,0,0,0,1,0,1,0,"51003","Albemarle"
510030101002088,3,1,1,5,0.6,0.2,0.2,5,0,0,0,0,0,0,0,4,0,"51003","Albemarle"
510030101002095,8,7,1,16,0.5,0.4375,0.0625,14,2,0,0,0,0,1,4,4,4,"51003","Albemarle"
510030101002100,1,1,4,6,0.166666666666667,0.166666666666667,0.666666666666667,6,0,0,0,0,0,0,4,1,1,"51003","Albemarle"
510030101002104,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030101002118,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,"51003","Albemarle"
510030101002124,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,"51003","Albemarle"
510030101002128,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,"51003","Albemarle"
510030101002129,0,1,1,2,0,0.5,0.5,2,0,0,0,0,0,1,0,0,1,"51003","Albemarle"
510030101002131,2,6,0,8,0.25,0.75,0,7,1,0,0,0,0,1,3,1,0,"51003","Albemarle"
510030101002137,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"51003","Albemarle"
510030101002139,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"51003","Albemarle"
510030101002140,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030101002145,11,3,1,15,0.733333333333333,0.2,0.0666666666666667,15,0,0,0,0,0,2,1,3,3,"51003","Albemarle"
510030101002148,14,6,4,24,0.583333333333333,0.25,0.166666666666667,21,1,0,0,0,2,2,6,3,5,"51003","Albemarle"
510030101002180,0,2,1,3,0,0.666666666666667,0.333333333333333,3,0,0,0,0,0,1,0,0,0,"51003","Albemarle"
510030101003001,4,4,6,14,0.285714285714286,0.285714285714286,0.428571428571429,12,2,0,0,0,0,1,2,2,1,"51003","Albemarle"
510030101003004,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
