"w_tract","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","w_county","countyName"
"51003010100",174,204,156,534,0.325842696629214,0.382022471910112,0.292134831460674,481,36,1,11,1,4,62,124,134,95,"51003","Albemarle"
"51003010201",166,250,439,855,0.194152046783626,0.292397660818713,0.513450292397661,612,170,1,51,3,18,76,206,204,180,"51003","Albemarle"
"51003010202",70,136,147,353,0.198300283286119,0.385269121813031,0.41643059490085,303,36,2,4,2,6,42,75,100,71,"51003","Albemarle"
"51003010300",696,1074,1996,3766,0.184811471056824,0.28518321826872,0.530005310674456,3076,455,7,176,0,52,294,714,866,991,"51003","Albemarle"
"51003010401",246,337,511,1094,0.224862888482633,0.308043875685558,0.46709323583181,873,174,2,32,0,13,112,259,301,223,"51003","Albemarle"
"51003010402",370,512,399,1281,0.288836846213895,0.399687743950039,0.311475409836066,1030,201,1,22,0,27,115,257,273,232,"51003","Albemarle"
"51003010500",1408,2415,3618,7441,0.189221878779734,0.324553151458137,0.486224969762129,5730,1384,16,194,4,113,551,1490,1904,2060,"51003","Albemarle"
"51003010601",1865,1463,1434,4762,0.391642167156657,0.30722385552289,0.301133977320454,3550,933,13,162,4,100,379,881,1112,1018,"51003","Albemarle"
"51003010602",74,144,136,354,0.209039548022599,0.406779661016949,0.384180790960452,312,29,0,8,1,4,29,91,77,108,"51003","Albemarle"
"51003010700",2854,3498,10800,17152,0.166394589552239,0.203941231343284,0.629664179104478,13579,2032,42,1204,11,284,985,2723,3675,6590,"51003","Albemarle"
"51003010800",968,1565,1475,4008,0.241516966067864,0.390469061876248,0.368013972055888,2978,818,8,132,3,69,375,947,928,796,"51003","Albemarle"
"51003010901",154,250,413,817,0.188494492044064,0.305997552019584,0.505507955936353,645,135,2,14,0,21,79,188,180,225,"51003","Albemarle"
"51003010902",235,143,233,611,0.384615384615385,0.234042553191489,0.381342062193126,411,150,1,32,0,17,54,118,129,145,"51003","Albemarle"
"51003010903",107,148,94,349,0.306590257879656,0.424068767908309,0.269340974212034,190,136,0,19,0,4,44,68,75,51,"51003","Albemarle"
"51003011000",621,895,1110,2626,0.236481340441736,0.340822543792841,0.422696115765423,2176,318,10,90,3,29,251,499,555,682,"51003","Albemarle"
"51003011100",559,584,415,1558,0.358793324775353,0.374839537869063,0.266367137355584,1304,183,6,34,0,31,151,305,322,325,"51003","Albemarle"
"51003011201",209,396,276,881,0.237230419977299,0.449489216799092,0.31328036322361,795,55,3,19,0,9,116,176,201,192,"51003","Albemarle"
"51003011202",159,279,472,910,0.174725274725275,0.306593406593407,0.518681318681319,750,120,1,27,0,12,79,193,221,240,"51003","Albemarle"
"51003011301",419,405,366,1190,0.352100840336134,0.340336134453782,0.307563025210084,1043,95,6,28,1,17,88,237,265,302,"51003","Albemarle"
"51003011302",249,475,764,1488,0.167338709677419,0.319220430107527,0.513440860215054,1227,216,3,23,1,18,102,284,393,503,"51003","Albemarle"
"51003011303",827,872,999,2698,0.306523350630096,0.323202372127502,0.370274277242402,2193,378,13,62,0,52,229,499,563,747,"51003","Albemarle"
"51003011400",232,174,121,527,0.44022770398482,0.330170777988615,0.229601518026565,446,72,1,2,1,5,57,101,131,79,"51003","Albemarle"
"51065020101",423,821,1137,2381,0.177656446871063,0.344813103737925,0.477530449391012,1761,542,12,28,7,31,269,540,590,589,"51065","Fluvanna"
"51065020102",380,268,210,858,0.442890442890443,0.312354312354312,0.244755244755245,704,101,1,28,2,22,71,205,191,157,"51065","Fluvanna"
"51065020200",183,307,260,750,0.244,0.409333333333333,0.346666666666667,576,158,3,6,0,7,88,190,178,150,"51065","Fluvanna"
"51065020300",67,146,172,385,0.174025974025974,0.379220779220779,0.446753246753247,350,25,2,3,0,5,59,105,77,70,"51065","Fluvanna"
"51079030101",341,379,496,1216,0.280427631578947,0.311677631578947,0.407894736842105,1096,86,5,14,0,15,114,303,297,306,"51079","Greene"
"51079030102",95,137,120,352,0.269886363636364,0.389204545454545,0.340909090909091,306,30,1,10,0,5,26,89,89,83,"51079","Greene"
"51079030200",547,819,547,1913,0.285938316779927,0.428123366440146,0.285938316779927,1559,249,6,50,1,48,191,449,400,344,"51079","Greene"
"51109950100",248,344,1661,2253,0.110075454948957,0.152685308477585,0.737239236573458,1817,359,16,28,2,31,195,565,592,554,"51109","Louisa"
"51109950201",576,926,686,2188,0.263254113345521,0.423217550274223,0.313528336380256,1691,440,9,20,1,27,229,587,501,368,"51109","Louisa"
"51109950202",384,423,500,1307,0.2938026013772,0.323641928079572,0.382555470543229,1080,189,2,23,0,13,82,342,291,320,"51109","Louisa"
"51109950300",783,1666,1141,3590,0.218105849582173,0.464066852367688,0.317827298050139,2480,903,10,129,3,65,404,942,777,462,"51109","Louisa"
"51109950400",39,86,94,219,0.178082191780822,0.392694063926941,0.429223744292237,156,51,2,7,0,3,22,54,60,31,"51109","Louisa"
"51109950500",151,203,126,480,0.314583333333333,0.422916666666667,0.2625,363,102,0,8,0,7,59,120,105,77,"51109","Louisa"
"51125950100",319,471,405,1195,0.266945606694561,0.394142259414226,0.338912133891213,1044,123,3,11,0,14,103,321,304,286,"51125","Nelson"
"51125950200",448,586,306,1340,0.334328358208955,0.437313432835821,0.228358208955224,1210,74,9,35,0,12,150,292,288,221,"51125","Nelson"
"51125950300",376,534,315,1225,0.306938775510204,0.435918367346939,0.257142857142857,1025,167,8,8,1,16,160,292,298,195,"51125","Nelson"
"51540000201",259,460,530,1249,0.207365892714171,0.368294635708567,0.424339471577262,1050,127,5,42,3,22,112,265,295,285,"51540","Charlottesville"
"51540000202",1085,656,369,2110,0.514218009478673,0.310900473933649,0.174881516587678,1534,429,6,94,1,46,189,342,413,289,"51540","Charlottesville"
"51540000302",675,752,1276,2703,0.249722530521643,0.278209396966334,0.472068072512024,2272,309,6,71,1,44,261,539,565,692,"51540","Charlottesville"
"51540000401",163,218,238,619,0.263327948303716,0.352180936995153,0.384491114701131,459,117,0,19,0,24,54,137,118,147,"51540","Charlottesville"
"51540000402",314,803,901,2018,0.155599603567889,0.397918731417245,0.446481665014866,1603,336,7,37,2,33,238,552,472,372,"51540","Charlottesville"
"51540000501",131,67,57,255,0.513725490196078,0.262745098039216,0.223529411764706,134,102,2,11,0,6,31,63,43,35,"51540","Charlottesville"
"51540000502",194,191,109,494,0.392712550607287,0.38663967611336,0.220647773279352,380,85,4,12,1,12,49,112,108,81,"51540","Charlottesville"
"51540000600",692,2505,5874,9071,0.0762870686804101,0.276154778965935,0.647558152353655,7132,1282,24,468,7,158,561,1468,2362,2864,"51540","Charlottesville"
"51540000700",1418,1164,1311,3893,0.364243513999486,0.298998201900848,0.336758284099666,2843,783,19,155,3,90,310,664,763,893,"51540","Charlottesville"
"51540000800",962,1105,829,2896,0.332182320441989,0.381560773480663,0.286256906077348,1993,649,10,181,0,63,280,622,655,536,"51540","Charlottesville"
"51540000900",159,501,314,974,0.163244353182752,0.514373716632444,0.322381930184805,607,254,8,89,1,15,142,242,206,199,"51540","Charlottesville"
"51540001000",3119,4217,7351,14687,0.212364676244298,0.287124668073807,0.500510655681896,11761,2104,34,505,10,273,1193,2513,3350,4207,"51540","Charlottesville"
