w_county,commutersfromRegion
51001,62
51003,34410
51005,34
51007,25
51009,416
51011,66
51013,788
51015,1241
51017,65
51019,153
51021,4
51023,66
51025,15
51027,5
51029,194
51031,201
51033,116
51035,37
51036,3
51037,25
51041,1187
51043,20
51045,4
51047,682
51049,25
51051,3
51053,65
51057,30
51059,3565
51061,238
51063,19
51065,2852
51067,56
51069,209
51071,14
51073,46
51075,667
51077,3
51079,1920
51081,4
51083,94
51085,827
51087,2299
51089,69
51091,2
51093,24
51095,103
51099,34
51101,31
51103,32
51105,12
51107,946
51109,4395
51111,11
51113,511
51115,5
51117,66
51119,12
51121,259
51125,2248
51127,31
51131,15
51133,4
51135,29
51137,1617
51139,104
51141,3
51143,38
51145,113
51147,236
51149,42
51153,995
51155,50
51157,45
51159,28
51161,287
51163,126
51165,1109
51167,6
51169,3
51171,138
51173,17
51175,4
51177,755
51179,436
51181,23
51183,17
51185,39
51187,125
51191,66
51193,14
51195,89
51197,42
51199,104
51510,344
51515,41
51520,19
51530,31
51540,26865
51550,294
51570,91
51580,28
51590,137
51595,19
51600,129
51610,36
51620,24
51630,438
51640,15
51650,152
51660,1250
51670,24
51678,84
51680,753
51683,161
51685,25
51690,41
51700,306
51710,394
51720,12
51730,71
51735,3
51740,56
51750,30
51760,1509
51770,463
51775,130
51790,736
51800,131
51810,480
51820,778
51830,53
51840,219
