"blkgroup","medc_allblk","medc_workinRegionblk","medc_within40blk","medc_25_employeesblk","commutersInBlgr","commuterinRegionblk","commuterw40blk","commuter25blk","avgc_allblk","avgc_workinRegionblk","avgc_within40blk","avgc_25_employeesblk","county"
"510030101001",24.1728088194181,5.26926578090339,7.44372852809771,19.6787411142166,822,576,643,750,26.5641922104978,5.24856075166129,7.40190267317784,18.8479592315936,"51003"
"510030101002",34.1103536015333,11.4069129403659,12.4205174588645,25.8571895364883,666,447,497,615,32.6836351265853,11.5858759495201,12.4483077284033,27.8355929538652,"51003"
"510030101003",29.7068567062668,9.0259047205431,10.4801962931554,21.3169147295477,636,437,489,583,29.9450506895795,8.42103804005419,10.004912499805,22.7720316279262,"51003"
"510030102011",22.4402201020218,5.38865084841285,7.20728960788538,16.4900328317553,1396,1028,1124,1299,22.1996293327368,6.0166763390783,7.71310355547219,17.1736217244142,"51003"
"510030102012",17.7449128375332,3.46493863409047,5.55071731871837,13.1605009546045,991,767,843,941,16.9599949049822,3.58238417296778,5.54740305445113,13.1450761028862,"51003"
"510030102021",18.3476926819954,3.83630768118552,4.90569917309945,14.710646836115,706,531,571,659,20.7060227495573,3.79880609544521,5.13794381915048,16.0789057287421,"51003"
"510030102022",17.5952410453509,2.38793576975945,3.58520706390994,13.6304610020155,771,602,637,730,17.8965340530119,2.68846632753375,4.01089477931374,14.5069404918161,"51003"
"510030103001",19.3733803957255,4.71973588283168,5.68253532529097,13.9481301365098,1066,803,873,1001,19.2925895976252,4.42349024462012,5.98050350939788,14.8987707742295,"51003"
"510030103002",21.6182520286821,5.55518448583721,6.9767710632813,16.2292154396969,405,312,333,380,21.2709871191953,5.57212613347266,6.79052387086437,15.6903849813914,"51003"
"510030103003",17.9499367816387,3.32642635518489,4.91270544064623,13.0142685438306,683,507,551,633,20.2397425225196,3.7587773398527,5.40155327255917,14.6982042265599,"51003"
"510030103004",17.4409062804719,3.77401875406828,5.54261588507509,12.7184554131722,688,524,574,647,18.4112792768574,3.85943821502582,5.70555021471557,13.7779806254923,"51003"
"510030103005",19.5504652778872,4.79219912742725,6.16867355310794,14.4462356196368,1033,791,871,985,18.6686700559995,4.37467298581808,6.4390040082133,14.9343269651613,"51003"
"510030104011",22.4373798804776,7.87221887795849,10.1125580596805,17.1721429965479,911,637,728,846,23.8085918344791,8.24612586891375,9.94563679720807,18.8870735944475,"51003"
"510030104012",28.896537562132,14.8325275752862,14.765872003758,25.3459467808544,455,309,342,421,30.2925478558365,14.4842466929073,14.7470979544051,25.8606823716407,"51003"
"510030104013",22.9512463268618,9.99775576152819,11.4771278715658,18.6791284590268,524,374,421,482,24.5120247010083,9.70470529163767,11.0173973550628,19.3773573192887,"51003"
"510030104021",23.1426135594299,5.72866133616096,7.89931772026612,18.7823930515137,341,259,278,319,19.6533155833019,5.69565929160275,7.22574313770952,14.8887696496713,"51003"
"510030104022",25.0252801048918,7.93329957294548,9.69579224469426,19.1681958218794,1056,761,838,985,24.6258577312077,8.05302240290813,9.6908874690601,19.6907910034623,"51003"
"510030105001",17.0989314311889,4.30720603262026,6.24516434840777,13.469246647186,489,379,413,471,17.1453306503789,4.78679943879818,6.55430499102194,14.5588139596148,"51003"
"510030105002",19.4814754300591,3.86119286090676,5.4217311288026,13.6166487706001,1484,1150,1247,1396,18.0991862968635,4.12147814222852,5.89934225910661,13.4627914515815,"51003"
"510030105003",16.3170595515917,3.55830488424398,5.20771247779213,13.9147450378364,463,368,397,445,16.406074024207,3.47796497789354,5.27886369421356,13.1216198928295,"51003"
"510030106011",18.0590366264271,2.6853281123402,4.63717548195854,12.134351112349,398,295,324,366,20.1970038519058,2.84489632152063,4.8878254310037,13.4680979737142,"51003"
