"blkgroup","medc_allworkersblkgr","medc_livewithin40blkgr","medc_25_resblkgr","workersInblkgr","liveoutsideRegionblkgr","liveinsideRegionblkgr","perc_workers_liveinRegionblkgr","perc_workers_liveoutsideRegionblkgr","workersw40blkgr","workers25blkgr","avgc_allworkersblkgr","avgc_livewithin40blkgr","avgc_25_resblkgr","county"
"510030101001",NA,7.49395053641463,NA,140,25,115,82.1428571428571,17.8571428571429,94,137,0.0385526958205372,7.5215367968184,0.0612347818427521,"51003"
"510030101002",NA,11.784490626461,NA,214,32,182,85.0467289719626,14.9532710280374,159,209,1.27662058007174,10.4888699854549,1.30716174227442,"51003"
"510030101003",NA,8.67676573101689,NA,166,35,131,78.9156626506024,21.0843373493976,122,163,1.47242186294969,8.51777022719362,1.60765273550358,"51003"
"510030102011",NA,5.96498346307982,NA,339,177,162,47.787610619469,52.212389380531,137,229,0.160223658462414,6.71674420023429,0.198759864370391,"51003"
"510030102012",NA,6.07693146793645,NA,420,207,213,50.7142857142857,49.2857142857143,191,319,0.0337659670742487,6.65074581105546,0.0544535901888309,"51003"
"510030102021",NA,6.09662626750826,NA,106,38,68,64.1509433962264,35.8490566037736,68,102,1.22331789641251,7.94542854787983,2.11844920587233,"51003"
"510030102022",NA,8.9778084336466,NA,225,82,143,63.5555555555556,36.4444444444444,141,203,0.0367076051392744,7.82334251335219,0.0406857692430381,"51003"
"510030103001",NA,6.62745211491106,NA,432,201,231,53.4722222222222,46.5277777777778,208,357,0.00751242055962743,6.65623927016169,0.025355621573544,"51003"
"510030103002",NA,8.33867777699932,NA,121,46,75,61.9834710743802,38.0165289256198,63,103,0.0341026854943587,8.46258040388303,0.0400623781050233,"51003"
"510030103003",NA,7.42615261627439,NA,2876,1215,1661,57.7538247566064,42.2461752433936,1466,2357,0,7.48947692702496,0,"51003"
"510030103004",NA,5.88175874254454,NA,101,47,54,53.4653465346535,46.5346534653465,53,81,0.038375931776941,7.59858173823855,0.419115650025039,"51003"
"510030103005",NA,7.54026326525752,NA,74,26,48,64.8648648648649,35.1351351351351,49,68,0.573502471416943,8.00905259361444,0.624105630659614,"51003"
"510030104011",NA,7.00009110484183,NA,177,52,125,70.6214689265537,29.3785310734463,104,155,1.05541288592499,7.07993455975187,1.2052134245724,"51003"
"510030104012",NA,9.31123329779378,NA,131,33,98,74.8091603053435,25.1908396946565,71,119,0.277849421799269,9.63056639300263,0.305867850888271,"51003"
"510030104013",NA,11.8384118926863,NA,732,399,333,45.4918032786885,54.5081967213115,283,552,0.134544888722273,10.2596199073575,0.178418222001275,"51003"
"510030104021",NA,10.4897349541063,NA,371,149,222,59.8382749326146,40.1617250673854,168,341,0.0133380190996206,11.2964748411398,0.0145114518649831,"51003"
"510030104022",NA,9.21441244914344,NA,871,548,323,37.0838117106774,62.9161882893226,261,589,0.0198279121267827,9.18274293831655,0.029321072092407,"51003"
"510030105001",NA,8.91366619591749,NA,42,13,29,69.0476190476191,30.952380952381,28,37,3.2175758758179,10.2513971692625,3.4545797880127,"51003"
"510030105002",NA,9.36465118765206,NA,1411,667,744,52.7285613040397,47.2714386959603,644,1180,0.0196754520174378,9.42106359656262,0.0357511142501892,"51003"
"510030105003",NA,9.85700633427053,NA,5798,2577,3221,55.5536391859262,44.4463608140738,2717,4869,0,9.86690364441089,0,"51003"
"510030106011",NA,7.09698680469746,NA,771,298,473,61.348897535668,38.651102464332,388,642,0,7.37987029884559,0,"51003"
"510030106012",NA,7.16156008008162,NA,1529,647,882,57.6847612818836,42.3152387181164,717,1268,0.10428433689757,7.61524138920423,0.068795817222768,"51003"
"510030106013",NA,7.23704929661883,NA,2290,978,1312,57.292576419214,42.707423580786,1131,1878,0,7.61111357492105,0,"51003"
"510030106021",NA,6.5508813966871,NA,286,94,192,67.1328671328671,32.8671328671329,161,261,0,6.74187155235863,0.0898339345804643,"51003"
"510030106022",NA,7.07932694738744,NA,60,27,33,55,45,26,52,0,8.73323787734125,0,"51003"
"510030107001",NA,8.45519231482027,NA,1213,523,690,56.883759274526,43.116240725474,562,987,0,8.38717117447331,0,"51003"
"510030107002",NA,8.60264310100984,NA,1229,496,733,59.6419853539463,40.3580146460537,621,1027,0,8.59694758997546,0,"51003"
"510030107003",NA,7.37097143178531,NA,14027,3346,10681,76.1460041348827,23.8539958651173,7693,12609,0,7.50609970690586,0,"51003"
"510030108001",NA,8.80656583700746,NA,3294,1556,1738,52.762598664238,47.237401335762,1481,2714,0,8.52317832527595,0,"51003"
"510030108002",NA,9.74161157906912,NA,77,27,50,64.9350649350649,35.0649350649351,35,70,0,9.70555514045047,0,"51003"
"510030108003",NA,8.9621746914586,NA,87,36,51,58.6206896551724,41.3793103448276,45,79,0,8.34049497761568,0,"51003"
"510030108004",NA,7.95328473014381,NA,81,37,44,54.320987654321,45.679012345679,33,63,0,8.11484744328865,0,"51003"
"510030108005",NA,8.56346612049455,NA,324,123,201,62.037037037037,37.962962962963,158,275,0.00359129438182294,8.76254198477957,0.0042311977444023,"51003"
"510030109011",NA,8.87563666238306,NA,766,292,474,61.8798955613577,38.1201044386423,374,628,0,9.26651632970079,0,"51003"
"510030109012",NA,9.5971198322279,NA,36,13,23,63.8888888888889,36.1111111111111,17,29,0.965384948335598,9.19573265999753,1.19840890138212,"51003"
"510030109021",NA,6.51074236181383,NA,328,106,222,67.6829268292683,32.3170731707317,173,297,0,8.09639444715483,0,"51003"
"510030109022",NA,10.2927637765644,NA,270,142,128,47.4074074074074,52.5925925925926,85,222,0,10.2927637765644,0,"51003"
"510030109031",NA,8.04783998132794,NA,45,14,31,68.8888888888889,31.1111111111111,18,42,0,8.76589228688798,1.64904336593753,"51003"
"510030109032",NA,6.38247797892545,NA,298,146,152,51.006711409396,48.993288590604,96,224,0.0592184291492773,6.96668334361105,0.543952492016745,"51003"
"510030110001",NA,8.39258860604882,NA,478,92,386,80.7531380753138,19.2468619246862,307,457,0.303712923625528,8.35141893710685,0.317669097358868,"51003"
"510030110002",NA,8.12615880595811,NA,1478,356,1122,75.9133964817321,24.0866035182679,884,1399,0.0355518556103608,8.84627955756915,0.0394643732733564,"51003"
"510030110003",NA,9.99029063562361,NA,277,72,205,74.0072202166065,25.9927797833935,148,257,0.0869733646536155,10.2426031651447,0.0937417198795778,"51003"
"510030110004",NA,7.66210280301175,NA,221,44,177,80.0904977375566,19.9095022624434,140,209,0.395719103167153,9.41465836393984,0.418439817224597,"51003"
"510030110005",NA,8.1763047886509,NA,91,26,65,71.4285714285714,28.5714285714286,55,74,1.44835774725974,9.96620861069132,0.715354082905781,"51003"
"510030111001",NA,9.01603864056726,NA,358,115,243,67.877094972067,32.122905027933,208,330,0.0582884187897916,9.22536101942277,0.0632341028083194,"51003"
"510030111002",NA,11.4013262357729,NA,306,91,215,70.2614379084967,29.7385620915033,191,286,0.0836770222702484,9.89807485796891,0.0895285622891469,"51003"
"510030111003",NA,9.40221708783507,NA,316,106,210,66.4556962025316,33.5443037974684,179,284,0.293815830847928,9.46521598747081,0.45013161942523,"51003"
"510030111004",NA,10.272817695776,NA,438,152,286,65.296803652968,34.703196347032,275,407,0.0994221409249599,10.6501502364688,0.234236820077286,"51003"
"510030111005",NA,12.1512945920025,NA,94,29,65,69.1489361702128,30.8510638297872,60,89,0,11.2306091797639,0,"51003"
"510030112011",NA,9.95603838533633,NA,130,29,101,77.6923076923077,22.3076923076923,69,127,0.703662259193644,10.828808365138,0.720284202324202,"51003"
"510030112012",NA,13.183490757978,NA,135,33,102,75.5555555555556,24.4444444444444,88,122,1.75921412726816,11.6301235132284,1.08191838405875,"51003"
"510030112013",NA,11.4611283045563,NA,578,149,429,74.2214532871972,25.7785467128028,353,531,0.302807075969179,11.0618383768154,0.339274845890553,"51003"
