"tract","medc_allworkerstr","medc_livewithin40tr","medc_25_restr","workersIntr","liveoutsideRegiontr","liveinsideRegiontr","perc_workers_liveinRegiontr","perc_workers_liveoutsideRegiontr","workersw40tr","workers25tr","avgc_allworkerstr","avgc_livewithin40tr","avgc_25_restr","county"
"51003010100",NA,8.57287240311313,NA,520,92,428,82.3076923076923,17.6923076923077,375,509,1.00580040538438,9.10379401148236,1.06804197472474,"51003"
"51003010201",NA,6.07693146793645,NA,759,384,375,49.4071146245059,50.5928853754941,328,548,0.0902470703424805,6.67831221141369,0.114756759509227,"51003"
"51003010202",NA,6.89132116043575,NA,331,120,211,63.7462235649547,36.2537764350453,209,305,0.416709692374812,7.86306428535161,0.735544361164966,"51003"
"51003010300",NA,7.42615261627439,NA,3604,1535,2069,57.4084350721421,42.5915649278579,1839,2966,0.0148964879636241,7.44555841102262,0.0301975496909827,"51003"
"51003010401",NA,9.31123329779378,NA,1040,484,556,53.4615384615385,46.5384615384615,458,826,0.309320397701087,9.44007825742261,0.389459096379093,"51003"
"51003010402",NA,9.21441244914344,NA,1242,697,545,43.8808373590982,56.1191626409018,429,930,0.0178893047893615,10.0104980890725,0.0238908780090182,"51003"
"51003010500",NA,9.85700633427053,NA,7251,3257,3994,55.0820576472211,44.9179423527789,3389,6086,0.0224659011972082,9.78535889017116,0.027933908473824,"51003"
"51003010601",NA,7.23704929661883,NA,4590,1923,2667,58.1045751633987,41.8954248366013,2236,3788,0.0347387257334171,7.57231091469017,0.0230288004853405,"51003"
"51003010602",NA,6.5508813966871,NA,346,121,225,65.0289017341041,34.971098265896,187,313,0,7.01874601465568,0.0749094470463297,"51003"
"51003010700",NA,7.37097143178531,NA,16469,4365,12104,73.4956585099277,26.5043414900723,8876,14623,0,7.63820636532848,0,"51003"
"51003010800",NA,8.80656583700746,NA,3863,1779,2084,53.9477090344292,46.0522909655708,1752,3201,0.000301211333085848,8.55600194227503,0.000363504960859304,"51003"
"51003010901",NA,8.87563666238306,NA,802,305,497,61.9700748129676,38.0299251870324,391,657,0.0433339877058373,9.26343877884413,0.0528978053882519,"51003"
"51003010902",NA,7.66838353656873,NA,598,248,350,58.5284280936455,41.4715719063545,258,519,0,8.8200044975417,0,"51003"
"51003010903",NA,6.38247797892545,NA,343,160,183,53.3527696793003,46.6472303206997,114,266,0.0514492474824625,7.25076896623372,0.71844052474108,"51003"
"51003011000",NA,8.39258860604882,NA,2545,590,1955,76.8172888015717,23.1827111984283,1534,2396,0.173307080115813,8.97398673765577,0.152281795344928,"51003"
"51003011100",NA,9.88296775873481,NA,1512,493,1019,67.3941798941799,32.6058201058201,913,1396,0.120942541676269,9.97405138826289,0.193154862771964,"51003"
"51003011201",NA,11.4611283045563,NA,843,211,632,74.9703440094899,25.0296559905101,510,780,0.597855860956773,11.128367830146,0.517468050920801,"51003"
"51003011202",NA,9.13374264097068,NA,888,364,524,59.009009009009,40.990990990991,434,744,0.318772173901944,10.1305169149932,0.291201164777838,"51003"
"51003011301",NA,8.39317593624516,NA,1158,335,823,71.0708117443869,28.9291882556131,690,1034,0.535166639564182,8.36092547748742,0.459542466982886,"51003"
"51003011302",NA,9.04163185436075,NA,1473,295,1178,79.9728445349627,20.0271554650373,970,1415,0.00273019365919506,8.90497082458907,0.00284210265723981,"51003"
"51003011303",NA,9.27059199007668,NA,2637,985,1652,62.6469472885855,37.3530527114145,1371,2333,0.0681752055827216,9.38023420004166,0.0430417955354068,"51003"
"51003011400",NA,8.29390964355674,NA,510,171,339,66.4705882352941,33.5294117647059,369,468,1.42242429114893,9.30345772976919,1.94275869223108,"51003"
"51065020101",NA,8.03204744872143,NA,2345,781,1564,66.6950959488273,33.3049040511727,1488,2089,0.160110372877437,9.11576050641329,0.120352793499667,"51065"
"51065020102",NA,5.98078296763584,NA,825,215,610,73.9393939393939,26.0606060606061,591,750,0.892992478267303,6.00062821925722,0.819261319335572,"51065"
"51065020200",NA,9.94353137471995,NA,711,297,414,58.2278481012658,41.7721518987342,491,628,1.01829616208272,9.60648192775068,1.65408943439612,"51065"
"51065020300",NA,6.29043730657575,NA,371,107,264,71.1590296495957,28.8409703504043,283,355,1.40106484765345,6.80908864627275,1.54685177864956,"51065"
"51079030101",NA,4.34487127797314,NA,1193,348,845,70.8298407376362,29.1701592623638,819,1148,0.0854385692570753,4.5427996850849,0.0153775672989423,"51079"
"51079030102",NA,7.61914489225405,NA,336,103,233,69.3452380952381,30.6547619047619,227,309,0.819885710001264,6.82865659990884,0.723130527826527,"51079"
"51079030200",NA,7.09907821387185,NA,1827,985,842,46.0864805692392,53.9135194307608,837,1517,0.256092135793988,7.40270768182259,0.192342611933661,"51079"
"51109950100",NA,21.1188458830718,NA,2123,1559,564,26.5661799340556,73.4338200659444,355,1402,0.0780180192609485,21.1075443904243,0.177937501024845,"51109"
"51109950201",NA,23.1885740110828,NA,2134,897,1237,57.9662605435801,42.0337394564199,345,1828,0,22.8933994782492,0,"51109"
"51109950202",NA,25.4862913774767,NA,1278,331,947,74.1001564945227,25.8998435054773,177,1216,0.0356447423765619,25.8543277399561,0.0374621552279984,"51109"
"51109950300",NA,16.7255919316323,NA,3474,2214,1260,36.2694300518135,63.7305699481865,794,2556,0.133253446510975,17.3718077639024,0.200914392607934,"51109"
"51109950400",NA,16.7170999435285,NA,214,82,132,61.6822429906542,38.3177570093458,45,190,0.317469309494947,18.0279422377399,0.579938117221631,"51109"
"51109950500",NA,17.2319850578369,NA,468,213,255,54.4871794871795,45.5128205128205,96,392,0.240377854162272,15.064668653702,0.418566191663991,"51109"
"51125950100",NA,20.3992743958136,NA,1170,372,798,68.2051282051282,31.7948717948718,321,1108,0.0172671422738009,20.5055628219827,0.0182333542060894,"51125"
"51125950200",NA,16.8241060369461,NA,1311,515,796,60.7170099160946,39.2829900839054,444,1259,0.080060365383569,16.621072966074,0.0833670683223661,"51125"
"51125950300",NA,16.3328991576213,NA,1210,556,654,54.0495867768595,45.9504132231405,386,1115,0.171782122798821,15.9273983223511,0.146885634076099,"51125"
"51540000201",NA,8.31006344308093,NA,1210,322,888,73.3884297520661,26.6115702479339,573,1082,0.0241874089579089,7.62974702549589,0.0270487660250183,"51540"
"51540000202",NA,7.76675608542092,NA,1994,657,1337,67.0511534603811,32.9488465396189,782,1634,0.00915544730976781,7.87796835767384,0.0206928521992118,"51540"
"51540000302",NA,8.7737209194523,NA,2614,922,1692,64.7283856159143,35.2716143840857,1120,2293,0.0747785662961684,8.73236962386899,0.0225399723786153,"51540"
"51540000401",NA,7.78912890845424,NA,594,246,348,58.5858585858586,41.4141414141414,242,496,0.044572280598082,9.07408177710186,0.0533789005549611,"51540"
"51540000402",NA,8.07117447892308,NA,1982,619,1363,68.7689202825429,31.2310797174571,952,1836,0.116384482386421,8.42614276504188,0.0417694064896381,"51540"
"51540000501",NA,6.98047971398103,NA,250,78,172,68.8,31.2,120,229,0.370126272282724,7.02156489976195,0.0748386942312522,"51540"
"51540000502",NA,11.2949974016148,NA,478,199,279,58.3682008368201,41.6317991631799,187,426,0.00462359882532166,10.0313720636527,0.00518798178052525,"51540"
"51540000600",NA,9.20208831762809,NA,8865,2391,6474,73.0287648054146,26.9712351945854,5048,8512,0.00488040560830486,9.0649215309294,0.00508280024878084,"51540"
"51540000700",NA,7.72007041488523,NA,3739,1374,2365,63.2522064723188,36.7477935276812,1642,3068,0.059044152728615,7.67827112401785,0.0152167078194145,"51540"
"51540000800",NA,8.55520867550998,NA,2773,1245,1528,55.1027767760548,44.8972232239452,1201,2257,0.0153156380288653,8.64700684338589,0.0188171308170331,"51540"
"51540000900",NA,7.60388257413988,NA,948,373,575,60.6540084388186,39.3459915611814,399,788,0.0181138596332468,7.83427802649309,0.0217918006755304,"51540"
"51540001000",NA,7.77887765473481,NA,14047,4203,9844,70.0790204314088,29.9209795685912,6898,12026,0.00279320731845657,7.91469850050794,0.00469454960657492,"51540"
