"h_county","commuterstoRegion"
"51001",80
"51003",33860
"51005",189
"51007",131
"51009",584
"51011",263
"51013",368
"51015",3128
"51017",57
"51019",492
"51021",10
"51023",124
"51025",53
"51027",40
"51029",1580
"51031",433
"51033",137
"51035",50
"51036",29
"51037",126
"51041",1421
"51043",40
"51045",31
"51047",615
"51049",223
"51051",24
"51053",110
"51057",48
"51059",1944
"51061",194
"51063",30
"51065",8148
"51067",98
"51069",372
"51071",29
"51073",86
"51075",378
"51077",22
"51079",5495
"51081",20
"51083",398
"51085",966
"51087",1709
"51089",98
"51091",46
"51093",66
"51095",167
"51097",27
"51099",88
"51101",64
"51103",41
"51105",34
"51107",903
"51109",6642
"51111",30
"51113",1063
"51115",19
"51117",92
"51119",36
"51121",134
"51125",3735
"51127",82
"51131",23
"51133",37
"51135",131
"51137",2338
"51139",412
"51141",30
"51143",172
"51145",256
"51147",262
"51149",138
"51153",1095
"51155",60
"51157",84
"51159",21
"51161",361
"51163",319
"51165",1817
"51167",72
"51169",47
"51171",188
"51173",54
"51175",33
"51177",1392
"51179",434
"51181",26
"51183",21
"51185",70
"51187",134
"51191",96
"51193",61
"51195",71
"51197",51
"51199",164
"51510",249
"51515",36
"51520",25
"51530",80
"51540",14810
"51550",426
"51570",59
"51580",47
"51590",127
"51595",13
"51600",46
"51610",25
"51620",18
"51630",223
"51640",11
"51650",326
"51660",923
"51670",79
"51678",63
"51680",565
"51683",117
"51685",48
"51690",21
"51700",430
"51710",472
"51720",7
"51730",106
"51735",31
"51740",185
"51750",30
"51760",1185
"51770",365
"51775",90
"51790",1009
"51800",159
"51810",1134
"51820",2198
"51830",31
"51840",105
