,GEOID,zone,spatial_unit,area,perc
0,51540,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,counties,0.725061,1.6964184063085173
1,51079,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,counties,0.0,0.0
2,51003,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,counties,9.297866,0.3076554385989944
3,51125,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,counties,4.879867,0.24877080778039998
4,51065,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,counties,0.026992,0.0022370337304026765
5,51109,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,counties,0.0,0.0
0,51540,AREA OF MINIMAL FLOOD HAZARD,counties,38.958815,91.15157325241374
1,51079,AREA OF MINIMAL FLOOD HAZARD,counties,617.649738,94.04601284401247
2,51003,AREA OF MINIMAL FLOOD HAZARD,counties,2825.484127,93.49194302721526
3,51125,AREA OF MINIMAL FLOOD HAZARD,counties,1851.392793,94.38217898836604
4,51065,AREA OF MINIMAL FLOOD HAZARD,counties,0.572362,0.047436021784259666
5,51109,AREA OF MINIMAL FLOOD HAZARD,counties,1938.562012,91.28894050952312
0,51540,FLOODWAY,counties,1.400995,3.277894832498508
1,51079,FLOODWAY,counties,0.0,0.0
2,51003,FLOODWAY,counties,39.73161,1.314672194758904
3,51125,FLOODWAY,counties,26.991442,1.3759970977688152
4,51065,FLOODWAY,counties,0.108597,0.009000264968158695
5,51109,FLOODWAY,counties,0.0,0.0
0,51540,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,counties,0.0,0.0
1,51079,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,counties,0.0,0.0
2,51003,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,counties,0.441658,0.014613943210275848
3,51125,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,counties,0.0,0.0
4,51065,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,counties,0.001466,0.00012149864584952297
5,51109,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,counties,0.0,0.0
