STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can
51,003,010401,3025,510030104013025,Block 3025,74.66666666666667
51,003,010401,3004,510030104013004,Block 3004,0
51,003,010401,3005,510030104013005,Block 3005,25.907296650717704
51,003,010401,3021,510030104013021,Block 3021,46.27529411764706
51,003,010401,3016,510030104013016,Block 3016,44.680297397769515
51,003,010401,3019,510030104013019,Block 3019,7.08235294117647
51,003,010401,2062,510030104012062,Block 2062,77.31335436382756
51,003,010401,2055,510030104012055,Block 2055,74.91587516960651
51,003,010100,2003,510030101002003,Block 2003,90.34482933252305
51,003,011201,1129,510030112011129,Block 1129,67.74725274725274
51,003,011201,1131,510030112011131,Block 1131,71
51,065,020102,1001,510650201021001,Block 1001,76.08107149192833
51,065,020300,1012,510650203001012,Block 1012,86.26946107784431
51,065,020300,1032,510650203001032,Block 1032,66.20430107526882
51,065,020300,1029,510650203001029,Block 1029,82.84962406015038
51,065,020300,1005,510650203001005,Block 1005,72.85393258426966
51,065,020300,1027,510650203001027,Block 1027,17.818181818181817
51,065,020300,1014,510650203001014,Block 1014,42.47826086956522
51,065,020300,1036,510650203001036,Block 1036,9.607142857142858
51,065,020300,1135,510650203001135,Block 1135,68.06976744186046
51,065,020300,1054,510650203001054,Block 1054,88.82809611829944
51,065,020200,2014,510650202002014,Block 2014,88.45161290322581
51,065,020300,2000,510650203002000,Block 2000,20.53061224489796
51,065,020300,1060,510650203001060,Block 1060,79.12219959266803
51,065,020101,1078,510650201011078,Block 1078,14.11111111111111
51,065,020300,2001,510650203002001,Block 2001,21.31111111111111
51,003,011301,4042,510030113014042,Block 4042,56.110882956878854
51,003,011201,1041,510030112011041,Block 1041,91.01229132269309
51,003,011201,2036,510030112012036,Block 2036,54
51,003,011202,1121,510030112021121,Block 1121,82.93023255813954
51,003,011400,4038,510030114004038,Block 4038,84.23525557011796
51,003,011400,4034,510030114004034,Block 4034,69.33333333333333
51,003,010401,3120,510030104013120,Block 3120,86.45061559507523
51,003,011400,3044,510030114003044,Block 3044,83.0005382131324
51,003,011301,2003,510030113012003,Block 2003,72.24040188765413
51,003,011301,2058,510030113012058,Block 2058,59.89408099688473
51,003,011301,4044,510030113014044,Block 4044,57.36839718884607
51,003,011400,2014,510030114002014,Block 2014,82.98373983739837
51,003,011400,3049,510030114003049,Block 3049,52.98888888888889
51,003,011202,1010,510030112021010,Block 1010,77.82087750405553
51,003,010401,3131,510030104013131,Block 3131,56.29281767955801
51,003,011400,3032,510030114003032,Block 3032,46.87677725118483
51,003,011100,1019,510030111001019,Block 1019,58.27100840336134
51,003,011000,3033,510030110003033,Block 3033,74.41486810551558
51,003,011400,4051,510030114004051,Block 4051,75.88359788359789
51,003,010402,2026,510030104022026,Block 2026,73.83818938605619
51,003,011400,4084,510030114004084,Block 4084,42.343283582089555
51,003,010100,2095,510030101002095,Block 2095,37.36231884057971
51,003,011201,2046,510030112012046,Block 2046,74.79527272727273
51,003,011201,2084,510030112012084,Block 2084,8.6875
51,003,011201,2082,510030112012082,Block 2082,42.374025974025976
51,003,011201,3062,510030112013062,Block 3062,87.280906409225
51,003,011301,4012,510030113014012,Block 4012,51.5
51,003,010100,3001,510030101003001,Block 3001,47.33899176954733
51,003,010100,2183,510030101002183,Block 2183,43.15
51,003,010401,2003,510030104012003,Block 2003,26.603021978021978
51,003,010401,1019,510030104011019,Block 1019,48.30086869361844
51,003,010401,1020,510030104011020,Block 1020,61.68930041152263
51,003,011400,3082,510030114003082,Block 3082,27
51,003,010601,1007,510030106011007,Block 1007,62.346774193548384
51,003,010100,3017,510030101003017,Block 3017,58.197596795727634
51,003,011301,2044,510030113012044,Block 2044,64.35379061371842
51,003,011201,1132,510030112011132,Block 1132,75.5
51,003,010100,1015,510030101001015,Block 1015,10.786666666666667
51,003,010601,2025,510030106012025,Block 2025,37.48557692307692
51,003,011301,4072,510030113014072,Block 4072,90.18217054263566
51,003,011400,4079,510030114004079,Block 4079,36.75
51,003,011400,4091,510030114004091,Block 4091,64.38709677419355
51,003,011400,4098,510030114004098,Block 4098,22.209302325581394
51,003,011400,4083,510030114004083,Block 4083,52.111111111111114
51,003,011400,4088,510030114004088,Block 4088,42
51,003,011301,4028,510030113014028,Block 4028,63.346666666666664
51,003,011301,4006,510030113014006,Block 4006,58.7785536159601
51,003,010201,1029,510030102011029,Block 1029,68.61704422869471
51,003,010201,1033,510030102011033,Block 1033,0
51,003,010401,1040,510030104011040,Block 1040,57.285714285714285
51,003,010201,1075,510030102011075,Block 1075,67.54545454545455
51,003,011303,2004,510030113032004,Block 2004,52.45161290322581
51,003,010402,1063,510030104021063,Block 1063,40.5
51,003,011303,2002,510030113032002,Block 2002,44.38461538461539
51,003,010402,1062,510030104021062,Block 1062,37
51,003,011303,2014,510030113032014,Block 2014,48
51,003,011303,2023,510030113032023,Block 2023,4.666666666666667
51,003,011303,2011,510030113032011,Block 2011,25.625
51,003,010402,1009,510030104021009,Block 1009,81.45005549389568
51,003,011301,4038,510030113014038,Block 4038,31.746478873239436
51,003,010402,1021,510030104021021,Block 1021,30.77777777777778
51,003,011301,4065,510030113014065,Block 4065,60.625
51,003,010500,2039,510030105002039,Block 2039,84.15867158671587
51,003,010500,2032,510030105002032,Block 2032,23.22222222222222
51,003,010500,3019,510030105003019,Block 3019,0
51,003,010402,1023,510030104021023,Block 1023,33.84090909090909
51,003,010500,2048,510030105002048,Block 2048,63.74803149606299
51,003,010500,3010,510030105003010,Block 3010,27.454545454545453
51,003,010402,1002,510030104021002,Block 1002,8.5
51,003,010402,1017,510030104021017,Block 1017,51.31428571428572
51,003,011400,1003,510030114001003,Block 1003,80.8
51,003,011400,1054,510030114001054,Block 1054,4.732142857142857
51,003,011400,1024,510030114001024,Block 1024,78.71854304635761
51,003,011400,1011,510030114001011,Block 1011,34.79578392621871
51,003,011400,4099,510030114004099,Block 4099,73.9
51,065,020102,2030,510650201022030,Block 2030,73.90697674418605
51,065,020102,3036,510650201023036,Block 3036,42.06572164948454
51,065,020101,3024,510650201013024,Block 3024,94
51,065,020101,2075,510650201012075,Block 2075,4.375
51,065,020102,2037,510650201022037,Block 2037,67.98245614035088
51,065,020102,3041,510650201023041,Block 3041,19
51,065,020102,2039,510650201022039,Block 2039,69.16470588235295
51,065,020102,1058,510650201021058,Block 1058,60.47428571428571
51,065,020101,1060,510650201011060,Block 1060,9.689655172413794
51,065,020102,2016,510650201022016,Block 2016,58.02564102564103
51,065,020101,1063,510650201011063,Block 1063,2.05
51,065,020300,1030,510650203001030,Block 1030,81.43893568147014
51,065,020102,1062,510650201021062,Block 1062,54.44444444444444
51,065,020102,1060,510650201021060,Block 1060,68
51,065,020101,1057,510650201011057,Block 1057,0
51,065,020200,1060,510650202001060,Block 1060,31.09474885844749
51,065,020101,2010,510650201012010,Block 2010,43.75222419928826
51,065,020101,2072,510650201012072,Block 2072,60.22994011976048
51,065,020101,1010,510650201011010,Block 1010,32.62921348314607
51,065,020101,1043,510650201011043,Block 1043,51.44216787838731
51,065,020101,1015,510650201011015,Block 1015,67.15273775216139
51,065,020101,1016,510650201011016,Block 1016,65.83961038961039
51,065,020101,3031,510650201013031,Block 3031,63.217234468937875
51,065,020200,1024,510650202001024,Block 1024,30
