STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,tree_can
51,109,950202,51109950202,9502.02,Census Tract 9502.02,59.46266428496923
51,109,950300,51109950300,9503,Census Tract 9503,56.5090665529729
51,079,030200,51079030200,302,Census Tract 302,47.86960402466732
51,079,030102,51079030102,301.02,Census Tract 301.02,69.19864640614324
51,003,011303,51003011303,113.03,Census Tract 113.03,48.205995388162954
51,003,011201,51003011201,112.01,Census Tract 112.01,72.63060515892882
51,003,011202,51003011202,112.02,Census Tract 112.02,68.84397451795196
51,003,010202,51003010202,102.02,Census Tract 102.02,54.97606727037516
51,003,010201,51003010201,102.01,Census Tract 102.01,59.637943077763246
51,003,010401,51003010401,104.01,Census Tract 104.01,61.46940944512252
51,003,010402,51003010402,104.02,Census Tract 104.02,61.506375029472046
51,003,011301,51003011301,113.01,Census Tract 113.01,67.37963287253548
51,003,011302,51003011302,113.02,Census Tract 113.02,61.29523522316043
51,540,001000,51540001000,10,Census Tract 10,24.294483616756533
51,109,950201,51109950201,9502.01,Census Tract 9502.01,55.55104832447285
51,125,950200,51125950200,9502,Census Tract 9502,78.27371044087458
51,125,950100,51125950100,9501,Census Tract 9501,76.19516174639388
51,125,950300,51125950300,9503,Census Tract 9503,74.95332056337189
51,540,000201,51540000201,2.01,Census Tract 2.01,32.76820208023774
51,079,030101,51079030101,301.01,Census Tract 301.01,67.35107385753491
51,540,000502,51540000502,5.02,Census Tract 5.02,59.825629022820365
51,065,020300,51065020300,203,Census Tract 203,65.79588702767184
51,065,020200,51065020200,202,Census Tract 202,61.53651789482352
51,003,010902,51003010902,109.02,Census Tract 109.02,71.46157094594595
51,109,950100,51109950100,9501,Census Tract 9501,56.51192576309858
51,109,950500,51109950500,9505,Census Tract 9505,61.99446127147474
51,109,950400,51109950400,9504,Census Tract 9504,60.349385094997295
51,065,020102,51065020102,201.02,Census Tract 201.02,64.89841814370116
51,065,020101,51065020101,201.01,Census Tract 201.01,61.97026474634771
51,003,010602,51003010602,106.02,Census Tract 106.02,50.209440027068176
51,003,010903,51003010903,109.03,Census Tract 109.03,17.840846366145353
51,003,010300,51003010300,103,Census Tract 103,57.39112375107585
51,003,010700,51003010700,107,Census Tract 107,29.623876404494382
51,003,010500,51003010500,105,Census Tract 105,63.737086578423494
51,003,011000,51003011000,110,Census Tract 110,66.04177071243508
51,003,011400,51003011400,114,Census Tract 114,67.93056206683407
51,003,010100,51003010100,101,Census Tract 101,71.90351522391596
51,003,011100,51003011100,111,Census Tract 111,47.54825962670254
51,003,010800,51003010800,108,Census Tract 108,59.78754555335337
51,003,010901,51003010901,109.01,Census Tract 109.01,33.77119146413752
51,540,000202,51540000202,2.02,Census Tract 2.02,11.580131208997189
51,540,000302,51540000302,3.02,Census Tract 3.02,25.910211267605632
51,540,000401,51540000401,4.01,Census Tract 4.01,34.10494169905608
51,540,000501,51540000501,5.01,Census Tract 5.01,34.684363636363635
51,540,000402,51540000402,4.02,Census Tract 4.02,22.95313921747043
51,540,000600,51540000600,6,Census Tract 6,33.04271123491179
51,540,000700,51540000700,7,Census Tract 7,53.0494956603331
51,540,000800,51540000800,8,Census Tract 8,47.618779749026395
51,540,000900,51540000900,9,Census Tract 9,39.401463811330984
51,003,010601,51003010601,106.01,Census Tract 106.01,44.70170342004489
