"GEOID","NAME","year","totalpopE","totalpopM","whiteE","whiteM","blackE","blackM","asianE","asianM","indigE","indigM","othraceE","othraceM","multiE","multiM","ltnxE","ltnxM","povrateE","povrateM","cpovrateE","cpovrateM","hhincE","hhincM","hsmoreE","hsmoreM","bamoreE","bamoreM","gradmoreE","gradmoreM","unempE","unempM","hlthinsE","hlthinsM","pubinsE","pubinsM","earnE","earnM","giniE","giniM","vachseE","vachseM","allhseE","allhseM","snapE","snapM","foreignbE","foreignbM","renter30E","renter30M","homeownE","homeownM","vacrateE","vacrateM","pbroadE","pbroadM","pcompbroadE","pcompbroadM","perc_snaphseE","perc_snaphseM","perc_forbE","perc_forbM","schlE","schlM","age17E","age17M","age24E","age24M","age64E","age64M","age65E","age65M","perc_cUnder20minE","perc_cUnder20minM","perc_c20to34minE","perc_c20to34minM","perc_c35to59minE","perc_c35to59minM","perc_cgreater_60minE","perc_cgreater_60minM","tothousinguE","tothousinguM","bbefore1940E","bbefore1940M","bb1940_1959E","bb1940_1959M","bb1960_1979E","bb1960_1979M","bb1980_1999E","bb1980_1999M","ba2000E","ba2000M","state","locality","tract"
"51001090100","Census Tract 901, Accomack County, Virginia","2019",2899,15,89.9,6,0.4,0.8,2.1,3.7,0,1.2,1.2,1.84390889145858,3.1,3.3,3.2,3.2,9.7,4.3,18.2,14.3,52848,7860,87.2,4,27.7,5.9,16.1,5,6.9,4.4,91.5,5,43.6,5.4,43214,13973,0.483,0.0514,2905,186,4444,165,140,72,141,123,24.2,12.5,73.7,6.3,65.4,3.4,27.5,2.8,27.1,27.1,3.2,0.02,4.9,0.04,63.9,13.6,13.1,2.9,3.7,2.9,51.4,8.34565755348253,31.9,4.7,46.8,9.1,36.7,11.1,10.5,6.8,6,4,4444,165,21.1,0.36,9.8,0.3,22.7,0.37,30.4,0.39,16,0.34,"51","001","090100"
"51001090200","Census Tract 902, Accomack County, Virginia","2019",5771,662,63.9,8.2,28.5,6.4,2.2,2.6,0,0.6,0,0.6,0,0.6,5.3,4.8,10.5,4.7,12.8,9.9,40779,4962,85.6,4.2,20.8,4.9,5.5,2.7,2,2.3,90.8,3.9,44,7,25860,3972,0.3742,0.0386,1813,344,4320,198,276,135,136,130,35.1,15.6,71,7.1,42,7.7,35.5,7.2,35.1,35.1,6.4,0.03,2.4,0.02,51.4,10.7,16.1,4.2,5.5,2.6,49.8,8.25106053789451,28.7,5.4,47.3,11.2,41,11.2,8.2,5.9,3.5,3.4,4320,198,5.7,0.31,5.1,0.29,16,0.4,39.7,0.48,33.5,0.47,"51","001","090200"
"51001090300","Census Tract 903, Accomack County, Virginia","2019",2439,301,70.2,8,18.7,7,0.9,1.1,0.6,0.8,0,1.4,0.5,0.7,9.1,4.6,21.9,6,33.8,16.9,35833,6130,80.9,4.4,8.2,2.3,3,1.4,9.9,6,77.7,6.4,41.8,6.3,29289,2792,0.4903,0.046,276,82,1286,87,212,78,139,60,47.1,20.1,67.6,4.9,21.5,6.2,46.7,6.3,46.5,46.4,16.5,0.06,5.7,0.02,66.8,10.8,21.1,4.9,11.3,4.2,50.3,7.20555341386073,17.2,3.4,29.5,6.3,50.3,6.4,11.7,8.2,8.5,5.5,1286,87,13.7,0.3,21.7,0.42,28.1,0.42,25.3,0.43,11.2,0.34,"51","001","090300"
"51001090400","Census Tract 904, Accomack County, Virginia","2019",6603,717,37.3,7.5,39.3,9.5,0,0.5,0,0.5,0,0.5,0.2,0.2,23.2,6.3,31.6,10.9,52.6,13.4,43558,14765,66.6,9.4,11.7,3.4,4,1.7,4,3.8,69.4,7,37,5.3,24605,2792,0.4702,0.0797,614,200,2848,165,396,197,1424,537,36.2,11.2,50,7.5,21.6,6.9,49.4,9,49.4,49.3,13.9,0.07,21.6,0.08,64.3,25.8,27.6,4.4,8.7,6.3,47.9,7.1756532803641,15.7,3.9,56.4,12.6,27.8,8.9,12,6.7,3.8,2.8,2848,165,16.3,0.4,8.8,0.34,27.2,0.47,25.7,0.47,22.1,0.45,"51","001","090400"
"51001090500","Census Tract 905, Accomack County, Virginia","2019",2526,357,54.1,9.1,27.8,9.1,0.2,0.4,0,1.4,0,1.4,5.5,4,12.3,7.4,24.7,7.9,42.4,21.9,46154,8809,74.6,7.7,11.6,4.2,3.4,1.8,1,1,81.9,6.4,38.1,7.2,28514,4953,0.4241,0.0521,340,87,1378,85,125,49,396,220,28.9,10.6,62.6,7.8,24.7,6.1,46.2,7.4,45.5,45.4,9.1,0.04,15.7,0.08,79.6,12.4,22.6,5.3,4.4,2,56.7,9.50789145920377,16.4,4.7,47.5,12.6,39.3,5.6,8.2,5.6,5,3.8,1378,85,35.8,0.44,18.2,0.44,22.1,0.44,14.9,0.37,8.9,0.35,"51","001","090500"
"51001090600","Census Tract 906, Accomack County, Virginia","2019",3726,270,80.8,4.3,14.3,3.8,0.7,1.2,0,0.9,0.1,0.905538513813742,0.3,0.5,3.7,2.5,13.9,4.8,35.4,19.9,53060,7030,88.8,3.2,32,5,15.1,3.2,4.9,3,88,3.8,50.5,5.4,32950,6197,0.5038,0.039,702,145,2565,120,131,52,113,60,59.6,19.9,79,5.6,27.4,5.5,52.2,4.4,52,52,5.1,0.02,3,0.02,89.7,7.8,13.6,2.6,2.3,1.2,47.9,6.58559033041078,36.2,4.9,66.5,8.6,14.1,5.1,11.7,4.6,7.7,3.5,2565,120,21.2,0.37,16.2,0.38,18,0.37,27.5,0.41,17.1,0.42,"51","001","090600"
"51001090700","Census Tract 907, Accomack County, Virginia","2019",5280,687,55.9,8,36.7,8.4,0.4,0.5,3,1.6,0.2,0.761577310586391,0.3,0.4,3.4,4,10.8,5.4,10.5,8.8,54643,14620,86.8,4.8,19.5,4.6,11.7,3.3,1.8,1.2,86.8,4.7,30.5,6.3,29167,7559,0.3772,0.0425,566,198,2602,143,289,114,139,110,40.8,15.2,63.2,4,21.8,7.5,61.6,8,61.6,61.5,11.1,0.04,2.6,0.02,84.1,11.5,27.5,5.2,6.1,2.2,49.3,7.60263112349929,17,3.6,44.1,8.7,38.2,10.8,14.6,6.1,3.2,2.2,2602,143,24.1,0.41,14.9,0.37,21.3,0.46,26.8,0.47,12.9,0.39,"51","001","090700"
"51001090800","Census Tract 908, Accomack County, Virginia","2019",3429,552,52.8,9,42.2,10.1,0,1,0,1,0,1,0.8,0.8,4.3,3.5,29.2,10.8,51.3,22.8,42225,9953,82.3,4.8,19.7,4.6,6,2.3,5,4.2,85.4,5.1,43.6,7.5,27236,6853,0.3951,0.0517,619,133,1830,88,162,82,37,32,24.1,16.7,70.5,9.4,33.8,7.1,47,6.3,47,47,8.9,0.04,1.1,0.01,84,21,21.5,6.7,13.4,7.8,44,7.71751255262989,21.1,5.1,54.9,7.4,33.6,8.7,9.7,5.5,1.9,1.6,1830,88,19.5,0.39,12.5,0.33,23.3,0.43,34.6,0.49,10.1,0.34,"51","001","090800"
"51001980100","Census Tract 9801, Accomack County, Virginia","2019",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,12,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","001","980100"
"51001980200","Census Tract 9802, Accomack County, Virginia","2019",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,12,0,12,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","001","980200"
