"GEOID","year","STATEFP","COUNTYFP","NAMELSAD","June_AvgMaxTF","July_AvgMaxTF","Aug_AvgMaxTF","AvgAnnMaxTF","TotpercInch"
"51001","1980","51","001","Accomack County",81.16,86.56,86.69,65.69,35.59
"51001","1981","51","001","Accomack County",84.79,86.31,82.14,65.33,38.94
"51001","1982","51","001","Accomack County",79.2,85.09,82.09,65.92,46.54
"51001","1983","51","001","Accomack County",80.26,88.25,85.79,66.34,47.61
"51001","1984","51","001","Accomack County",83.89,83.04,85.64,66.91,43.28
"51001","1985","51","001","Accomack County",81.26,85.15,84.22,67.95,44.36
"51001","1986","51","001","Accomack County",84.13,88.73,82.84,67.44,32.23
"51001","1987","51","001","Accomack County",83.86,88.95,87.06,66.85,36.27
"51001","1988","51","001","Accomack County",82.43,86.79,86.67,66.12,35.83
"51001","1989","51","001","Accomack County",85.24,85.99,83.49,66.5,54.77
"51001","1990","51","001","Accomack County",82.45,87,84.4,69.44,40.86
"51001","1991","51","001","Accomack County",83.78,87.9,86.05,69.51,34.75
"51001","1992","51","001","Accomack County",78.58,86.47,82.4,66.21,47.11
"51001","1993","51","001","Accomack County",82.46,89.57,85.73,66.72,38.73
"51001","1994","51","001","Accomack County",83.63,87.23,82.62,67.27,42.87
"51001","1995","51","001","Accomack County",80.52,88.82,86.8,67.04,35.23
"51001","1996","51","001","Accomack County",82.5,83.89,82.57,65.1,55.6
"51001","1997","51","001","Accomack County",78.93,86.19,84.16,66.29,38.93
"51001","1998","51","001","Accomack County",81.73,85.89,85.48,68.33,46.86
"51001","1999","51","001","Accomack County",79.9,88.61,85.51,67.69,44.36
"51001","2000","51","001","Accomack County",82.25,82.29,83.06,66.09,45.87
"51001","2001","51","001","Accomack County",82.62,82.8,84.86,67.19,34.37
"51001","2002","51","001","Accomack County",83.26,87.72,86.49,68.32,44.35
"51001","2003","51","001","Accomack County",79.97,84.91,84.59,65.45,61.38
"51001","2004","51","001","Accomack County",80.85,85.12,82.42,66.28,53.98
"51001","2005","51","001","Accomack County",80.47,86.71,86.85,65.97,45.01
"51001","2006","51","001","Accomack County",80.39,86.34,87.24,67.78,50.21
"51001","2007","51","001","Accomack County",81.51,85.52,86.48,67.47,37.63
"51001","2008","51","001","Accomack County",85.63,86.04,83.97,67.42,46.91
"51001","2009","51","001","Accomack County",80.62,83.99,86.27,66.08,59.68
"51001","2010","51","001","Accomack County",86.96,90.28,86.28,67,42.19
"51001","2011","51","001","Accomack County",85.26,88.59,85.95,68.32,42.44
"51001","2012","51","001","Accomack County",82.22,89.82,84.48,68.92,53.48
"51001","2013","51","001","Accomack County",81.57,85.83,82.01,66.05,48.35
"51001","2014","51","001","Accomack County",82.14,84.05,81.95,65.69,45.11
"51001","2015","51","001","Accomack County",83.12,85.42,84.4,67.35,48.62
"51001","2016","51","001","Accomack County",81.3,87.78,87.93,67.94,58.9
"51001","2017","51","001","Accomack County",82.44,87.2,82.79,68.18,53.66
"51001","2018","51","001","Accomack County",82.82,85.11,87.24,67.75,54.18
"51001","2019","51","001","Accomack County",83.85,88.86,85.7,68.97,47.25
"51001","2020","51","001","Accomack County",81.79,89.8,85.26,68.74,56.52
"51131","1980","51","131","Northampton County",82.19,88.34,88.13,67.15,38.03
"51131","1981","51","131","Northampton County",86.23,87.1,82.37,66.55,44.65
"51131","1982","51","131","Northampton County",80.03,86.22,82.86,66.91,52.62
"51131","1983","51","131","Northampton County",81.07,88.95,86.81,67.31,51.01
"51131","1984","51","131","Northampton County",84.5,83.57,85.6,67.69,47.26
"51131","1985","51","131","Northampton County",82.19,85.97,84.77,68.65,40.85
"51131","1986","51","131","Northampton County",84.87,89.36,83.2,68.23,32.4
"51131","1987","51","131","Northampton County",84.62,89.9,87.29,67.74,40.6
"51131","1988","51","131","Northampton County",82.72,87.68,87.17,67.09,40.55
"51131","1989","51","131","Northampton County",86.07,86.4,84.04,67.56,57.75
"51131","1990","51","131","Northampton County",83.5,88.07,84.73,70.77,46.78
"51131","1991","51","131","Northampton County",84.3,89.16,86.46,70.52,41.7
"51131","1992","51","131","Northampton County",79.47,88.06,82.77,67.21,49.43
"51131","1993","51","131","Northampton County",84.01,90.75,86.75,68.13,40.85
"51131","1994","51","131","Northampton County",85.32,89,83.96,68.98,45.72
"51131","1995","51","131","Northampton County",81.61,89.99,87.13,68.15,37.59
"51131","1996","51","131","Northampton County",82.93,84.61,82.4,66.21,61.46
"51131","1997","51","131","Northampton County",80.11,87.02,84.71,67.33,38.41
"51131","1998","51","131","Northampton County",82.79,86.11,85.4,69.25,54.89
"51131","1999","51","131","Northampton County",80.72,88.93,86.26,68.77,52.87
"51131","2000","51","131","Northampton County",83.54,83.25,83.82,67.29,48.99
"51131","2001","51","131","Northampton County",82.94,83.39,85.59,68.1,35.18
"51131","2002","51","131","Northampton County",84.14,88.01,86.74,68.99,49.47
"51131","2003","51","131","Northampton County",80.9,85.82,85.56,66.77,66.7
"51131","2004","51","131","Northampton County",81.36,85.34,82.47,67.02,55.93
"51131","2005","51","131","Northampton County",81.13,87.08,86.93,66.72,48.2
"51131","2006","51","131","Northampton County",80.99,87.11,87.5,68.33,53.63
"51131","2007","51","131","Northampton County",82.44,86.38,87.08,68.49,35.86
"51131","2008","51","131","Northampton County",86.57,86.34,83.71,68.08,44.06
"51131","2009","51","131","Northampton County",81.89,84.18,86.22,66.77,54.96
"51131","2010","51","131","Northampton County",87.54,90.68,86.09,67.53,38.04
"51131","2011","51","131","Northampton County",85.56,88.79,86.12,69.06,38.05
"51131","2012","51","131","Northampton County",81.91,89.52,84.38,69.14,45.87
"51131","2013","51","131","Northampton County",82.51,86.35,82.11,66.78,45.69
"51131","2014","51","131","Northampton County",82.62,84.55,81.9,66.44,49.51
"51131","2015","51","131","Northampton County",84.65,86.05,84.67,68.44,41.82
"51131","2016","51","131","Northampton County",82.12,88.98,88.38,68.93,54.6
"51131","2017","51","131","Northampton County",83.27,88.1,83.31,69.19,49.8
"51131","2018","51","131","Northampton County",83.82,85.13,87.29,68.61,49.69
"51131","2019","51","131","Northampton County",84.25,89.08,85.85,69.8,41.25
"51131","2020","51","131","Northampton County",82.07,90.96,86.01,69.63,53.53
