"Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,262.055350553506,114.636745387454
"510010901002","51001090100",8,5,62.5,2,2000,0.768,2000,366.437125748503,228.94771257485
"510010901003","51001090100",8,5,62.5,2,2000,0.768,2000,363.018181818182,190.067618181818
"510010901004","51001090100",9,6,66.7,2,2000,0.768,2000,333.315911730546,163.903828106853
"510010902001","51001090200",9,6,66.7,1.5,2000,0.384,2000,165.62523364486,105.028471028037
"510010902002","51001090200",9,6,66.7,2,2000,0.768,2000,305.246478873239,209.093208706786
"510010902003","51001090200",9,6,66.7,1.5,2000,0.384,2000,347.453738317757,227.011760747664
"510010903001","51001090300",7,4,57.1,2,2000,0.768,2000,360.522388059701,251.749537313433
"510010903002","51001090300",8,6,75,1.5,2000,0.384,2000,405.595375722543,287.715637764933
"510010903003","51001090300",7,5,71.4,2,2000,0.768,2000,335.978401727862,234.555144708423
"510010904001","51001090400",8,6,75,1.5,2000,0.384,2000,327.423780487805,221.035138211382
"510010904002","51001090400",8,6,75,2,2000,0.768,2000,396.291618828932,270.622378874857
"510010904003","51001090400",8,6,75,1.5,2000,0.384,2000,290.901676829268,176.952865853659
"510010904004","51001090400",8,6,75,1.5,2000,0.384,2000,341.497722095672,222.528309794989
"510010905001","51001090500",8,6,75,1.5,2000,0.384,2000,278.699404761905,160.832023809524
"510010905002","51001090500",9,6,66.7,1.5,2000,0.384,2000,413.557038834951,272.214368932039
"510010905003","51001090500",8,6,75,1,2000,0.384,2000,400.85781671159,260.690323450135
"510010906001","51001090600",3,2,66.7,2,100,1.3,3,54.273127753304,2.55066079295154
"510010906002","51001090600",8,6,75,1.5,2000,0.384,2000,313.838709677419,201.755596072931
"510010906003","51001090600",8,5,62.5,2,2000,0.768,2000,451.187637969095,299.115028697572
"510010906004","51001090600",9,7,77.8,1.5,2000,0.384,2000,302.73,174.569381333333
"510010907001","51001090700",9,6,66.7,1.5,2000,0.384,2000,412.190548780488,260.648268292683
"510010907002","51001090700",8,6,75,2,2000,0.768,2000,406.216738197425,273.06617167382
"510010907003","51001090700",8,6,75,2,2000,0.768,2000,400.276243093923,261.28782320442
"510010907004","51001090700",8,6,75,1.5,2000,0.384,2000,337.669392523364,225.878065420561
"510010907005","51001090700",8,6,75,1.5,2000,0.384,2000,226.223841059603,127.777838410596
"510010908001","51001090800",8,6,75,2,2000,0.768,2000,308.897247706422,178.818414678899
"510010908002","51001090800",7,5,71.4,1.5,2000,0.384,2000,286.028,179.895591111111
"510010908003","51001090800",8,6,75,1,2000,0.384,2000,383.826750448833,254.517587073609
"510019801001","51001980100",6,4,66.7,2,2000,0.768,2000,82.8454935622318,54.2531158798283
"510019802001","51001980200",8,5,62.5,2,2000,0.768,2000,206.231966053748,186.202879773692
"510019901000","51001990100",1,1,100,35,100,3,3,57.9411764705882,3
"510019902000","51001990200",2,2,100,100,100,3,50,100,6.35714285714286
"511319301001","51131930100",8,6,75,1,2000,0.384,2000,312.401315789474,202.801421052632
"511319301002","51131930100",9,6,66.7,1,2000,0.384,2000,361.724471830986,225.073281690141
"511319301003","51131930100",8,6,75,1.5,2000,0.384,2000,401.907291666667,265.534425
"511319301004","51131930100",8,6,75,1,2000,0.384,2000,363.78655234657,249.797328519856
"511319302001","51131930200",8,6,75,2,2000,0.768,2000,299.497528830313,234.689911037891
"511319302002","51131930200",8,6,75,0.768,2000,0.128,2000,330.265918032787,231.110729508197
"511319302003","51131930200",9,6,66.7,1.5,2000,0.384,2000,375.883431085044,250.298392961877
"511319302004","51131930200",8,6,75,0.768,2000,0.128,2000,291.654693277311,181.612798319328
"511319303001","51131930300",8,6,75,2,2000,0.768,2000,344.203601108033,230.503191135734
"511319303002","51131930300",9,7,77.8,1.5,2000,0.384,2000,447.794807370184,290.617882747069
"511319303003","51131930300",8,6,75,1.5,2000,0.384,2000,266.243697478992,164.643260504202
"511319303004","51131930300",9,6,66.7,2,2000,0.768,2000,319.233968804159,226.51006932409
"511319901000","51131990100",3,3,100,30,2000,3,2000,415.208333333333,335.979166666667
