"BlockCode","Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"510010901001000","510010901001","51001090100",9,6,66.7,2,2000,1,2000,343,228.7
"510010901001001","510010901001","51001090100",6,5,83.3,15,2000,2,2000,507.5,342.166666666667
"510010901001002","510010901001","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901001003","510010901001","51001090100",5,4,80,15,2000,2,2000,604,410
"510010901001004","510010901001","51001090100",6,4,66.7,2,2000,0.768,2000,501.166666666667,340.511333333333
"510010901001005","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001006","510010901001","51001090100",7,4,57.1,2,2000,1,2000,303.142857142857,288.614285714286
"510010901001007","510010901001","51001090100",8,5,62.5,2,940,1,35,135.875,7.2875
"510010901001008","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,342.111111111111,228.674222222222
"510010901001009","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001010","510010901001","51001090100",7,4,57.1,2,940,1,35,151,6.9
"510010901001011","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001012","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001013","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001014","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001015","510010901001","51001090100",5,3,60,15,2000,1,2000,419,403.2
"510010901001016","510010901001","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901001017","510010901001","51001090100",7,4,57.1,2,940,0.768,35,149.571428571429,6.86685714285714
"510010901001018","510010901001","51001090100",7,5,71.4,2,2000,0.768,2000,433.857142857143,293.295428571429
"510010901001019","510010901001","51001090100",6,4,66.7,2,940,0.768,35,171.666666666667,7.678
"510010901001020","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001021","510010901001","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901001022","510010901001","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901001023","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001024","510010901001","51001090100",1,1,100,35,35,3,3,35,3
"510010901001025","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001026","510010901001","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901001027","510010901001","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901001028","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001029","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001030","510010901001","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901001031","510010901001","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901001032","510010901001","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901001033","510010901001","51001090100",1,1,100,35,35,3,3,35,3
"510010901001034","510010901001","51001090100",7,4,57.1,2,940,0.768,35,149.571428571429,6.86685714285714
"510010901001035","510010901001","51001090100",7,4,57.1,2,940,0.768,35,149.285714285714,6.86685714285714
"510010901001036","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001037","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001038","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001039","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001040","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001041","510010901001","51001090100",7,4,57.1,2,940,0.768,35,149.571428571429,6.86685714285714
"510010901001042","510010901001","51001090100",4,3,75,15,2000,2,2000,747.5,510
"510010901001043","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001044","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001045","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001046","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001047","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.375,7.2585
"510010901001048","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001049","510010901001","51001090100",8,5,62.5,2,940,1,35,135.25,7.2875
"510010901001050","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001051","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001052","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001053","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001054","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,341.888888888889,228.674222222222
"510010901001055","510010901001","51001090100",9,6,66.7,2,2000,1,2000,343,228.7
"510010901001056","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,342.111111111111,228.674222222222
"510010901001057","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,341.888888888889,228.674222222222
"510010901001058","510010901001","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901001059","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
"510010901001060","510010901001","51001090100",7,4,57.1,2,940,0.768,35,149.571428571429,6.86685714285714
"510010901001061","510010901001","51001090100",6,4,66.7,2,940,0.768,35,172,7.678
"510010901001062","510010901001","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901001063","510010901001","51001090100",6,4,66.7,2,940,0.768,35,172,7.678
"510010901001064","510010901001","51001090100",9,6,66.7,2,2000,1,2000,342.444444444444,228.7
"510010901001065","510010901001","51001090100",9,6,66.7,2,2000,1,2000,343,228.7
"510010901001066","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,341.888888888889,228.674222222222
"510010901001067","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001068","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,342.111111111111,228.674222222222
"510010901001069","510010901001","51001090100",7,4,57.1,2,940,0.768,35,150,7.86685714285714
"510010901001070","510010901001","51001090100",8,5,62.5,2,2000,0.768,2000,381.5,256.8835
"510010901001071","510010901001","51001090100",4,3,75,15,940,2,35,255,12.5
"510010901001072","510010901001","51001090100",9,6,66.7,2,2000,0.768,2000,341.888888888889,228.674222222222
"510010901001073","510010901001","51001090100",7,5,71.4,2,2000,1.3,2000,435.285714285714,293.471428571429
"510010901001074","510010901001","51001090100",8,5,62.5,2,2000,1,2000,382.75,256.9125
"510010901001075","510010901001","51001090100",5,4,80,2,940,1.3,35,205.4,9.06
"510010901001076","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001077","510010901001","51001090100",3,2,66.7,15,940,2,35,330,13.3333333333333
"510010901001078","510010901001","51001090100",8,5,62.5,2,940,0.768,35,134.625,7.2585
