"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loan","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_missing","appRace_NA","appRace_multiracial","appEth_HispLat","appMale","appFemale","appsex_missing","avg_rateSpread","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_loan_amount","med_loan_amount","avg_app_income","median_app_income","median_income_accepted_app","white_denial_rate","black_denial_rate","hislat_denial_rate","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","population","minority_population","median_family_income","tract_to_msamd_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
"51001090100",2012,294,5,7,0,68,9,0,0,0,0,4,30,157,18,57,33,6,35,0,0,2,0,0,1,239,42,22,1,3,181,72,31,1.97,0,306,263,6,178254.901960784,165.5,147693.950177936,121000,134000,0.188284518828452,NA,0.666666666666667,0.000126341269496389,98.0891719745223,1.91082802547771,27792,186.220588235294,164,306,13.7254901960784,0.186274509803922,78.1045751633987,0,0.980392156862745,2941,6.01999998092651,52600,117.76000213623,1323,4061
"51001090100",2013,319,14,11,0,119,27,0,0,0,0,3,43,178,19,67,24,13,43,0,0,0,1,2,0,275,42,24,0,2,211,81,28,3.07625,0,344,291,6,177002.906976744,164.5,144394.230769231,99500,107000,0.207272727272727,0,0,0.000127417350520836,94.9438202247191,5.0561797752809,31347,177.823529411765,162,344,12.2093023255814,0.194767441860465,79.9418604651163,0.581395348837209,0.581395348837209,2941,6.01999998092651,51600,117.76000213623,1323,4061
"51001090100",2014,215,8,7,0,117,13,0,0,0,0,8,30,122,10,57,18,5,18,0,0,0,1,1,0,201,17,10,0,4,136,71,13,2.084,0,230,203,4,176769.565217391,148.5,122276.785714286,104000,109000,0.253731343283582,0,0.25,0.000130616789610612,93.4426229508197,6.55737704918033,21646,178.709401709402,143,230,7.39130434782609,0.247826086956522,87.3913043478261,0.434782608695652,1.73913043478261,2941,6.01999998092651,52000,122.230003356934,1323,4061
"51001090100",2015,213,12,16,2,111,14,0,0,0,0,5,11,126,7,47,22,7,34,0,0,4,1,2,0,201,21,14,0,3,141,74,14,2.52285714285714,0,243,203,3,186308.641975309,177,127519.823788546,115000,120000,0.203980099502488,0.5,0.333333333333333,0.000127682471932657,89.6825396825397,10.3174603174603,22582,181.459459459459,170,243,8.64197530864197,0.193415637860082,82.7160493827161,0.823045267489712,1.23456790123457,2941,6.01999998092651,52700,122.230003356934,1323,4061
"51001090100",2016,251,11,24,1,140,14,0,0,0,0,4,30,159,12,41,33,6,36,0,0,2,3,2,0,226,31,23,0,2,171,69,24,2.47428571428571,0,287,242,3,193745.644599303,170,128382.02247191,105000,117000,0.15929203539823,0,0.5,0.000136421317074887,88.0503144654088,11.9496855345912,30826,202.564285714286,177,287,10.801393728223,0.142857142857143,78.7456445993031,0.696864111498258,0.696864111498258,2941,6.01999998092651,52300,122.230003356934,1323,4061
"51001090100",2017,244,12,15,0,169,23,0,0,0,0,8,19,157,5,48,27,11,23,0,0,1,0,2,1,219,34,14,2,5,153,82,22,2.134,0,271,236,4,170819.188191882,155,122941.176470588,98000,105000,0.17351598173516,0.5,0.2,0.000139330397632981,91.7197452229299,8.28025477707006,28040,178.674556213018,155,271,12.5461254612546,0.177121771217712,80.8118081180812,0.738007380073801,1.8450184501845,2930,6.61999988555908,53300,134.470001220703,1095,4158
"51001090200",2012,232,24,26,4,70,18,0,0,0,0,0,27,137,13,56,31,8,41,0,0,0,1,23,0,207,37,18,0,4,170,74,24,2.7525,0,286,234,6,140632.867132867,130.5,92204.7244094488,73000,77000,0.173913043478261,0.521739130434783,0,0.000139534220512956,83.2116788321168,16.7883211678832,19550,127.657142857143,123,286,12.9370629370629,0.195804195804196,72.3776223776224,8.04195804195804,1.3986013986014,6156,36.7000007629395,52600,102.379997253418,1653,3433
"51001090200",2013,220,31,28,9,94,19,0,0,0,0,6,26,152,9,63,21,5,38,0,0,0,3,23,1,208,34,19,2,3,176,78,15,2.47888888888889,0,288,238,7,134357.638888889,125,78294.1176470588,66000,79500,0.197115384615385,0.391304347826087,0.666666666666667,0.000153736608732239,80.2631578947368,19.7368421052632,21811,125.244680851064,123.5,288,11.8055555555556,0.21875,72.2222222222222,7.98611111111111,1.04166666666667,6156,36.7000007629395,51600,102.379997253418,1653,3433
"51001090200",2014,194,33,28,13,129,27,0,0,0,0,8,39,126,6,69,21,11,35,0,0,0,2,21,0,193,36,16,0,4,149,86,17,2.67833333333333,0,268,214,5,128716.417910448,119,78430.9623430962,63000,75500,0.22279792746114,0.571428571428571,0.75,0.000136949971957863,81.7460317460317,18.2539682539683,17292,134.651162790698,121,268,13.4328358208955,0.257462686567164,72.0149253731343,7.83582089552239,1.49253731343284,6156,36.7000007629395,52000,106.269996643066,1653,3433
"51001090200",2015,170,43,31,9,117,19,0,0,0,0,1,9,118,9,50,31,17,28,0,0,2,2,20,0,190,23,16,4,1,156,63,18,1.94625,0,253,209,7,148557.312252964,134,86622.7272727273,68000,79000,0.215789473684211,0.2,0,0.000135858771353142,75.4237288135593,24.5762711864407,17697,151.410256410256,135,253,9.09090909090909,0.197628458498024,75.098814229249,7.90513833992095,0.395256916996047,6156,36.7000007629395,52700,106.269996643066,1653,3433
"51001090200",2016,166,47,72,13,152,22,0,0,0,0,5,43,130,7,65,31,22,43,0,0,2,4,30,0,187,38,37,2,4,178,60,23,3.48888888888889,0,298,235,7,145885.906040268,141,81560.6694560669,64000,69000,0.224598930481283,0.466666666666667,0,0.000127073000506337,61.5384615384615,38.4615384615385,20532,155.190789473684,144.5,298,12.751677852349,0.218120805369128,62.751677852349,10.0671140939597,1.34228187919463,6156,36.7000007629395,52300,106.269996643066,1653,3433
