"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loans","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_multiracial","appRace_missing","appRace_NA","appEth_HispLat","appMale","appFemale","appsex_missing","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_income_000s","median_income_000s","avg_loan_amount_000s","med_loan_amount_000s","white_denial_rate","black_denial_rate","hislat_denial_rate","median_income_accepted_app","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","tract_population","minority_population","median_family_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
51001090100,2012,294,5,0,0,68,9,229,0,0,0,4,30,157,18,57,33,6,35,0,0,2,0,0,1,239,1,0,22,3,181,72,31,0,306,263,6,147.693950177936,121,178.254901960784,165.5,0.188284518828452,NA,0.666666666666667,134,0.0386604284658951,98.0891719745223,1.91082802547771,27792,186.220588235294,164,306,13.7254901960784,0.186274509803922,78.1045751633987,0,0.980392156862745,2941,6.01999998092651,52600,1323,4061
51001090100,2013,319,14,0,0,119,27,198,0,0,0,3,43,178,19,67,24,13,43,0,0,0,1,2,0,275,0,0,24,2,211,81,28,0,344,291,6,144.394230769231,99.5,177.002906976744,164.5,0.207272727272727,0,0,107,0.0438315685791677,94.9438202247191,5.0561797752809,31347,177.823529411765,162,344,12.2093023255814,0.194767441860465,79.9418604651163,0.581395348837209,0.581395348837209,2941,6.01999998092651,51600,1323,4061
51001090100,2014,215,8,0,0,117,13,100,0,0,0,8,30,122,10,57,18,5,18,0,0,0,1,1,0,201,0,0,10,4,136,71,13,0,230,203,4,122.276785714286,104,176.769565217391,148.5,0.253731343283582,0,0.25,109,0.0300418616104408,93.4426229508197,6.55737704918033,21646,178.709401709402,143,230,7.39130434782609,0.247826086956522,87.3913043478261,0.434782608695652,1.73913043478261,2941,6.01999998092651,52000,1323,4061
51001090100,2015,213,12,0,2,111,14,118,0,0,0,5,11,126,7,47,22,7,34,0,0,4,1,2,0,201,0,0,14,3,141,74,14,0,243,203,3,127.519823788546,115,186.308641975309,177,0.203980099502488,0.5,0.333333333333333,120,0.0310268406796356,89.6825396825397,10.3174603174603,22582,181.459459459459,170,243,8.64197530864197,0.193415637860082,82.7160493827161,0.823045267489712,1.23456790123457,2941,6.01999998092651,52700,1323,4061
51001090100,2016,251,11,0,1,140,14,133,0,0,0,4,30,159,12,41,33,6,36,0,0,2,3,2,0,226,0,0,23,2,171,69,24,0,287,242,3,128.38202247191,105,193.745644599303,170,0.15929203539823,0,0.5,117,0.0391529180004925,88.0503144654088,11.9496855345912,30826,202.564285714286,177,287,10.801393728223,0.142857142857143,78.7456445993031,0.696864111498258,0.696864111498258,2941,6.01999998092651,52300,1323,4061
51001090100,2017,244,12,0,0,169,23,79,0,0,0,8,19,157,5,48,27,11,23,0,0,1,0,2,1,219,2,0,14,5,153,82,22,0,271,236,4,122.941176470588,98,170.819188191882,155,0.17351598173516,0.5,0.2,105,0.0377585377585378,91.7197452229299,8.28025477707006,28040,178.674556213018,155,271,12.5461254612546,0.177121771217712,80.8118081180812,0.738007380073801,1.8450184501845,2930,6.61999988555908,53300,1095,4158
51001090100,2018,207,28,0,0,167,13,36,27,5,1,3,246,141,5,32,26,13,32,0,0,1,0,0,0,217,0,0,16,4,155,65,13,0,99,236,13,137.206140350877,101,186967.871485944,175000,0.129032258064516,NA,0,114,0.0339105339105339,87.9432624113475,12.0567375886525,27075000,194760.479041916,175000,249,6.02409638554217,0.1285140562249,87.14859437751,0,1.60642570281124,2930,6.62,55900,1095,4158
51001090100,2019,262,24,0,1,194,21,52,24,13,1,3,302,169,6,39,42,7,42,0,0,0,1,1,0,238,1,0,25,NA,160,91,29,0,117,281,24,123.389705882353,92.5,173229.508196721,155000,0.138655462184874,0,NA,97,0.0406445406445406,89.3491124260355,10.6508875739645,29995000,183711.340206186,165000,305,13.1147540983607,0.127868852459016,78.0327868852459,0.327868852459016,NA,2930,6.62,56100,1095,4158
51001090100,2020,426,30,0,6,258,20,169,39,8,1,3,492,302,13,46,56,17,61,0,0,1,4,3,0,376,3,0,50,NA,254,142,48,0,183,476,19,2042.41972477064,120,217202.02020202,195000,0.0957446808510638,0,NA,125,0.0726310726310726,90.3973509933775,9.60264900662252,66170000,227209.302325581,195000,495,12.3232323232323,0.0929292929292929,75.959595959596,0.606060606060606,NA,2930,6.62,58100,1095,4158
51001090200,2012,232,24,0,4,70,18,198,0,0,0,0,27,137,13,56,31,8,41,0,0,0,1,23,0,207,0,0,18,4,170,74,24,0,286,234,6,92.2047244094488,73,140.632867132867,130.5,0.173913043478261,0.521739130434783,0,77,0.0399067870667055,83.2116788321168,16.7883211678832,19550,127.657142857143,123,286,12.9370629370629,0.195804195804196,72.3776223776224,8.04195804195804,1.3986013986014,6156,36.7000007629395,52600,1653,3433
51001090200,2013,220,31,0,9,94,19,175,0,0,0,6,26,152,9,63,21,5,38,0,0,0,3,23,1,208,2,0,19,3,176,78,15,0,288,238,7,78.2941176470588,66,134.357638888889,125,0.197115384615385,0.391304347826087,0.666666666666667,79.5,0.0442761433148849,80.2631578947368,19.7368421052632,21811,125.244680851064,123.5,288,11.8055555555556,0.21875,72.2222222222222,7.98611111111111,1.04166666666667,6156,36.7000007629395,51600,1653,3433
51001090200,2014,194,33,0,13,129,27,112,0,0,0,8,39,126,6,69,21,11,35,0,0,0,2,21,0,193,0,0,16,4,149,86,17,0,268,214,5,78.4309623430962,63,128.716417910448,119,0.22279792746114,0.571428571428571,0.75,75.5,0.0367025924847073,81.7460317460317,18.2539682539683,17292,134.651162790698,121,268,13.4328358208955,0.257462686567164,72.0149253731343,7.83582089552239,1.49253731343284,6156,36.7000007629395,52000,1653,3433
51001090200,2015,170,43,0,9,117,19,117,0,0,0,1,9,118,9,50,31,17,28,0,0,2,2,20,0,190,4,0,16,1,156,63,18,0,253,209,7,86.6227272727273,68,148.557312252964,134,0.215789473684211,0.2,0,79,0.0343722691523449,75.4237288135593,24.5762711864407,17697,151.410256410256,135,253,9.09090909090909,0.197628458498024,75.098814229249,7.90513833992095,0.395256916996047,6156,36.7000007629395,52700,1653,3433
51001090200,2016,166,47,0,13,152,22,124,0,0,0,5,43,130,7,65,31,22,43,0,0,2,4,30,0,187,2,0,37,4,178,60,23,0,298,235,7,81.5606694560669,64,145.885906040268,141,0.224598930481283,0.466666666666667,0,69,0.0378677541508884,61.5384615384615,38.4615384615385,20532,155.190789473684,144.5,298,12.751677852349,0.218120805369128,62.751677852349,10.0671140939597,1.34228187919463,6156,36.7000007629395,52300,1653,3433
