"w_county","commuters"
"51001",7723
"51003",46
"51005",2
"51007",2
"51009",7
"51011",4
"51013",135
"51015",24
"51019",7
"51021",1
"51023",11
"51025",4
"51027",1
"51029",6
"51031",19
"51033",21
"51036",9
"51037",4
"51041",240
"51043",2
"51047",28
"51049",1
"51053",34
"51057",38
"51059",497
"51061",30
"51063",3
"51065",10
"51067",4
"51069",22
"51071",5
"51073",73
"51075",16
"51079",6
"51081",12
"51083",16
"51085",164
"51087",271
"51089",16
"51093",43
"51095",119
"51097",12
"51099",30
"51101",30
"51103",43
"51107",158
"51109",14
"51111",3
"51113",4
"51115",17
"51117",26
"51119",29
"51121",34
"51125",2
"51127",15
"51131",2734
"51133",19
"51135",20
"51137",11
"51139",1
"51141",1
"51143",9
"51145",4
"51147",8
"51149",88
"51153",155
"51155",9
"51157",1
"51159",17
"51161",36
"51163",4
"51165",24
"51171",7
"51173",29
"51175",9
"51177",67
"51179",60
"51181",15
"51183",19
"51185",6
"51187",12
"51191",4
"51193",18
"51195",1
"51197",2
"51199",86
"51510",71
"51515",2
"51520",5
"51530",14
"51540",25
"51550",438
"51570",18
"51580",4
"51590",21
"51595",2
"51600",10
"51610",12
"51620",9
"51630",32
"51650",209
"51660",31
"51670",25
"51678",3
"51680",46
"51683",26
"51685",7
"51690",7
"51700",494
"51710",459
"51720",1
"51730",26
"51735",11
"51740",102
"51750",2
"51760",260
"51770",72
"51775",24
"51790",16
"51800",113
"51810",568
"51820",13
"51830",35
"51840",15
