"w_geocode","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","residents","resid_jobs_ratio","w_county","w_tract","w_blkgr","countyName","blocktype"
510010901001000,16,20,3,39,0.41025641025641,0.512820512820513,0.0769230769230769,22,16,0,0,0,1,4,9,11,4,NA,NA,"51001","51001090100","510010901001","Accomack",NA
510010901001007,4,6,0,10,0.4,0.6,0,9,0,0,1,0,0,1,8,0,0,28,2.8,"51001","51001090100","510010901001","Accomack","residential"
510010901001008,13,6,0,19,0.684210526315789,0.315789473684211,0,10,9,0,0,0,0,5,8,5,0,14,0.736842105263158,"51001","51001090100","510010901001","Accomack","mixed"
510010901001018,36,13,10,59,0.610169491525424,0.220338983050847,0.169491525423729,51,4,0,4,0,0,4,24,12,15,37,0.627118644067797,"51001","51001090100","510010901001","Accomack","mixed"
510010901001022,18,35,2,55,0.327272727272727,0.636363636363636,0.0363636363636364,48,6,0,0,0,1,7,9,10,9,25,0.454545454545455,"51001","51001090100","510010901001","Accomack","mixed"
510010901001031,40,41,3,84,0.476190476190476,0.488095238095238,0.0357142857142857,70,14,0,0,0,0,12,26,17,3,12,0.142857142857143,"51001","51001090100","510010901001","Accomack","mixed"
510010901001035,1,3,0,4,0.25,0.75,0,2,2,0,0,0,0,0,1,1,2,8,2,"51001","51001090100","510010901001","Accomack","residential"
510010901001054,1,2,1,4,0.25,0.5,0.25,4,0,0,0,0,0,0,2,0,1,1,0.25,"51001","51001090100","510010901001","Accomack","mixed"
510010901001055,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,88,88,"51001","51001090100","510010901001","Accomack","residential"
510010901001060,3,3,0,6,0.5,0.5,0,6,0,0,0,0,0,0,3,1,2,NA,NA,"51001","51001090100","510010901001","Accomack",NA
510010901001064,0,0,2,2,0,0,1,2,0,0,0,0,0,0,1,1,0,13,6.5,"51001","51001090100","510010901001","Accomack","residential"
510010901001065,19,4,1,24,0.791666666666667,0.166666666666667,0.0416666666666667,23,1,0,0,0,0,4,6,6,3,41,1.70833333333333,"51001","51001090100","510010901001","Accomack","mixed"
510010901001066,19,22,35,76,0.25,0.289473684210526,0.460526315789474,75,0,0,0,0,1,8,26,23,8,10,0.131578947368421,"51001","51001090100","510010901001","Accomack","mixed"
510010901001068,5,4,4,13,0.384615384615385,0.307692307692308,0.307692307692308,11,1,0,0,0,1,2,2,1,2,28,2.15384615384615,"51001","51001090100","510010901001","Accomack","residential"
510010901001074,77,22,5,104,0.740384615384615,0.211538461538462,0.0480769230769231,84,11,1,8,0,0,9,17,17,10,15,0.144230769230769,"51001","51001090100","510010901001","Accomack","mixed"
510010901002000,9,12,3,24,0.375,0.5,0.125,22,2,0,0,0,0,5,7,4,3,21,0.875,"51001","51001090100","510010901002","Accomack","mixed"
510010901002006,3,3,4,10,0.3,0.3,0.4,10,0,0,0,0,0,2,2,3,3,2,0.2,"51001","51001090100","510010901002","Accomack","mixed"
510010901002007,2,3,7,12,0.166666666666667,0.25,0.583333333333333,11,1,0,0,0,0,2,6,2,1,1,0.0833333333333333,"51001","51001090100","510010901002","Accomack","mixed"
510010901002008,13,24,20,57,0.228070175438596,0.421052631578947,0.350877192982456,49,7,0,0,0,1,3,19,10,7,16,0.280701754385965,"51001","51001090100","510010901002","Accomack","mixed"
510010901002009,16,12,0,28,0.571428571428571,0.428571428571429,0,25,2,0,1,0,0,6,9,4,1,9,0.321428571428571,"51001","51001090100","510010901002","Accomack","mixed"
510010901002010,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,15,15,"51001","51001090100","510010901002","Accomack","residential"
510010901002017,1,2,0,3,0.333333333333333,0.666666666666667,0,3,0,0,0,0,0,1,0,2,0,NA,NA,"51001","51001090100","510010901002","Accomack",NA
510010901002019,2,2,2,6,0.333333333333333,0.333333333333333,0.333333333333333,6,0,0,0,0,0,2,2,2,0,32,5.33333333333333,"51001","51001090100","510010901002","Accomack","residential"
510010901002021,4,0,0,4,1,0,0,3,0,0,0,0,1,0,1,2,1,30,7.5,"51001","51001090100","510010901002","Accomack","residential"
