"w_tract","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","w_county","countyName"
"51001090100",485,401,140,1026,0.47270955165692,0.39083820662768,0.1364522417154,836,155,3,22,0,10,138,285,218,113,"51001","Accomack"
"51001090200",414,1386,1251,3051,0.135693215339233,0.454277286135693,0.410029498525074,1655,1280,10,60,1,45,453,737,731,601,"51001","Accomack"
"51001090300",50,56,23,129,0.387596899224806,0.434108527131783,0.178294573643411,101,24,0,1,0,3,18,38,27,14,"51001","Accomack"
"51001090400",545,758,855,2158,0.252548656163114,0.351251158480074,0.396200185356812,1485,630,2,30,0,11,221,535,591,539,"51001","Accomack"
"51001090500",336,1329,688,2353,0.142796430089248,0.564810879728007,0.292392690182745,975,1315,9,26,2,26,418,693,493,246,"51001","Accomack"
"51001090600",360,379,200,939,0.383386581469649,0.403620873269436,0.212992545260916,641,260,4,21,0,13,96,215,219,150,"51001","Accomack"
"51001090700",421,612,282,1315,0.320152091254753,0.465399239543726,0.214448669201521,889,362,6,36,1,21,132,331,348,211,"51001","Accomack"
"51001090800",300,455,223,978,0.306748466257669,0.465235173824131,0.2280163599182,603,352,1,10,0,12,137,265,258,155,"51001","Accomack"
"51001980100",7,8,14,29,0.241379310344828,0.275862068965517,0.482758620689655,24,2,0,1,0,2,0,9,9,10,"51001","Accomack"
"51001980200",12,1,32,45,0.266666666666667,0.0222222222222222,0.711111111111111,41,3,0,0,0,1,2,8,15,15,"51001","Accomack"
"51131930100",479,798,324,1601,0.299188007495315,0.49843847595253,0.202373516552155,983,559,5,30,2,22,266,397,373,224,"51131","Northampton"
"51131930200",286,457,280,1023,0.279569892473118,0.44672531769306,0.273704789833822,694,308,0,13,3,5,135,288,240,210,"51131","Northampton"
"51131930300",460,630,326,1416,0.324858757062147,0.444915254237288,0.230225988700565,1001,364,7,25,1,18,189,333,305,241,"51131","Northampton"
