"blkgroup","medc_allworkersblkgr","medc_livewithin40blkgr","medc_25_resblkgr","workersInblkgr","liveoutsideRegionblkgr","liveinsideRegionblkgr","perc_workers_liveinRegionblkgr","perc_workers_liveoutsideRegionblkgr","workersw40blkgr","workers25blkgr","avgc_allworkersblkgr","avgc_livewithin40blkgr","avgc_25_resblkgr","county"
"510010901001",14.6531905676268,5.72053253800159,6.61287646889862,452,33,419,92.6991150442478,7.30088495575221,411,417,15.1015683912892,5.78543305985548,6.52407585884906,"51001"
"510010901002",14.0677860203187,4.90806050562071,4.90806050562071,192,18,174,90.625,9.375,173,173,16.6815466051843,5.01483456107871,5.24053014907126,"51001"
"510010901003",14.6834643782262,6.42731605207913,6.42731605207913,147,9,138,93.8775510204082,6.12244897959184,138,138,14.5848710230615,6.33703437629606,6.33703437629606,"51001"
"510010901004",12.5071918995045,6.26231235131499,6.95985469829356,122,11,111,90.983606557377,9.01639344262295,110,111,15.7830542010056,5.95527029260192,6.27852886696786,"51001"
"510010902001",59.2966149665506,8.35176399972256,8.35176399972256,128,53,75,58.59375,41.40625,75,75,51.4312113024783,9.15881365227295,9.15881365227295,"51001"
"510010902002",39.1137797418414,8.73502305060796,8.73502305060796,399,131,268,67.1679197994987,32.8320802005013,269,268,41.3779008879573,9.38271197169185,9.27824670615691,"51001"
"510010902003",39.2868834596041,9.01233839361412,8.9877573403846,1447,425,1022,70.6288873531444,29.3711126468556,1030,1020,41.8778717126669,9.30066886616041,9.07947476738606,"51001"
"510010903001",10.3021314444342,9.57007693103103,8.25912272836984,55,4,51,92.7272727272727,7.27272727272727,53,50,12.026306249858,9.14266662461125,8.01582047599066,"51001"
"510010903002",13.379715394604,6.72720318700558,6.72720318700558,28,2,26,92.8571428571429,7.14285714285714,26,26,12.5826995307926,5.6342793307054,5.6342793307054,"51001"
"510010903003",8.67765606174661,8.67765606174661,8.67765606174661,9,0,9,100,0,9,9,9.01805565875031,9.01805565875031,9.01805565875031,"51001"
"510010904001",13.7887296079147,8.75606628600243,8.75606628600243,46,7,39,84.7826086956522,15.2173913043478,39,39,20.7657315005352,9.11360641133214,9.11360641133214,"51001"
"510010904002",24.1086375082533,7.90134895924564,7.90134895924564,95,17,78,82.1052631578947,17.8947368421053,79,78,28.8426872890108,8.74150998544294,8.37663155960531,"51001"
"510010904003",38.2875266216889,9.79331055846846,9.46295157351214,197,39,158,80.2030456852792,19.7969543147208,161,158,32.0895866588857,9.43740880898549,8.90912787059168,"51001"
