"h_county","commuterstoRegion"
"51001",7751
"51003",29
"51005",9
"51007",4
"51009",6
"51011",9
"51013",13
"51015",18
"51017",1
"51019",3
"51021",1
"51023",5
"51025",8
"51027",2
"51029",5
"51031",8
"51033",72
"51035",3
"51036",10
"51037",2
"51041",136
"51043",3
"51045",2
"51047",15
"51049",1
"51051",1
"51053",31
"51057",33
"51059",85
"51061",11
"51065",3
"51067",5
"51069",30
"51071",1
"51073",43
"51075",8
"51079",8
"51081",6
"51083",11
"51085",34
"51087",155
"51089",5
"51093",35
"51095",52
"51097",28
"51099",2
"51101",36
"51103",34
"51105",4
"51107",59
"51109",13
"51111",1
"51113",3
"51115",4
"51117",19
"51119",49
"51121",11
"51125",6
"51127",22
"51131",2706
"51133",34
"51135",7
"51137",8
"51139",6
"51143",8
"51145",8
"51147",9
"51149",43
"51153",106
"51155",5
"51159",40
"51161",8
"51163",8
"51165",14
"51167",6
"51169",3
"51171",9
"51173",2
"51175",9
"51177",26
"51179",33
"51181",2
"51183",6
"51185",5
"51187",10
"51191",3
"51193",50
"51195",4
"51199",56
"51510",9
"51520",4
"51530",4
"51540",18
"51550",168
"51570",18
"51580",4
"51590",9
"51600",2
"51620",1
"51630",5
"51640",1
"51650",118
"51660",11
"51670",27
"51678",4
"51680",4
"51683",10
"51685",2
"51690",3
"51700",116
"51710",174
"51730",55
"51735",19
"51740",93
"51750",6
"51760",120
"51770",17
"51775",7
"51790",8
"51800",60
"51810",401
"51820",5
"51830",16
"51840",5
