STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,tree_can
51,001,990100,0,510019901000,Block Group 0,0.029286388024950514
51,001,090800,2,510010908002,Block Group 2,9.979140842239284
51,001,090400,4,510010904004,Block Group 4,15.0362332515569
51,001,090400,3,510010904003,Block Group 3,18.640937837420946
51,001,090800,3,510010908003,Block Group 3,24.560830691004657
51,001,090300,1,510010903001,Block Group 1,13.844600764653347
51,001,090300,2,510010903002,Block Group 2,56.83495325128097
51,001,980100,1,510019801001,Block Group 1,10.72295718839944
51,001,090700,4,510010907004,Block Group 4,39.215247989276136
51,001,090700,5,510010907005,Block Group 5,29.624631794646614
51,001,980200,1,510019802001,Block Group 1,3.478486796160174
51,001,090200,2,510010902002,Block Group 2,30.888145476458437
51,131,990100,0,511319901000,Block Group 0,1.8234259174466366e-4
51,131,930200,2,511319302002,Block Group 2,25.232057511550103
51,131,930200,1,511319302001,Block Group 1,25.403455700482233
51,131,930100,1,511319301001,Block Group 1,30.359243214230947
51,131,930300,4,511319303004,Block Group 4,9.90248325402571
51,001,090100,2,510010901002,Block Group 2,22.06451612903226
51,001,090500,3,510010905003,Block Group 3,37.650262094754765
51,001,090700,2,510010907002,Block Group 2,35.51378029168746
51,001,090700,3,510010907003,Block Group 3,41.53696513470681
51,001,090500,2,510010905002,Block Group 2,29.23969722455845
51,001,090600,3,510010906003,Block Group 3,23.161837869476148
51,001,090400,2,510010904002,Block Group 2,23.94903760790314
51,001,090700,1,510010907001,Block Group 1,30.30623422393675
51,001,090600,1,510010906001,Block Group 1,0.03223687755981898
51,001,090600,4,510010906004,Block Group 4,35.584801129750616
51,001,090200,3,510010902003,Block Group 3,36.99224834237493
51,001,090100,3,510010901003,Block Group 3,9.669495412844038
51,001,090100,1,510010901001,Block Group 1,3.1847935887938577
51,001,990200,0,510019902000,Block Group 0,0
51,001,090100,4,510010901004,Block Group 4,2.9792292507080935
51,001,090400,1,510010904001,Block Group 1,23.790431738623106
51,001,090800,1,510010908001,Block Group 1,26.12536541197775
51,001,090500,1,510010905001,Block Group 1,13.937617604014221
51,001,090300,3,510010903003,Block Group 3,22.89049483223386
51,001,090600,2,510010906002,Block Group 2,14.154674185746897
51,001,090200,1,510010902001,Block Group 1,38.71698889345948
51,131,930100,3,511319301003,Block Group 3,35.21259343722286
51,131,930300,2,511319303002,Block Group 2,13.067890304469877
51,131,930300,1,511319303001,Block Group 1,17.1769514577154
51,131,930300,3,511319303003,Block Group 3,1.996168088966731
51,131,930200,3,511319302003,Block Group 3,21.775384737426624
51,131,930200,4,511319302004,Block Group 4,19.380243328599587
51,131,930100,2,511319301002,Block Group 2,30.47396279286993
51,131,930100,4,511319301004,Block Group 4,7.339393334414731
