STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can
51,001,090600,4011,510010906004011,Block 4011,54.98550724637681
51,001,090600,4023,510010906004023,Block 4023,45.93617021276596
51,001,090700,1011,510010907001011,Block 1011,35
51,001,090800,2078,510010908002078,Block 2078,0
51,001,090800,2079,510010908002079,Block 2079,0
51,001,090600,4048,510010906004048,Block 4048,0
51,001,090600,4037,510010906004037,Block 4037,0.16666666666666666
51,001,090800,2094,510010908002094,Block 2094,0
51,001,090800,2267,510010908002267,Block 2267,0
51,001,090400,4158,510010904004158,Block 4158,0
51,001,090600,4038,510010906004038,Block 4038,0
51,001,090600,4095,510010906004095,Block 4095,16
51,001,090600,4036,510010906004036,Block 4036,0
51,001,090800,2217,510010908002217,Block 2217,0
51,001,090600,4032,510010906004032,Block 4032,0
51,001,090800,2270,510010908002270,Block 2270,0
51,001,090400,4119,510010904004119,Block 4119,0
51,001,090800,2221,510010908002221,Block 2221,0
51,001,090700,1029,510010907001029,Block 1029,7
51,001,090800,2030,510010908002030,Block 2030,0
51,001,090800,2057,510010908002057,Block 2057,0
51,001,090800,2005,510010908002005,Block 2005,5.879862009486849
51,001,090700,1046,510010907001046,Block 1046,15
51,001,090600,4090,510010906004090,Block 4090,0
51,001,090800,2063,510010908002063,Block 2063,0
51,001,090800,2019,510010908002019,Block 2019,0
51,001,090700,1034,510010907001034,Block 1034,0
51,001,090800,2242,510010908002242,Block 2242,0
51,001,090800,2058,510010908002058,Block 2058,0
51,001,090800,2008,510010908002008,Block 2008,0
51,001,090800,2064,510010908002064,Block 2064,0
51,001,090800,2065,510010908002065,Block 2065,0.02086677367576244
51,001,090800,2066,510010908002066,Block 2066,0
51,001,090700,1107,510010907001107,Block 1107,3.0833333333333335
51,001,090800,2009,510010908002009,Block 2009,0
51,001,090600,4025,510010906004025,Block 4025,0
51,001,090800,2051,510010908002051,Block 2051,0
51,001,090800,2045,510010908002045,Block 2045,0
51,001,980200,1181,510019802001181,Block 1181,0
51,001,980200,1182,510019802001182,Block 1182,0
51,001,980200,1191,510019802001191,Block 1191,0
51,001,090300,2050,510010903002050,Block 2050,68.48148148148148
51,001,090400,1123,510010904001123,Block 1123,0
51,001,090300,3066,510010903003066,Block 3066,10.909090909090908
51,001,090400,1025,510010904001025,Block 1025,6.676923076923077
51,001,090400,3086,510010904003086,Block 3086,37.32934782608696
51,001,090700,5126,510010907005126,Block 5126,40.50951086956522
51,001,090700,1008,510010907001008,Block 1008,0
