CNTY_FIPS,Year,Fipsyearmin,Janmin,Febmin,Marmin,Aprmin,Maymin,Junmin,Julmin,Augmin,Sepmin,Octmin,Novmin,Decmin,Avg_Tempmin,Fipsyearmax,Janmax,Febmax,Marmax,Aprmax,Maymax,Junmax,Julmax,Augmax,Sepmax,Octmax,Novmax,Decmax,Avg_Tempmax,Fipsyearpcp,Janpcp,Febpcp,Marpcp,Aprpcp,Maypcp,Junpcp,Julpcp,Augpcp,Seppcp,Octpcp,Novpcp,Decpcp,Avg_monthlypcp,Tot_yearlypcp
001,1895,44001281895,27.5,19.5,34.2,45,53.2,65.8,66.8,69.9,65.6,45.3,40.6,32.8,47.18,44001271895,43.1,34.1,49.5,61.3,68.6,81.8,82.8,87.4,83,64,57.8,49.6,63.58,44001011895,4.46,1.57,4.1,6.34,3.93,2.57,3.25,2.05,2.5,2.8,2.3,1.93,3.15,37.8
001,1896,44001281896,28,29.9,32.6,48.1,60.6,65.1,70.8,68.7,62,48.9,45.1,30.2,49.17,44001271896,42.8,45.9,48.9,63.7,75.8,78.8,85.9,86.3,76.1,64.4,63.1,46.2,64.83,44001011896,1.36,6.62,2.66,1.07,2.65,2.45,4.96,2.77,5.44,1.92,2.3,1.18,2.95,35.38
001,1897,44001281897,26.2,31.4,38.8,43.9,53,62.4,71,67.8,60.2,53.9,41.2,33.9,48.64,44001271897,42.1,45.4,55.7,63.1,70.6,76.7,82.6,82.4,80.2,68.6,59.9,49.5,64.73,44001011897,1.92,5.6,3.31,2.94,2.86,2.21,8.26,2.97,1.12,4.55,1.81,3.96,3.46,41.51
001,1898,44001281898,32.1,28.6,40.1,43,55.6,64.3,71.8,72,65.4,54.1,39.6,31.4,49.83,44001271898,48.1,46.8,57.9,58.3,70.1,79.1,83.7,84.6,78.8,69.7,55.6,50,65.22,44001011898,1.63,1.53,4.47,3.95,3.11,2.4,3.92,5.72,2.91,4.07,3.76,2.66,3.34,40.13
001,1899,44001281899,27.8,22.3,35.9,42.4,54.1,66,69.3,68.7,59.8,52.6,37.2,31.6,47.31,44001271899,46.3,37.5,51.4,63.1,71.9,83.2,85.3,82.2,77.3,69.2,58.4,49.1,64.58,44001011899,2.77,5.95,4.62,1.68,1.84,3.06,5.39,4.29,1.51,4.61,0.98,1.04,3.14,37.74
001,1900,44001281900,29.1,26.9,32.5,44.8,54.6,65.9,71.3,71.6,66.9,57,44.3,30.5,49.62,44001271900,46,45.2,48.4,60.9,73.6,80.5,87.5,87.6,81.6,70.9,59.5,47.5,65.77,44001011900,2.52,3.93,3.15,2.27,3.19,2.84,3.48,3.2,2.1,2.16,4.09,2.61,2.96,35.54
001,1901,44001281901,30,23.5,38,42.7,54.1,64.3,73.5,70.5,63,49.3,34.9,29.7,47.79,44001271901,43.8,38.6,54.2,55.9,69.1,79.8,87.2,83.3,77.5,67.5,50.4,46.5,62.82,44001011901,2.62,0.82,3.64,4.14,2.9,3.75,3.79,6.91,4.31,1.37,1.78,4.49,3.38,40.52
001,1902,44001281902,25.8,25.1,37.8,43.7,55.1,63.3,68.6,65.2,61.6,54,45.5,30.3,48,44001271902,41.3,37.7,55.3,60.1,71.9,80.3,85.6,82,75.7,69.6,61.2,46.4,63.92,44001011902,3.04,5.22,1.95,3.28,1.94,3.8,4.07,2.43,5.93,2.95,3.05,4.08,3.48,41.74
001,1903,44001281903,28.2,30.9,41.9,46.3,55.7,61.7,69.3,68,62.2,50.1,34,26,47.86,44001271903,44.2,48.6,58.6,61.4,72.5,74,85.6,80.6,76.6,68.1,55.5,45.2,64.24,44001011903,3.13,4.49,6.52,3.04,1.25,4,4.68,4.04,3.35,5.51,1.69,2.76,3.7,44.46
001,1904,44001281904,23.1,23,35.8,43.2,55.4,64.4,68.4,67.4,62.1,47,36.5,26.5,46.07,44001271904,42.7,38.6,50.8,59.4,73.4,79.4,83,81.2,77.9,65.9,52.9,41.2,62.2,44001011904,1.6,3.4,3.3,1.83,1.94,3,5.2,2.26,2.26,2.5,1.9,5.61,2.9,34.8
