Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
El Mercado,24373 Lankford Hwy,NA,Onley,VA,23418,2610,ACCOMACK,-75.697365,37.707153,1384
Cordova Mexican Store,16163 Lankford Hwy,NA,Bloxom,VA,23308,2530,ACCOMACK,-75.58857,37.818615,46365
El Crucero Tienda Mexicana,36344 Lankford Hwy,NA,Belle Haven,VA,23306,1106,ACCOMACK,-75.81263,37.544334,50424
El Cruzero Tienda Hispana,12164 Lankford Hwy,NA,Hallwood,VA,23359,2300,ACCOMACK,-75.558708,37.872128,54516
"DALEY & SON GROCERY, INC",16208 Main Street,NA,Tangier,VA,23440,NA,ACCOMACK,-75.99205,37.826077,55200
Food Lion 490,25102 Lankford Hwy,Unit 14,Onley,VA,23418,2811,ACCOMACK,-75.715065,37.699608,55499
Food Lion 1179,4092 Lankford Hwy,NA,Exmore,VA,23350,2641,NORTHAMPTON,-75.83194,37.522076,131856
Village General Store,30285 Bobtown Rd,NA,Pungoteague,VA,23422,NA,ACCOMACK,-75.813866,37.63052,133169
Food Lion 2508,22485 Lankford Hwy,NA,Cape Charles,VA,23310,2101,NORTHAMPTON,-75.974541,37.268814,161104
Walmart Supercenter 4378,26036 Lankford Hwy,NA,Onley,VA,23418,3005,ACCOMACK,-75.722458,37.687172,161607
Food Lion 2555,7013 Lankford Hwy,NA,Oak Hall,VA,23416,NA,ACCOMACK,-75.542053,37.942188,184395
MATTHEWS IGA,14141 LANKFORD HWY,NA,MAPPSVILLE,VA,23407,NA,ACCOMACK,-75.566963,37.846073,202473
Island Foods Great Valu,6277 Cleveland St,NA,Chincoteague Island,VA,23336,2443,ACCOMACK,-75.377007,37.933247,204055
Maranatha Supermarket,25524 East Main St,NA,Onley,VA,23418,2929,ACCOMACK,-75.715836,37.690247,242641
