Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,ObjectId,geometry
Food Lion 2189,11010 Kentucky Springs Rd,NA,Mineral,VA,23117,NA,LOUISA,3821,"c(-77.850929, 38.079636)"
Food Lion 1186,585 Branchlands Blvd,NA,Charlottesville,VA,22901,1791,ALBEMARLE,5305,"c(-78.478973, 38.072906)"
Reid Super Save Market,16660 Oak St,NA,Dillwyn,VA,23936,3312,BUCKINGHAM,6335,"c(-78.465225, 37.545345)"
Friendly City Food Co-op,150 E Wolfe St,NA,Harrisonburg,VA,22802,4116,HARRISONBURG,10801,"c(-78.866554, 38.451206)"
Stokesville Market,90 N River Rd,NA,Mount Solon,VA,22843,2416,AUGUSTA,10863,"c(-79.147392, 38.356049)"
Buenavista Groceries,774 E Market St,NA,Harrisonburg,VA,22801,4235,HARRISONBURG,11854,"c(-78.853653, 38.447414)"
Kroger 239,1904 Emmet St N,NA,Charlottesville,VA,22901,2815,ALBEMARLE,14866,"c(-78.492554, 38.060581)"
Food Lion 1531,85 Callohill Dr,NA,Lovingston,VA,22949,9701,NELSON,14978,"c(-78.877434, 37.753792)"
Food Lion 1565,1021 Port Republic Rd,NA,Harrisonburg,VA,22801,3507,HARRISONBURG,15103,"c(-78.869957, 38.420273)"
Whole Foods Market 10205,1797 Hydraulic Rd,NA,Charlottesville,VA,22901,2835,ALBEMARLE,16527,"c(-78.490173, 38.060059)"
REID SUPER SAVE MKT 3,600 Preston Ave,NA,Charlottesville,VA,22903,4538,CHARLOTTESVILLE,16956,"c(-78.485916, 38.035107)"
SAFEWAY  1538,309 Southgate Shopping Ctr,NA,Culpeper,VA,22701,3835,CULPEPER,16977,"c(-78.000931, 38.463009)"
BRYANT'S GROCERY & SUPPL,16 C G Woodson Rd,NA,New Canton,VA,23123,2001,BUCKINGHAM,16981,"c(-78.285255, 37.66003)"
Walmart Supercenter 5731,2533 Germanna Hwy,NA,Locust Grove,VA,22508,NA,ORANGE,17094,"c(-77.768738, 38.369755)"
Hilltop Produce And Seafood,78 Zion Park Ct,NA,Troy,VA,22974,2814,FLUVANNA,20651,"c(-78.213531, 37.966541)"
Food Lion 482,1102 WASHINGTON AVE,NA,AMHERST,VA,24521,NA,AMHERST,22645,"c(-79.048767, 37.582222)"
Walgreens 1270,1500 W Beverley St,NA,Staunton,VA,24401,3001,STAUNTON,22782,"c(-79.089119, 38.152573)"
El Tio Variedades Internacionales,259 Ridge Mcintire Rd,NA,Charlottesville,VA,22903,5043,CHARLOTTESVILLE,23229,"c(-78.48494, 38.031902)"
Tienda Hispana La Amistad,30 Commerce Dr,NA,Harrisonburg,VA,22802,4686,HARRISONBURG,23757,"c(-78.85778, 38.458279)"
Bridgewater IGA,519 N Main St,NA,Bridgewater,VA,22812,1628,ROCKINGHAM,26143,"c(-78.967979, 38.389065)"
Food Depot 609,502 E Main St,NA,Louisa,VA,23093,4100,LOUISA,40663,"c(-77.990334, 38.019463)"
Food Lion 864,1740 Timberwood Blvd,NA,Charlottesville,VA,22911,7593,ALBEMARLE,41035,"c(-78.437149, 38.128872)"
Walmart Supercenter 2807,2160 John Wayland Hwy,NA,Harrisonburg,VA,22801,4509,HARRISONBURG,41749,"c(-78.908806, 38.430859)"
INTERNATIONAL FOODS,30 Baxter Dr,NA,Harrisonburg,VA,22801,7618,HARRISONBURG,41823,"c(-78.903854, 38.412079)"
Food Maxx International N/A,924 W Market St,NA,Harrisonburg,VA,22801,2136,HARRISONBURG,43816,"c(-78.884079, 38.452957)"
Eastside Grocery,534 E Side Hwy,NA,Waynesboro,VA,22980,8920,WAYNESBORO,49154,"c(-78.857574, 38.109222)"
Groceries El Chaparro,206 Charles St,NA,Harrisonburg,VA,22802,4612,HARRISONBURG,54682,"c(-78.861404, 38.463562)"
African Market Place Llc,1901 Commonwealth Dr,NA,Charlottesville,VA,22901,2338,ALBEMARLE,56322,"c(-78.496292, 38.066753)"
Trader Joes 661,2025 Bond St,NA,Charlottesville,VA,22901,NA,ALBEMARLE,57134,"c(-78.491112, 38.064308)"
Walgreens 17477,74 Tanbark Plz,NA,Lovingston,VA,22949,2464,NELSON,59248,"c(-78.872162, 37.761059)"
Food Lion 384,208 LAUREL HILLS RD,NA,VERONA,VA,24482,NA,AUGUSTA,60527,"c(-79.002983, 38.195164)"
Food Lion 253,570 RIVERBEND DR.,NA,CHARLOTTESVILLE,VA,22902,NA,CHARLOTTESVILLE,60556,"c(-78.456367, 38.030945)"
Food Lion 238,1131 5th St SW,NA,Charlottesville,VA,22902,6464,CHARLOTTESVILLE,60568,"c(-78.501701, 38.013115)"
Nu Beginning The Store,221 N Lewis St,NA,Staunton,VA,24401,3348,STAUNTON,60787,"c(-79.074989, 38.152119)"
Rebeccas Natural Food,1141 Emmet St N,NA,Charlottesville,VA,22903,4837,CHARLOTTESVILLE,60877,"c(-78.500145, 38.051945)"
Kroger 310,1790 E Market St,Ste 60,Harrisonburg,VA,22801,5118,HARRISONBURG,63517,"c(-78.842705, 38.431385)"
Millers Market,628 Mineral Ave,NA,Mineral,VA,23117,4011,LOUISA,63886,"c(-77.908485, 38.004688)"
Schwans Home Service 112120,32 Franklin St,NA,Weyers Cave,VA,24486,NA,AUGUSTA,63895,"c(-78.915916, 38.284046)"
Food Lion 973,36127 Goodwin Dr,NA,Locust Grove,VA,22508,2029,ORANGE,64673,"c(-77.74614, 38.348343)"
Food Lion 1334,600 N Coalter St,NA,Staunton,VA,24401,3403,STAUNTON,66881,"c(-79.062576, 38.159088)"
Food Lion 1361,2105 Academy Rd,NA,Powhatan,VA,23139,NA,POWHATAN,67233,"c(-77.884277, 37.538269)"
Food Lion 1298,408 Gordon Plaza,NA,Gordonsville,VA,22942,NA,ORANGE,68526,"c(-78.205513, 38.13245)"
SHARP SHOPPER,2475 S Main St,Ste A,Harrisonburg,VA,22801,7601,HARRISONBURG,68875,"c(-78.895493, 38.418591)"
HARRIS TEETER 132,159 Community St,NA,Charlottesville,VA,22911,5602,ALBEMARLE,69528,"c(-78.442902, 38.127724)"
Martins Food Market 6285,437 Tiffany Dr,NA,Waynesboro,VA,22980,NA,WAYNESBORO,73772,"c(-78.930183, 38.065422)"
Walmart Supercenter 1344,1028 Richmond Ave,Ste C,Staunton,VA,24401,4901,STAUNTON,74096,"c(-79.044891, 38.136009)"
INTEGRAL YOGA NAT. FOODS,923 Preston Ave,Ste H,Charlottesville,VA,22903,4446,CHARLOTTESVILLE,74206,"c(-78.490097, 38.038284)"
Food Lion 959,264 Turkey Sag Trail,NA,Palmyra,VA,22963,NA,FLUVANNA,74499,"c(-78.342216, 37.90432)"
Harrisonburg Halal Market And Sweets Llc,182 Neff Ave,Ste W5,Harrisonburg,VA,22801,3488,HARRISONBURG,75346,"c(-78.845627, 38.426266)"
GREENE GREAT VALU INC,8271 Spotswood Trl,NA,Stanardsville,VA,22973,2848,GREENE,76016,"c(-78.443504, 38.297253)"
