Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,ObjectId,geometry
Cartersville Farm & Art Market,2168 Cartersville Rd,NA,Cartersville,VA,23027,9704,CUMBERLAND,36,"c(-78.101746, 37.659569)"
Aan 786 Llc,3028 Scenic Hwy,NA,Mount Solon,VA,22843,2608,AUGUSTA,49,"c(-79.095848, 38.314754)"
Country Side Market,1285 North East Side Hwy,NA,Elkton,VA,22827,2725,ROCKINGHAM,930,"c(-78.618408, 38.422577)"
Speedway 4654,1600 Seminole Trl,NA,Charlottesville,VA,22901,1420,ALBEMARLE,1208,"c(-78.475555, 38.080601)"
Mini Mart,852 W Main St,Ste 108,Charlottesville,VA,22903,3494,CHARLOTTESVILLE,1641,"c(-78.493858, 38.031883)"
Dollar Tree 152,2020 Rio Hill Ctr,NA,Charlottesville,VA,22901,1150,ALBEMARLE,3636,"c(-78.471489, 38.088131)"
Food Lion 2189,11010 Kentucky Springs Rd,NA,Mineral,VA,23117,NA,LOUISA,3821,"c(-77.850929, 38.079636)"
Corner Market,11309 James River Rd,NA,Shipman,VA,22971,2308,NELSON,4954,"c(-78.851448, 37.724098)"
7-Eleven 39953H,2950 Spotswood Trl,NA,Rockingham,VA,22801,2216,HARRISONBURG,5160,"c(-78.833313, 38.412937)"
Food Lion 1186,585 Branchlands Blvd,NA,Charlottesville,VA,22901,1791,ALBEMARLE,5305,"c(-78.478973, 38.072906)"
Fas Mart 3516,1248 Crozet Ave,NA,Crozet,VA,22932,3131,ALBEMARLE,5999,"c(-78.700302, 38.070221)"
Reid Super Save Market,16660 Oak St,NA,Dillwyn,VA,23936,3312,BUCKINGHAM,6335,"c(-78.465225, 37.545345)"
Goochland Fairground Farmers Market,1889 Sandy Hook Rd,NA,Goochland,VA,23063,3106,GOOCHLAND,7136,"c(-77.888023, 37.697201)"
Dollar General 12579,554 S Main St,NA,Madison,VA,22727,3084,MADISON,7928,"c(-78.262329, 38.375626)"
CVS 8288,9026 Seminole Trl,NA,Ruckersville,VA,22968,3319,GREENE,9432,"c(-78.368355, 38.234962)"
CVS 1552,789 Cantrell Ave,NA,Harrisonburg,VA,22801,4366,HARRISONBURG,9436,"c(-78.857498, 38.440792)"
CVS 1553,901 W Broad St,NA,Waynesboro,VA,22980,4320,WAYNESBORO,9437,"c(-78.89093, 38.070187)"
7-Eleven Store 39754A,1157 Jefferson Hwy,NA,Staunton,VA,24401,6606,STAUNTON,9731,"c(-79.042953, 38.134415)"
CVS 1557,1302 Barterbrook Rd,NA,Staunton,VA,24401,5013,STAUNTON,10509,"c(-79.062195, 38.128529)"
CVS 1566,150 Madison Rd,NA,Culpeper,VA,22701,3405,CULPEPER,10763,"c(-78.000237, 38.4645)"
CVS 4237,1755 S High St,NA,Harrisonburg,VA,22801,1553,HARRISONBURG,10766,"c(-78.90097, 38.432854)"
CVS 6322,1310 Churchville Ave,NA,Staunton,VA,24401,2703,STAUNTON,10773,"c(-79.088722, 38.166855)"
CVS 7947,1151 Port Republic Rd,NA,Harrisonburg,VA,22801,3509,HARRISONBURG,10775,"c(-78.868454, 38.418125)"
Friendly City Food Co-op,150 E Wolfe St,NA,Harrisonburg,VA,22802,4116,HARRISONBURG,10801,"c(-78.866554, 38.451206)"
Stokesville Market,90 N River Rd,NA,Mount Solon,VA,22843,2416,AUGUSTA,10863,"c(-79.147392, 38.356049)"
Culpeper Renaissance Inc,127 W Davis St,NA,Culpeper,VA,22701,3017,CULPEPER,11620,"c(-77.996567, 38.473434)"
Buenavista Groceries,774 E Market St,NA,Harrisonburg,VA,22801,4235,HARRISONBURG,11854,"c(-78.853653, 38.447414)"
Nelson Food Market,40 Front St,NA,Lovingston,VA,22949,2346,NELSON,12285,"c(-78.874855, 37.753376)"
Jake's Convenience Inc.,2436 Churchville Ave,NA,Staunton,VA,24401,6271,STAUNTON,13131,"c(-79.115524, 38.197807)"
Ladd Convenience,4633 Stuarts Draft Hwy,NA,Waynesboro,VA,22980,7334,WAYNESBORO,13453,"c(-78.950211, 38.056984)"
Joe's Kwik Mart 8405,120 Berry Hill Rd,NA,Orange,VA,22960,1633,ORANGE,13686,"c(-78.111565, 38.239902)"
Speedway 4650,821 Richmond Ave,NA,Staunton,VA,24401,4956,STAUNTON,13693,"c(-79.051102, 38.141094)"
Save X,2309 W Beverley St,NA,Staunton,VA,24401,2904,STAUNTON,13841,"c(-79.104431, 38.154697)"
Kroger 239,1904 Emmet St N,NA,Charlottesville,VA,22901,2815,ALBEMARLE,14866,"c(-78.492554, 38.060581)"
Food Lion 1531,85 Callohill Dr,NA,Lovingston,VA,22949,9701,NELSON,14978,"c(-78.877434, 37.753792)"
Food Lion 1565,1021 Port Republic Rd,NA,Harrisonburg,VA,22801,3507,HARRISONBURG,15103,"c(-78.869957, 38.420273)"
Flowers Bakery 4652,2213 W Main St,NA,Waynesboro,VA,22980,1738,WAYNESBORO,15291,"c(-78.917152, 38.077606)"
Waynesboro Marathon,2900 W Main St,NA,Waynesboro,VA,22980,9556,WAYNESBORO,16479,"c(-78.929749, 38.083038)"
Whole Foods Market 10205,1797 Hydraulic Rd,NA,Charlottesville,VA,22901,2835,ALBEMARLE,16527,"c(-78.490173, 38.060059)"
REID SUPER SAVE MKT 3,600 Preston Ave,NA,Charlottesville,VA,22903,4538,CHARLOTTESVILLE,16956,"c(-78.485916, 38.035107)"
SAFEWAY  1538,309 Southgate Shopping Ctr,NA,Culpeper,VA,22701,3835,CULPEPER,16977,"c(-78.000931, 38.463009)"
BRYANT'S GROCERY & SUPPL,16 C G Woodson Rd,NA,New Canton,VA,23123,2001,BUCKINGHAM,16981,"c(-78.285255, 37.66003)"
Walmart Supercenter 5731,2533 Germanna Hwy,NA,Locust Grove,VA,22508,NA,ORANGE,17094,"c(-77.768738, 38.369755)"
Brown's,1218 Avon St,NA,Charlottesville,VA,22902,6304,CHARLOTTESVILLE,17233,"c(-78.482239, 38.019993)"
7-eleven 39845a,11473 Spotswood Trl,NA,McGaheysville,VA,22840,2348,ROCKINGHAM,17337,"c(-78.707085, 38.385326)"
Circle K 2723206,1099 Rio Rd E,NA,Charlottesville,VA,22901,1805,ALBEMARLE,17859,"c(-78.465683, 38.066177)"
Scottsville Farmers' Market,125 Fleet Street,NA,Scottsville,VA,24590,NA,ALBEMARLE,18055,"c(-78.49575, 37.797886)"
Stop Shop,1175 E Main St,NA,Waynesboro,VA,22980,5826,WAYNESBORO,18386,"c(-78.873383, 38.064346)"
Speedway 4641,1437 S Main St,NA,Harrisonburg,VA,22801,2910,HARRISONBURG,19333,"c(-78.882767, 38.432449)"
Speedway 4646,101 Lee Hwy,NA,Verona,VA,24482,2504,AUGUSTA,19335,"c(-79.018974, 38.193378)"
Speedway 4647,2601 W Main St,NA,Waynesboro,VA,22980,1615,WAYNESBORO,19338,"c(-78.923393, 38.079926)"
Speedway 4648,780 E Main St,NA,Waynesboro,VA,22980,5717,WAYNESBORO,19339,"c(-78.877525, 38.06583)"
Speedway 4652,1172 Richmond Rd,NA,Charlottesville,VA,22911,3516,ALBEMARLE,19340,"c(-78.45607, 38.033798)"
Speedway 4653,2235 Seminole Ln,NA,Charlottesville,VA,22901,8300,ALBEMARLE,19342,"c(-78.464127, 38.097363)"
Hilltop Produce And Seafood,78 Zion Park Ct,NA,Troy,VA,22974,2814,FLUVANNA,20651,"c(-78.213531, 37.966541)"
Food Lion 482,1102 WASHINGTON AVE,NA,AMHERST,VA,24521,NA,AMHERST,22645,"c(-79.048767, 37.582222)"
Walgreens 1270,1500 W Beverley St,NA,Staunton,VA,24401,3001,STAUNTON,22782,"c(-79.089119, 38.152573)"
El Tio Variedades Internacionales,259 Ridge Mcintire Rd,NA,Charlottesville,VA,22903,5043,CHARLOTTESVILLE,23229,"c(-78.48494, 38.031902)"
Tienda Hispana La Amistad,30 Commerce Dr,NA,Harrisonburg,VA,22802,4686,HARRISONBURG,23757,"c(-78.85778, 38.458279)"
Quik-e 011,100 N Main St,NA,Amherst,VA,24521,3010,AMHERST,25169,"c(-79.049469, 37.588219)"
Sandy Hook Store,2883 Sandy Hook Rd,NA,Sandy Hook,VA,23153,9996,GOOCHLAND,25628,"c(-77.912079, 37.751816)"
Bridgewater IGA,519 N Main St,NA,Bridgewater,VA,22812,1628,ROCKINGHAM,26143,"c(-78.967979, 38.389065)"
