FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202004,24,0,41107,891279,"I","04/24/2020 00:00:00",16,"M","In Water",202004
202001,14,0,41201,897962,"I","01/14/2020 00:00:00",44,"M","Boating",202001
202001,14,0,41202,897962,"I","01/14/2020 00:00:00",57,"M","Boating",202001
202001,14,0,41203,897962,"I","01/14/2020 00:00:00",59,"M","Boating",202001
202001,11,0,41291,871629,"D","01/11/2020 00:00:00",51,"M","Mobile/Trailer Home",202001
202001,11,0,41292,871629,"D","01/11/2020 00:00:00",85,"M","Mobile/Trailer Home",202001
202003,7,0,40984,883722,"D","03/07/2020 00:00:00",,"F","Outside/Open Areas",202003
202002,6,0,40781,877285,"D","02/06/2020 00:00:00",80,"F","Vehicle/Towed Trailer",202002
202001,11,0,41293,871629,"D","01/11/2020 00:00:00",75,"F","Mobile/Trailer Home",202001
202004,7,0,40839,881954,"D","04/07/2020 00:00:00",,"","Unknown",202004
202004,22,0,41038,889030,"D","04/22/2020 00:00:00",29,"M","Unknown",202004
202004,22,0,41039,889030,"D","04/22/2020 00:00:00",27,"F","Unknown",202004
202004,22,0,41040,889030,"D","04/22/2020 00:00:00",,"M","Unknown",202004
202002,6,0,41294,878237,"D","02/06/2020 00:00:00",54,"F","Mobile/Trailer Home",202002
202003,20,0,41286,879197,"D","03/20/2020 00:00:00",,"F","In Water",202003
202003,20,0,41287,879197,"D","03/20/2020 00:00:00",17,"M","In Water",202003
202009,3,0,41501,917518,"I","09/03/2020 00:00:00",81,"F","Permanent Home",202008
202009,3,0,41502,917518,"I","09/03/2020 00:00:00",72,"M","Permanent Home",202008
202011,15,0,42014,923091,"D","11/15/2020 00:00:00",43,"M","Boating",202011
202001,17,0,41234,901386,"D","01/17/2020 00:00:00",34,"M","Outside/Open Areas",202001
202011,15,0,42015,923091,"D","11/15/2020 00:00:00",60,"M","Boating",202011
202011,24,0,41866,923169,"I","11/24/2020 00:00:00",,"","Vehicle/Towed Trailer",202011
202003,28,0,41288,909156,"D","03/28/2020 00:00:00",38,"M","In Water",202003
202008,28,0,41503,917518,"I","08/28/2020 00:00:00",31,"M","Permanent Home",202008
202009,3,0,41506,917518,"I","09/03/2020 00:00:00",84,"M","Permanent Home",202008
202009,7,0,41508,917518,"I","09/07/2020 00:00:00",49,"M","Permanent Home",202008
202009,4,0,41504,917518,"I","09/04/2020 00:00:00",59,"M","Under Tree",202008
202010,3,0,41509,917518,"I","10/03/2020 00:00:00",29,"M","Vehicle/Towed Trailer",202008
202008,29,0,41471,917655,"D","08/29/2020 00:00:00",54,"F","In Water",202008
202008,11,0,41467,917670,"I","08/11/2020 00:00:00",61,"M","Outside/Open Areas",202008
202008,18,0,41468,917682,"D","08/18/2020 00:00:00",52,"M","Other",202008
202011,19,0,41916,924168,"I","11/19/2020 00:00:00",51,"M","Vehicle/Towed Trailer",202011
202011,26,0,41918,924366,"D","11/26/2020 00:00:00",4,"F","In Water",202011
202008,30,0,41511,918078,"I","08/30/2020 00:00:00",36,"M","Outside/Open Areas",202008
202008,31,0,41512,918078,"I","08/31/2020 00:00:00",80,"M","Permanent Home",202008
202008,27,0,41510,918079,"D","08/27/2020 00:00:00",14,"F","Permanent Home",202008
202008,27,0,41519,918080,"D","08/27/2020 00:00:00",64,"F","Permanent Home",202008
202008,28,0,41520,918080,"I","08/28/2020 00:00:00",84,"M","Permanent Home",202008
202008,28,0,41521,918080,"I","08/28/2020 00:00:00",80,"F","Permanent Home",202008
202008,27,0,41525,918081,"D","08/27/2020 00:00:00",68,"M","Permanent Home",202008
202009,8,0,41517,918083,"I","09/08/2020 00:00:00",49,"M","Mobile/Trailer Home",202008
202008,27,0,41516,918083,"I","08/27/2020 00:00:00",67,"M","Permanent Home",202008
202008,29,0,41518,918083,"I","08/29/2020 00:00:00",50,"M","Permanent Home",202008
